"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"SN2000cx","2000/07/17","12.9","NGC 524","01:24:46.19,01:24:46.15","+09:30:31.3,+09:30:30.9,+09:30:30.89","0.007929,0.008076","Ia Pec","1316","45",""
"SN2009dc","2009/04/09","14.53","UGC 10064","15:51:12.12,15:51:12.083,15:51:12,15:51:12.24,15:51:12.10","+25:42:28.0,+25:42:28.43,+25:42:28.44,+25:42:28.08,+25:42:28.01,+25:42:28","0.021391","Ia Pec","798","43","0"
"SN1991T","1991/04/13","11.09","NGC 4527","12:34:10.20,12:34:10.08,12:34:10.17,12:34:10.21","+02:39:56.4,+02:39:56.52,+02:39:56.35,+02:39:56.59,+02:39:56.6,+02:39:56.3","0.005791,0.005791","Ia-91T","714","23","0"
"SN2005ke","2005/11/13","13.92","NGC 1371","03:35:04.35,03:35:04.344,03:35:4.34","-24:56:38.8,-24:56:38.76,-24:56:38.80","0.00488","Ia Pec","689","30","0"
"SN1999aa","1999/02/11","13.82","NGC 2595","08:27:42.03","+21:29:14.8,+21:29:14.78","0.01444,0.01444","Ia Pec","576","50",""
"SN1999by","1999/04/30","12.83","NGC 2841","09:21:52.07,09:21:52.18","+51:00:06.6,+51:00:07.2,+51:00:06.59","0.002128","Ia Pec","573","36","0"
"SN2005eq","2005/09/30","16.24","MCG -01-09-06","03:08:49.31,03:08:49.392,03:08:49.32","-07:01:59.7,-07:01:59.952,-07:01:59.70","0.028977","Ia","455","20",""
"SN1999ac","1999/02/26","14.04","NGC 6063","16:07:15.01","+07:58:20.4,+07:58:20.39","0.00944,0.0115","Ia Pec","413","39",""
"SN2005hk","2005/10/30","15.18","UGC 272","00:27:50.89,00:27:50.9,00:27:50.849,00:27:50.8824,00:27:50.8584,00:27:50.87","-01:11:53.3,-01:11:53,-01:11:53.484,-01:11:52.44,-01:11:53.34,-01:11:53.628,-01:11:52.5,-01:11:52.51","0.013004","Ia-02cx","401","44","0"
"SN1999dq","1999/09/02","14.43","NGC 976","02:33:59.68","+20:58:30.4,+20:58:30.40","0.01433,0.01433","Ia-91T","382","27",""
"SN1998de","1998/07/23","16.47","NGC 252","00:48:06.88","+27:37:28.5,+27:37:28.49","0.01647,0.01665","Ia Pec","319","10",""
"SN1998es","1998/11/13","13.3","NGC 632","01:37:17.60,01:37:17.50","+05:52:50.6,+05:52:50.30","0.01057,0.01057","Ia Pec","301","33",""
"SN1997br","1997/04/10","13.58","ESO 576-40","13:20:42.40","-22:02:12.3,-22:02:12.30,-22:02:13.3","0.006941","Ia Pec","280","26",""
"SN2007if","2007/08/16","17.48","J011051.37+152739","01:10:51.37,01:10:51.370,01:10:51.408,01:10:51.36","+15:27:39.9,+15:27:39.63,+15:27:39.6,+15:27:39.96,+15:27:39.89","0.0745","Ia Pec","232","34",""
"SN2002cx","2002/05/12","17.3","CGCG 044-035","13:13:49.72","+06:57:31.9,+06:57:31.90","0.02396,0.02396","Ia-02cx","227","13",""
"SN2008A","2008/01/02","15.68","NGC 634","01:38:17.38,01:38:17.394,01:38:17.4","+35:22:13.7,+35:22:13.06,+35:22:13.08,+35:22:13.69","0.016455","Ia-02cx","227","34","0"
"SN2002he","2002/10/28","15.8","UGC 4322","08:19:58.83","+62:49:13.2,+62:49:13.19","0.024564","Ia Pec","187","9",""
"SN1995ac","1995/09/22","17.14","2MFGC 17122","22:45:34.14","-08:45:04.7,-08:45:04.72","0.0499,0.0499,0.0422,0.0438,0.0441,0.0496","Ia Pec","186","6",""
"SN2002es","2002/08/23","15.8","UGC 2708","03:23:47.23","+40:33:53.5,+40:33:53.50","0.02843","Ia Pec","180","12",""
"SN2002fb","2002/09/06","16.28","NGC 759","01:57:48.90","+36:20:26.3,+36:20:26.30","0.015567","Ia-91bg","180","10",""
"SN1997bp","1997/04/06","13.76","NGC 4680","12:46:53.75","-11:38:33.2,-11:38:33.22","0.008309","Ia-HV","176","14",""
"SN2005gj","2005/09/26","17.02","SDSS J030111.99-003313.5","03:01:11.96,03:01:12.0,03:01:11.952,03:01:11.928","-00:33:13.9,-00:33:14,-00:33:13.932,-00:33:13.914,-00:33:14.1696,-00:33:13.90","0.0616","Ia","176","16","0"
"SN2011aa","2011/02/06","13.9","UGC 3906","07:36:42.63,07:36:42.48","+74:26:34.8,+74:26:35.52,+74:26:34.80,+74:26:34.7","0.012512","Ia Pec?","176","",""
"SN1997cn","1997/05/14","15.8","NGC 5490","14:09:57.76","+17:32:32.3,+17:32:32.32","0.0162,0.0175,0.0162","Ia-91bg","174","15",""
"SN1999da","1999/07/05","15.9","NGC 6411","17:35:22.96","+60:48:49.3,+60:48:49.28","0.01269,0.01269","Ia","172","6",""
"SN1995bd","1995/12/19","16.06","UGC 3151","04:45:21.24","+11:04:02.5,+11:04:02.50","0.0152,0.0146,0.0155","Ia","158","9",""
"SN1991bg","1991/12/03","13.46","NGC 4374","12:25:03.70,12:25:03.67,12:25:03.71,12:15:40.8","+12:52:15.6,+12:52:15.54,+12:52:15.82,+12:52:15.8,+12:52:15.5,+08:14:24","0.003539","Ia Pec","157","32","0"
"SN1997cw","1997/07/10","15.95","NGC 105","00:25:17.27","+12:53:06.2,+12:53:06.22","0.01765,0.01765","Ia","150","4",""
"SN2005bl","2005/04/14","16.8","NGC 4070","12:04:11.301,12:04:12.24,12:04:12.26","+20:24:35.36,+20:24:24.48,+20:24:24.84,+20:24:24.8,+20:24:24.80","0.02388","Ia Pec","146","26",""
"SN1998ab","1998/04/01","15.2","NGC 4704","12:48:47.24,12:48:47.28","+41:55:28.3,+41:55:28.2,+41:55:28.31","0.02725,0.02713","Ia-91T","145","13",""
"SN2011de","2011/05/22","15.05","UGC 10018","15:43:53.25,15:43:53.28","+67:45:42.5,+67:45:43.2,+67:45:42.52","0.029187","Ia Pec?","139","",""
"SN2008ae","2008/02/09","16.88","IC 577","09:56:03.20,09:56:03.160,09:56:03.12","+10:29:58.8,+10:29:58.52,+10:29:58.92,+10:29:58.81","0.03006","Ia-02cx","130","9",""
"SN2003gs","2003/07/29","13.32","NGC 936","02:27:38.36","-01:09:35.4,-01:09:35.39","0.00477","Ia","125","2",""
"SN1957A","1957/02/26","13.45","NGC 2841","09:21:51.2,09:21:50.4,09:21:51.20","+50:59:52,+50:59:43.0,+50:59:52.0","0.0021","Ia","111","2",""
