"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"SN2008ha","2008/11/07","17.02","UGC 12682","23:34:52.69,23:34:52.8","+18:13:35.4,+18:13:35.76,+18:13:35.40","0.004623","Ia-02cx","110","10","0"
"SN2002dl","2002/06/16","15.79","UGC 11994","22:20:53.96","+33:17:33.7,+33:17:33.68","0.016251","Ia Pec","106","4",""
"SN2010ag","2010/03/05","16.1","UGC 10679","17:03:53.63,17:03:53.653,17:03:53.52","+31:30:06.2,+31:30:06.70,+31:30:05.4,+31:30:06.19","0.033791","Ia","103","",""
"SN2005cc","2005/05/19","15.2","NGC 5383","13:57:04.85","+41:50:41.8,+41:50:41.78","0.00726","Ia-02cx","101","12",""
"DES16X3er","2016/08/24","19.56","","02:22:44.61","-05:04:31.6","0.167","Ia Pec","100","",""
"SN2001fh","2001/11/03","15.99","2MASX J21204248+4423590","21:20:42.50","+44:23:53.2,+44:23:53.20","0.01299,0.01299","Ia Pec","95","8",""
"SN2001ah","2001/03/27","16.8","UGC 6211","11:10:29.82,11:10:29.85","+55:09:39.0,+55:09:38.99","0.057756","Ia Pec","93","5",""
"SN1986G","1986/05/03","10.61","NGC 5128","13:25:36.46,13:25:36.51","-43:01:53.6,-43:01:54.17,-43:01:54.19,-43:01:54.2","0.00183,0.000848,0.00103","Ia-91bg","93","42","0"
"SN2013hy","2013/08/30","22.07","A024232-0121","02:42:32.82,02:42:32.83","-01:21:30.1,-01:21:30.10","0.663,0.663","SLSN-I","90","1",""
"SN2009nr","2009/12/22","13.71","UGC 8255","13:10:58.95,13:10:58.94","+11:29:29.3,+11:29:29.29,+11:29:29.6","0.011224","Ia","87","1",""
"SN2003D","2003/01/06","16.95","MCG -01-25-09","09:38:53.52,09:38:53.528","-04:51:05.1,-04:51:05.11,-04:51:05.19","0.022109","Ia","80","5",""
"SN2006em","2006/08/25","16.91","NGC 911","02:25:44.30","+41:56:31.8,+41:56:31.81","0.019233","Ia Pec","80","4",""
"SN2015bq","2015/02/16","15.86","PGC 41898","12:35:06.37,12:35:06.26,12:35:06.24","+31:14:35.4,+31:14:35.40,+31:14:35.6,+31:14:35.88","0.028178","Ia","79","2",""
"SN2003gq","2003/07/24","17.22","NGC 7407","22:53:20.68,22:53:20.638","+32:07:57.6,+32:07:57.61,+32:07:57.69","0.02145","Ia-02cx","77","3",""
"SN2004br","2004/05/15","15.46","NGC 4493","12:31:07.80","+00:36:47.6,+00:36:47.59","0.0194084,0.0198626","Ia","74","3",""
"SN2005js","2005/10/20","19.93","SDSS J13441.84-003615.0","01:34:41.51,01:34:41.5,01:34:41.52,01:34:41.496","-00:36:19.4,-00:36:19,-00:36:19.332,-00:36:19.584,-00:36:19.3608,-00:36:19.5912,-00:36:19.3,-00:36:19.30","0.079563","Ia","74","",""
"SN1990T","1990/07/21","17.81","PGC 63925","19:59:02.29,19:59:02.28","-56:15:30.1,-56:15:30.0,-56:15:29.99","0.040485","Ia","71","",""
"SN2012Z","2012/01/29","14.37","NGC 1309","03:22:05.3964,03:22:05.35","-15:23:14.939,-15:23:15.6,-15:23:15.61","0.007125","Ia Pec","71","37","0"
"SN2013bh","2013/04/03","18.26","A150213+1038","15:02:13.09,15:02:13.2","+10:38:45.6,+10:38:45.60","0.056,0.068","Ia Pec","69","20",""
"SN1999cw","1999/06/28","14.2","MCG -01-02-01","00:20:01.46","-06:20:03.6,-06:20:03.59","0.01237","Ia","68","7",""
"SN2011dn","2011/06/21","15.5","UGC 11501","19:58:35.53,19:58:35.52","+02:36:11.3,+02:36:16.31,+02:36:16.2","0.0252","Ia","68","",""
"SN2011ek","2011/08/04","14.66","NGC 918","02:25:48.89,02:25:48.888,02:25:48.88","+18:32:00.0,+18:31:59.16,+18:31:59.99","0.005027","Ia","65","2","0"
"SN2005dm","2005/08/26","16.77","IC 219","02:18:39.25","-06:54:10.8,-06:54:10.80","0.01684","Ia","64","1",""
"SN2010iw","2010/10/14","16.31","UGC 4570","08:45:15.01,08:45:14.88,08:45:15.0,08:45:15.12","+27:49:21.8,+27:49:23.88,+27:49:22,+27:49:21.79,+27:49:23.52,+27:49:21.72","0.021498","Ia Pec","57","",""
"SN2006H","2006/01/15","16.9","2MASX J03260105+4041403","03:26:01.49","+40:41:42.5,+40:41:42.50","0.01399","Ia","54","15",""
"SN2011ay","2011/03/18","16.73","NGC 2315","07:02:34.06","+50:35:25.0,+50:35:25.01","0.021","Ia-02cx","53","9",""
"SN2014dt","2014/10/29","14.97","NGC 4303","12:21:57.57,12:21:57.59","+04:28:18.5,+04:28:18.52,+04:28:18.3","0.0052","Ia Pec","50","2",""
"SN2014eg","2014/11/16","15.19","ESO 154-G10","02:45:09.27","-55:44:16.9,-55:44:16.91","0.018","Ia-91T","50","1",""
"SN2008dx","2008/06/24","17.4","NGC 4898A","13:00:14.31","+27:57:16.4,+27:57:16.42","0.02303","Ia","48","4",""
"SN1992K","1992/03/03","15.78","ESO 269-G57","13:10:04.20","-46:26:30.3,-46:26:30.30","0.01036","Ia","46","",""
"SN2016aqt","2016/02/28","16.7","PGC 4384817","13:45:50.75,13:45:50.73,13:45:50.88","+26:47:47.40,+26:47:47.4,+26:47:46.5,+26:47:46.68","0.05,0.05","Ia Pec","45","2",""
"SN2012ij","2012/12/29","15.5","MCG +03-30-38","11:40:15.84","+17:27:22.2,+17:27:22.21","0.010998","Ia","43","",""
"SN2006je","2006/10/15","17.8","IC 1735","01:50:53.28","+33:05:53.2,+33:05:53.20","0.038,0.033,0.038","Ia Pec","37","3",""
"OGLE-2013-SN-130","2013/12/01","19.59","","06:36:46.99","-68:52:22.4","0.09","Ia Pec","35","1",""
"SN2011eh","2011/07/20","14.81","NGC 3613","11:18:31.56,11:18:31.54,11:18:31.70","+57:58:36.9,+57:58:36.80,+57:58:37.2","0.0068","Ia","35","","0"
"SNLS-03D1cm","2003/10/26","23.27","[HSP2005] J022455.28-042303.68","02:24:55.268,02:24:55.288,02:24:55.294","-04:23:03.40,-04:23:03.400,-04:23:03.68,-04:23:03.61","0.87","Ia","32","1",""
"SN2014R","2014/02/08","15.65","UGC 5055","09:30:12.30,09:30:12.32","+55:51:13.5,+55:51:13.50,+55:51:13.9","0.025154","Ia-91T","32","",""
"SNLS-05D3gy","2005/04/11","23.04","","14:16:27.889","+52:13:44.79,+52:13:44.790","0.84","Ia Pec","30","",""
"ASASSN-14eu","2014/08/01","15.89","MCG -01-38-15","15:00:36.84,15:00:36.96","-03:50:48.9,-03:50:48.912","0.022722","Ia Pec","30","",""
"SN2010A","2010/01/04","15.1","UGC 2019","02:32:39.46,02:32:39.459","+00:37:10.2,+00:37:09.90,+00:37:10.20","0.020698","Ia","30","1",""
"OGLE-2013-SN-147","2013/12/24","19","","05:48:57.86","-66:40:15.7","0.099","Ia Pec","29","1",""
"SN2007qd","2007/10/31","20.2","SDSS J20932.72-005959.7","02:09:33.552,02:09:33.56","-01:00:02.232,-01:00:02.2,-01:00:02.448,-01:00:02.20","0.043357","Ia","27","1",""
"SN1997fc","1997/12/31","17.6","Abell 3301","04:59:58.81","-38:55:04.3,-38:55:04.30","0.054001","Ia","26","1",""
"SN2003jq","2003/10/22","19.24","A233051-0928","23:30:51.19,23:30:51.198,23:30:51.191","-09:28:34.0,-09:28:33.95,-09:28:34.00,-09:28:34.09,-09:28:34.044","0.156","Ia Pec","24","3",""
"SN2008ds","2008/06/28","15.4","UGC 299","00:29:50.83,00:29:50.820","+31:23:33.9,+31:23:33.88,+31:23:33.90","0.02103","Ia Pec","24","11",""
"SN2013U","2013/01/05","16.45","PGC 29001","10:01:12.00","+00:19:42.3,+00:19:42.31","0.03451","Ia Pec","24","7",""
"SN2015ac","2015/07/28","16.25","UGC 12474","23:16:43.32,23:16:43.39","+33:59:47.6,+33:59:47.62,+33:59:51.5","0.017","Ia-91bg","24","1",""
"SN2013cv","2013/05/20","18.82","A162243+1857","16:22:43.16,16:22:43.2","+18:57:35.6,+18:57:35.60,+18:57:35.28","0.035","Ia-91T","23","1",""
"SN2013hh","2013/12/12","15.9","UGC 6483","11:29:04.37","+17:14:09.5,+17:14:09.49","0.012","Ia-91T","23","1",""
"SN2006hn","2006/09/28","15.5","UGC 6154","11:07:18.67","+76:41:49.8,+76:41:49.81","0.0172","Ia-02cx","20","1",""
"MLS140102:120307-010132","2014/01/02","","","12:03:06.88,12:03:06.96","-01:01:31.7,-01:01:32.016,-01:01:31.764","0.06","Ia Pec","19","1",""
"SN2013dh","2013/06/12","16.53","NGC 5936","15:30:01.09","+12:59:12.9,+12:59:12.91","0.013356","Ia-91T","19","4",""
"SN2003fg","2003/05/05","20.05","A141618+5214","14:16:18.924,14:16:18.78,14:16:18.788","+52:14:53.68,+52:14:53.680,+52:14:55.4,+52:14:55.39,+52:14:55.49","0.2437,0.2437","Ia","18","1",""
"PS15aic","2015/05/03","19.14","2MASX J13304792+3806450","13:30:48.48,13:30:48.49","+38:06:32.6,+38:06:32.4","0.056","Ia-02cx","18","",""
"SN2010jn","2010/10/12","16.83","NGC 2929","09:37:30,09:37:29.83,09:37:30.30,09:37:30.24","+23:09:38.88,+23:09:41.8,+23:09:33.6,+23:09:33.30","0.025047","Ia","17","7",""
"ASASSN-15hy","2015/04/25","15.49","","20:10:02.350,20:10:02.35,20:10:02.34,20:10:02.4","-00:44:21.31,-00:44:21.3","0.025,0.032","Ia Pec","16","1",""
"SN2015M","2015/05/13","16.06","A130032+2758","13:00:32.30,13:00:32.32,13:00:32.4","+27:58:41.1,+27:58:41.09,+27:58:40.9,+27:58:40.8","0.023","Ia-91T","16","",""
"SN2012em","2012/09/09","","PGC 69614","22:44:01.66,22:44:01.68","+15:51:49.3,+15:51:49.28,+15:51:50.4","0.0381","Ia Pec","15","1",""
"SN2010jf","2010/10/20","","PGC 1183175","03:40:43.47,03:40:43.464","+01:03:34.0,+01:03:33.98,+01:03:33.408","0.024","Ia","14","",""
"ESSENCE k411","2004/11/12","22.26","","23:26:11.77,23:26:11.781","-08:50:17.5,-08:50:17.50,-08:50:17.355","0.564","Ia Pec","13","1",""
"SN2002ic","2002/11/13","17.8","A013002+2153","01:30:02.55","+21:53:06.9,+21:53:06.90","0.066,0.066","Ia","13","","0"
"SN2009li","2009/11/16","17.69","IC 1549","00:22:51.40,00:22:51.395","+06:58:11.8,+06:58:11.35,+06:58:11.78","0.0404,0.0392,0.0404","Ia","13","",""
"CSS130930:013836-192936","2013/09/26","","","01:38:36.50,01:38:36.49,01:38:36.504","-19:29:35.7,-19:29:35.88","0.071","Ia","12","1",""
"SN2010ae","2010/02/22","15.9","ESO 162-G17","07:15:54.65","-57:20:36.9,-57:20:36.89","0.003662","Ia-02cx","11","22",""
"SN2010lh","2010/11/27","","A013033+1040","01:30:33.70,01:30:33.696","+10:40:27.0,+10:40:27.01,+10:40:27.12","","Ia","11","",""
"SN2013ew","2013/08/13","18.05","A221009+1116","22:10:09.69,22:10:09.67","+11:16:47.9,+11:16:47.89,+11:16:48.0","0.056","Ia-91T","11","16",""
"SN2016atw","2016/03/05","19.32","","13:15:13.36,13:15:13.34","-17:33:43.63,-17:33:43.6","0.065,0.065","Ia Pec","11","",""
"SN2016ccj","2016/05/03","17.45","SDSS J171023.62+262350.3","17:10:23.92,17:10:23.919,17:10:24","+26:23:47.90,+26:23:47.89,+26:23:48.48,+26:23:47.76","0.03,0.03","Ia Pec","11","",""
"SN2010el","2010/06/19","16.3","NGC 1566","04:19:58.83","-54:56:38.5,-54:56:38.51","0.005,0.005","Ia-02cx","10","",""
"SN2016bkr","2016/03/20","17.32","2MASX J11032043+7153141","11:03:21.02,11:03:21.01","+71:53:12.74,+71:53:12.7","0.032,0.032","Ia Pec","9","1",""
"SN2016gxp","2016/10/05","16.13","NGC 51","00:14:34.65,00:14:34.650,00:14:34.582","+48:15:08.10,+48:15:07.92","0.0186,0.0186","Ia","9","",""
"SN2001de","2001/07/13","16.5","UGC 12089","22:34:18.06","+50:24:54.7,+50:24:54.68","0.03106","Ia","8","2",""
"CSS120413:132702-014513","2012/04/13","","","13:27:02.04,13:27:02.16","-01:45:12.7,-01:45:12.708","0.084","Ia Pec","8","1",""
"SN2012fe","2012/09/26","","A174312+3646","17:43:12.18,17:43:12.24,17:43:12.182","+36:46:02.5,+36:46:02.50,+36:46:02.64,+36:46:02.49","0.05","Ia","8","",""
"SN2001ei","2001/08/19","17.8","LOTOSS J235102.95+271050.6","23:51:02.95","+27:10:55.6,+27:10:55.60","0.0282","Ia Pec","7","2",""
"SN2002cv","2002/05/13","16.6","NGC 3190","10:18:03.68","+21:50:06.2,+21:50:06.0,+21:50:06.00","0.00424,0.00424","Ia","7","2","0"
"SN2011he","2011/10/20","","A223646+2021","22:36:46.72,22:36:46.8","+20:21:31.2,+20:21:31.21,+20:21:31.32","0.055","Ia Pec","6","1",""
"LSQ15adm","2015/04/05","16.98","","20:14:21.820,20:14:21.82,20:14:21.84","-58:08:20.20,-58:08:20.4","0.073","Ia","6","1",""
"SN2011hk","2011/10/31","16.1","NGC 881","02:18:45.81,02:18:45.816,02:18:45.79,02:18:45.84","-06:38:30.5,-06:38:30.516,-06:38:30.08,-06:38:30.3","0.017555","Ia Pec","5","3",""
"SN2011hr","2011/11/08","13.8","NGC 2691","08:54:46.03,08:54:46.02","+39:32:16.1,+39:32:16.12","0.013279","Ia","5","12",""
"SN2013bp","2013/04/15","","A121904+4224","12:19:04.88,12:19:04.8,12:19:05","+42:24:53.9,+42:24:53.89,+42:24:53.8,+42:24:54","0.076","Ia","5","1",""
"SN2016fov","2016/08/31","17.5","","16:48:21.28,16:48:21.280,16:48:21.36","+06:16:14.50,+06:16:15.024,+06:16:14.268","0.036,0.036","Ia Pec","5","1",""
"CSS130502:102512+302715","2013/05/02","","","10:25:12.31,10:25:12.24","+30:27:14.5,+30:27:14.4","0.06","Ia Pec","4","",""
"SN2011gu","2011/10/14","18.24","NGC 7485","23:06:02.80,23:06:02.88,23:06:04.85,23:06:02.79","+34:06:36.7,+34:06:36.72,+34:06:27.7,+34:06:36.68","0.019","Ia","4","1",""
"Gaia15abu","2015/02/09","18.5","","17:04:50.13,17:04:50.16","+41:01:04.3,+41:01:04.44","0.075","Ia Pec","4","",""
"SN2003M","2003/01/13","17.3","UGC 7224","12:13:21.00,12:13:21.008","+21:38:48.4,+21:38:48.41,+21:38:48.49","0.02424","Ia Pec","3","5",""
"SN2000ej","2000/11/02","18","IC 1371","21:20:15.66","-04:52:40.5,-04:52:40.51","0.03036","Ia","2","1",""
"SN2002bp","2002/03/08","18.4","UGC 6332","11:19:18.20","+20:48:23.1,+20:48:23.11","0.02077","Ia-02cx","2","1",""
"SN2002by","2002/03/31","14.5","ESO 139-G34","17:50:18.58","-59:33:51.6,-59:33:51.59","0.013","Ia","2","",""
"SN2008ge","2008/10/08","12.4","NGC 1527","04:08:24.68","-47:53:47.4,-47:53:47.40","0.003916,0.004043","Ia-02cx","2","2",""
"SN2009bp","2009/03/17","","A140750+3638","14:07:49.75,14:07:49.68","+36:38:37.1,+36:38:37.10,+36:38:36.96","","Ia","2","",""
"CSS120419:143825+175814","2012/04/19","","","14:38:25.29,14:38:25.2","+17:58:14.0,+17:58:14.1,+17:58:14.16","0.179,0.171","Ia Pec","2","3",""
"SN2013bx","2013/04/09","19","A124724+3232","12:47:24.22,14:27:03.31","+32:32:50.0,+32:32:49.99,+34:51:36.3","0.0775,0.166","Ia","2","4",""
"SN2013go","2013/10/21","19.03","A032744-2829","03:27:44.64","-28:29:13.5,-28:29:13.49,-28:29:13.6","0.076","Ia","2","",""
"SN2013X","2013/02/06","17.3","A121715+4643","12:17:15.19","+46:43:35.9,+46:43:35.90","0.0326","Ia","2","",""
"SN1991bj","1991/12/30","18.8","IC 344","03:41:30.47,03:41:30.45,03:41:30.48","-04:39:49.5,-04:39:49.58,-04:39:49.61,-04:39:49.6","0.01815","Ia-02cx","1","2",""
"SN1991F","1991/02/10","18","NGC 3458","10:56:02.21,10:56:02.2,10:56:03.14","+57:06:48.1,+57:06:48.0,+57:06:49.0","0.0059","Ia","1","3",""
"SN1992bf","1992/10/02","17","NGC 930","02:27:55.13,02:27:55.100,02:27:55.35","+20:19:45.2,+20:19:45.0,+20:19:46.5","0.014","Ia Pec","1","",""
"SN1999J","1999/01/11","17","A053532-6929","05:35:32.27","-69:29:52.1,-69:29:52.12","0.033,0.033","Ia","1","",""
"SN2003gj","2003/06/30","17.6","NGC 7017","21:07:19.18,21:07:19.188","-25:29:23.6,-25:29:23.60,-25:29:23.69","0.03375","Ia","1","2",""
"SN2004da","2004/07/06","15.2","NGC 6901","20:22:21.24","+06:25:50.3,+06:25:50.30","0.01588","Ia","1","4",""
"SN2004gw","2004/12/27","17.5","CGCG 283-003","05:08:48.41","+62:26:20.7,+62:26:20.69","0.01702","Ia-02cx","1","2",""
"SN2004W","2004/01/28","18.8","NGC 4649","12:43:36.52","+11:31:50.8,+11:31:50.81","0.003729","Ia","1","1",""
"SN2005er","2005/09/29","18.4","NGC 7385","22:50:00.84","+11:37:05.7,+11:37:05.70","0.02618","Ia Pec","1","3",""
"SN2005L","2005/01/15","18.2","MCG +07-33-05","15:53:25.92","+39:23:08.1,+39:23:08.09","0.07045","Ia","1","",""
"SN2005P","2005/01/21","18","NGC 5468","14:06:34.01","-05:27:42.6,-05:27:42.59","0.00948","Ia-02cx","1","2",""
"SN2007ao","2007/03/13","17.6","NGC 5532","14:16:49.74","+10:48:24.1,+10:48:24.08","0.0247,0.0247","Ia","1","5",""
"SN2008hd","2008/09/24","20.2","A235407-1015","23:54:07.84","-10:15:43.4,-10:15:43.42","0.08,0.08","Ia","1","",""
"SN2009bs","2009/03/21","17.6","NGC 5163","13:26:56.20","+52:45:17.5,+52:45:17.50","0.03,0.03","Ia","1","",""
"SN2009eq","2009/05/11","17.5","NGC 6686","18:40:08.30","+40:07:36.5,+40:07:36.52","0.0236","Ia","1","",""
"SN2009fl","2009/05/30","17.6","NGC 6146","16:25:10.10","+40:53:20.8,+40:53:20.80","0.0294","Ia","1","",""
"SN2009fx","2009/05/29","18","A165311+2357","16:53:11.28","+23:57:54.6,+23:57:54.9,+23:57:54.90","0.04766","Ia","1","",""
"SN2009fy","2009/06/01","16","A232405+1639","23:24:05.13","+16:39:50.9,+16:39:50.90","0.0408","Ia","1","",""
"SN2009hs","2009/07/28","17.2","NGC 6521","17:55:50.93","+62:35:59.1,+62:35:59.10","0.02721","Ia","1","",""
"SN2009ih","2009/08/21","17.3","MCG +07-33-12","15:55:31.05","+41:56:54.0,+41:56:53.99","0.0329","Ia","1","",""
"SN2009in","2009/08/25","16.3","MCG -02-59-13","23:22:35.32","-13:05:43.6,-13:05:43.58","0.0237","Ia","1","",""
"SN2009J","2009/01/13","17.4","IC 2160","05:55:21.13","-76:55:20.8,-76:55:20.78","0.0158","Ia-02cx","1","",""
"SN2009jz","2009/10/18","17","ESO 159-G23","05:40:05.30","-55:32:03.9,-55:32:03.91","0.024,0.024","Ia","1","",""
"SN2009L","2009/01/13","16.8","NGC 4854","12:58:48.10","+27:40:25.6,+27:40:25.61","0.0279","Ia","1","",""
"SN2009mx","2009/12/24","18.1","NGC 2839","09:20:37.72","+33:38:52.9,+33:38:52.91","0.0275","Ia","1","",""
"SN2009P","2009/01/28","16.1","PGC 34730","11:20:38.78","-03:32:46.3,-03:32:46.28","0.0251","Ia","1","",""
"SN2009U","2009/02/02","16.1","NGC 3831","11:43:18.72","-12:52:46.1,-12:52:46.09","0.0165","Ia","1","",""
"ASASSN-14ba","2014/05/19","16.6","SDSS J102131.91+082419.8","10:21:31.900,10:21:31.90,10:21:31.68,10:21:31.9","+08:24:21.12,+08:24:21.1,+08:24:18.648","0.032668","Ia Pec","1","1",""
"iPTF14flj","2014/09/15","20.1","","21:39:20.15","+27:07:31.2","0.18","Ia Pec","1","1",""
"LSQ12bjm","2012/03/21","16.9","","14:07:53.88","-12:46:16.7","0.053","Ia Pec","1","1",""
"LSQ12bpc","2012/03/31","18.5","","14:48:53.50","+15:36:53.3","0.05","Ia Pec","1","1",""
"LSQ12byu","2012/04/17","20.4","","12:16:05.88","+09:38:07.1","0.34","Ia Pec","1","5",""
"LSQ12bzs","2012/04/18","19.3","","15:13:40.78","-19:26:54.6","0.085","Ia Pec","1","1",""
"LSQ12bzz","2012/04/19","19.6","","10:35:18.70","-04:26:04.2","0.073","Ia Pec","1","1",""
"LSQ12caf","2012/04/19","18.5","","16:18:24.36","-04:08:57.1","0.095","Ia Pec","1","1",""
"LSQ12cbn","2012/04/19","20.5","","14:48:00.55","+20:49:52.7","0.194,0.191","Ia Pec","1","1",""
"LSQ12ccc","2012/04/20","18.8","","14:24:31.34","-10:35:21.8","0.18","Ia Pec","1","2",""
"LSQ12dvj","2012/07/23","20","","01:53:13.58","-01:51:04.3","0.13","Ia Pec","1","1",""
"LSQ14dtt","2014/07/10","18.5","","21:33:10.24","-18:20:26.1","0.05","Ia Pec","1","1",""
"PS1-12bwh","2012/10/22","18.9","CGCG 205-021","07:09:24.29","+39:06:15.8","0.023","Ia Pec","1","",""
"PSN J22522345-2036537","2012/10/05","18.4","","22:52:23.45","-20:36:53.7","0.033145","Ia Pec","1","7",""
"PTF10guz","2010/05/06","19.9","","12:49:22.81","-06:23:51.3","","Ia Pec","1","","0"
