sn1993ac 0.625 0.461
sn1993ae 0.145 0.107
sn1994D 0.082 0.06
sn1994M 0.091 0.067
sn1994Q 0.065 0.048
sn1994S 0.081 0.06
sn1994T 0.112 0.083
sn1994ae 0.114 0.084
sn1995D 0.214 0.157
sn1995E 0.103 0.076
sn1995Y 0.223 0.164
sn1995ac 0.158 0.117
sn1995ak 0.145 0.107
sn1995al 0.05 0.037
sn1995bd 1.909 1.406
sn1996C 0.053 0.039
sn1996V 0.185 0.136
sn1996X 0.262 0.193
sn1996Z 0.237 0.175
sn1996ab 0.123 0.091
sn1996ac 0.09 0.067
sn1996ai 0.053 0.039
sn1996bk 0.069 0.051
sn1996bl 0.434 0.319
sn1996bo 0.29 0.213
sn1996bt 0.523 0.385
sn1996bv 0.395 0.291
sn1996by 0.396 0.292
sn1996ca 0.223 0.164
sn1997E 0.519 0.382
sn1997Y 0.064 0.047
sn1997bp 0.169 0.124
sn1997bq 0.152 0.112
sn1997br 0.421 0.31
sn1997by 0.202 0.149
sn1997bz 0.146 0.107
sn1997cn 0.103 0.076
sn1997ct 0.061 0.045
sn1997cw 0.282 0.207
sn1997do 0.239 0.176
sn1997dt 0.209 0.154
sn1998D 0.057 0.042
sn1998V 0.759 0.559
sn1998ab 0.067 0.049
sn1998an 0.344 0.254
sn1998aq 0.054 0.04
sn1998bn 0.369 0.272
sn1998bp 0.298 0.219
sn1998bu 0.093 0.069
sn1998cn 0.064 0.047
sn1998co 0.156 0.115
sn1998cs 0.046 0.034
sn1998de 0.22 0.162
sn1998dh 0.249 0.184
sn1998dk 0.194 0.143
sn1998dm 0.175 0.129
sn1998dx 0.161 0.118
sn1998eb 0.46 0.339
sn1998ec 0.317 0.234
sn1998ef 0.276 0.204
sn1998eg 0.497 0.366
sn1998es 0.132 0.097
sn1998ex 0.123 0.09
sn1999X 0.125 0.092
sn1999aa 0.149 0.11
sn1999ac 0.171 0.126
sn1999be 0.183 0.135
sn1999bh 0.057 0.042
sn1999bt 0.187 0.137
sn1999bv 0.105 0.077
sn1999by 0.061 0.045
sn1999cb 0.03 0.022
sn1999cc 0.085 0.063
sn1999ce 0.055 0.04
sn1999cf 0.072 0.053
sn1999cl 0.14 0.103
sn1999cm 0.056 0.042
sn1999cp 0.094 0.069
sn1999cw 0.133 0.098
sn1999da 0.217 0.16
sn1999dq 0.429 0.316
sn1999ef 0.322 0.237
sn1999ej 0.264 0.195
sn1999ek 2.157 1.589
sn1999gd 0.153 0.113
sn1999gh 0.226 0.166
sn1999gj 0.106 0.078
sn1999gm 0.152 0.112
sn1999gp 0.205 0.151
sn2000A 0.224 0.165
sn2000B 0.252 0.185
sn2000E 1.396 1.029
sn2000K 0.046 0.034
sn2000O 0.159 0.117
sn2000bh 0.275 0.202
sn2000bk 0.102 0.075
sn2000ce 0.208 0.153
sn2000cf 0.13 0.096
sn2000cm 0.07 0.052
sn2000cn 0.21 0.154
sn2000cp 0.185 0.137
sn2000cu 0.337 0.248
sn2000cv 0.075 0.055
sn2000cw 0.273 0.201
sn2000cx 0.307 0.226
sn2000dg 0.388 0.286
sn2000dk 0.272 0.2
sn2000dl 0.162 0.119
sn2000dm 0.709 0.522
sn2000dn 0.188 0.138
sn2000dp 0.142 0.104
sn2000ey 0.286 0.211
sn2000fa 0.252 0.186
sn2000fd 0.317 0.233
sn2000fo 0.278 0.204
sn2001C 0.257 0.189
sn2001E 0.145 0.107
sn2001F 0.103 0.076
sn2001G 0.06 0.044
sn2001L 0.14 0.103
sn2001N 0.098 0.072
sn2001P 0.152 0.112
sn2001U 0.165 0.122
sn2001V 0.086 0.063
sn2001ah 0.051 0.037
sn2001ay 0.073 0.053
sn2001az 0.185 0.137
sn2001bf 0.378 0.278
sn2001bg 0.147 0.108
sn2001bp 0.091 0.067
sn2001br 0.248 0.183
sn2001bs 0.111 0.082
sn2001cj 0.053 0.039
sn2001ck 0.05 0.037
sn2001cp 0.585 0.431
sn2001da 0.243 0.179
sn2001de 0.817 0.602
sn2001eb 0.314 0.231
sn2001ec 0.311 0.229
sn2001ed 0.215 0.158
sn2001eh 0.238 0.176
sn2001en 0.202 0.148
sn2001eo 0.212 0.156
sn2001ep 0.174 0.128
sn2001es 0.309 0.227
sn2001ex 0.198 0.146
sn2001fe 0.082 0.061
sn2001fh 3.018 2.223
sn2001fu 0.719 0.53
sn2001gb 0.124 0.091
sn2001gc 0.784 0.577
sn2001ib 0.556 0.409
sn2001ic 0.285 0.21
sn2001ie 0.035 0.026
sn2001if 0.235 0.173
sn2001iq 0.534 0.393
sn2002G 0.048 0.035
sn2002H 0.296 0.218
sn2002I 0.131 0.097
sn2002ar 0.115 0.085
sn2002av 0.177 0.13
sn2002aw 0.028 0.021
sn2002bf 0.042 0.031
sn2002bg 0.126 0.093
sn2002bi 0.12 0.088
sn2002bn 0.053 0.039
sn2002bo 0.093 0.068
sn2002br 0.106 0.078
sn2002bs 0.306 0.226
sn2002bt 0.104 0.077
sn2002bw 2.545 1.875
sn2002bz 0.078 0.057
sn2002cc 0.193 0.142
sn2002cd 1.568 1.155
sn2002cf 0.134 0.099
sn2002ci 0.122 0.09
sn2002ck 0.374 0.275
sn2002cr 0.094 0.069
sn2002cs 0.4 0.295
sn2002cu 0.233 0.172
sn2002cx 0.125 0.092
sn2002db 0.12 0.088
sn2002de 0.072 0.053
sn2002df 0.206 0.152
sn2002di 0.129 0.095
sn2002dj 0.352 0.26
sn2002dk 0.541 0.398
sn2002dl 0.286 0.211
sn2002do 1.359 1.001
sn2002dp 0.181 0.133
sn2002ef 0.117 0.086
sn2002er 0.637 0.469
sn2002es 0.715 0.527
sn2002et 0.522 0.385
sn2002eu 0.174 0.128
sn2002ey 0.226 0.166
sn2002fb 0.334 0.246
sn2002fk 0.149 0.11
sn2002ha 0.384 0.283
sn2002hd 0.143 0.106
sn2002he 0.154 0.114
sn2002hu 0.165 0.122
sn2002hv 0.067 0.049
sn2002hw 0.459 0.338
sn2002jg 0.242 0.179
sn2002jm 0.19 0.14
sn2002jy 0.202 0.149
sn2002kf 0.426 0.314
sn2003D 0.245 0.181
sn2003F 1.227 0.904
sn2003K 0.107 0.079
sn2003M 0.107 0.079
sn2003S 0.034 0.025
sn2003U 0.111 0.082
sn2003W 0.18 0.133
sn2003Y 0.178 0.131
sn2003ae 0.089 0.065
sn2003af 0.063 0.046
sn2003ag 0.129 0.095
sn2003ai 0.062 0.046
sn2003ar 0.099 0.073
sn2003bt 0.136 0.1
sn2003cg 0.113 0.084
sn2003ch 0.275 0.202
sn2003cq 0.079 0.058
sn2003de 0.054 0.04
sn2003dt 0.384 0.283
sn2003du 0.039 0.029
sn2003eh 0.169 0.125
sn2003ek 0.086 0.063
sn2003ep 0.482 0.355
sn2003ez 0.118 0.087
sn2003fa 0.152 0.112
sn2003fd 0.029 0.021
sn2003ge 0.067 0.049
sn2003gj 0.243 0.179
sn2003gn 0.189 0.139
sn2003gq 0.27 0.199
sn2003hm 0.229 0.169
sn2003hu 0.233 0.172
sn2003hv 0.063 0.046
sn2003hw 0.841 0.619
sn2003hx 0.306 0.225
sn2003hz 1.976 1.456
sn2003ia 0.087 0.064
sn2003ic 0.138 0.102
sn2003if 0.084 0.062
sn2003im 9.606 7.076
sn2003in 0.952 0.701
sn2003it 0.273 0.201
sn2003iu 0.289 0.213
sn2003iv 0.559 0.411
sn2003iz 0.288 0.212
sn2003jz 0.056 0.041
sn2003kc 0.077 0.056
sn2003kd 0.775 0.571
sn2003kf 1.184 0.872
sn2003kg 0.174 0.128
sn2003kh 0.419 0.309
sn2003kz 0.042 0.031
sn2003lc 0.205 0.151
sn2003lq 0.156 0.115
sn2004B 0.465 0.342
sn2004H 0.082 0.06
sn2004J 0.268 0.198
sn2004K 0.376 0.277
sn2004L 0.12 0.088
sn2004P 0.044 0.032
sn2004ab 0.302 0.223
sn2004ap 0.136 0.1
sn2004as 0.057 0.042
sn2004at 0.045 0.033
sn2004av 0.204 0.15
sn2004az 0.078 0.058
sn2004bc 0.242 0.178
sn2004bd 0.088 0.065
sn2004bg 0.085 0.062
sn2004bj 0.118 0.087
sn2004bk 0.095 0.07
sn2004bo 0.32 0.236
