Spectra SNR
sn1994ae-19951202.47-mmt 1.66520826947
sn1994D-19951124.46-mmt 1.55202335347
sn1995ac-19951123.07-mmt 2.39671918316
sn1995bd-19960224.11-mmt 1.31068735347
sn1995D-19951124.46-mmt 1.52969052574
sn1995D-19951202.44-mmt 1.45348670586
sn2000B-20000309.13-fast 2.58539075618
sn2000cn-20000803.24-fast 2.57218507057
sn2001ec-20010911.45-fast 2.76577654756
sn2001eh-20011117.20-fast 2.78139020993
sn2002et-20020906.30-fast 2.04808132216
sn2003ch-20030411.18-fast 2.77133650448
sn2003ch-20030428.15-fast 2.98343993344
sn2003dt-20030505.46-fast 2.91064152156
sn2003fa-20030731.21-fast 0.953824241282
sn2003fd-20030630.24-fast 2.715577946
sn2003kf-20050111.11-ldss2 2.21510870879
sn2004cu-20040707.19-fast 2.44284574839
sn2005am-20050517.14-fast 0.609935049681
sn2005mz-20060201.15-fast 2.23763385361
sn2006az-20060403.30-fast 2.59233832598
sn2007F-20070309.39-fast 2.7068541229
sn2007fb-20070902.32-fast 2.67744821488
sn2007if-20071105.34-fast 2.69674894663
