Wavelength Flux
3810.0 1.73413315854e-14
3820.0 1.95455205932e-14
3830.0 2.26427252354e-14
3840.0 2.63356603528e-14
3850.0 3.02941930118e-14
3860.0 3.6358089156e-14
3870.0 4.05007582715e-14
3880.0 4.47028654122e-14
3890.0 4.81469188705e-14
3900.0 5.05949234941e-14
3910.0 5.11012322934e-14
3920.0 5.11757294852e-14
3930.0 5.1855238317e-14
3940.0 5.27899154462e-14
3950.0 5.08898743678e-14
3960.0 4.95570530695e-14
3970.0 4.53425457406e-14
3980.0 4.29710098416e-14
3990.0 4.02798539281e-14
4000.0 3.88114043243e-14
4010.0 3.84426490018e-14
4020.0 3.87232135817e-14
4030.0 3.97911585747e-14
4040.0 4.1209971227e-14
4050.0 4.20953146883e-14
4060.0 4.27269650855e-14
4070.0 4.24749385242e-14
4080.0 4.21896851014e-14
4090.0 4.17249331123e-14
4100.0 4.12490457677e-14
4110.0 4.09723622738e-14
4120.0 4.09080796446e-14
4130.0 4.07712431578e-14
4140.0 4.09978033928e-14
4150.0 4.10411128861e-14
4160.0 4.12803351076e-14
4170.0 4.15569804096e-14
4180.0 4.17092970968e-14
4190.0 4.16564124887e-14
4200.0 4.11237274455e-14
4210.0 3.97255895393e-14
4220.0 3.83359200448e-14
4230.0 3.69374085586e-14
4240.0 3.55036621741e-14
4250.0 3.43214861795e-14
4260.0 3.32648820257e-14
4270.0 3.24947321012e-14
4280.0 3.14057720103e-14
4290.0 3.018242282e-14
4300.0 2.88467185877e-14
4310.0 2.7381495289e-14
4320.0 2.65581256062e-14
4330.0 2.58957969329e-14
4340.0 2.54853028808e-14
4350.0 2.51704015174e-14
4360.0 2.47733235911e-14
4370.0 2.44180860518e-14
4380.0 2.41910370717e-14
4390.0 2.44626140895e-14
4400.0 2.51355974056e-14
4410.0 2.59346430735e-14
4420.0 2.73281198422e-14
4430.0 2.90528253394e-14
4440.0 3.05041468669e-14
4450.0 3.18205599064e-14
4460.0 3.28372246993e-14
4470.0 3.38202718926e-14
4480.0 3.48045188071e-14
4490.0 3.58254356726e-14
4500.0 3.6925277968e-14
4510.0 3.76221619093e-14
4520.0 3.87357115035e-14
4530.0 3.90397593782e-14
4540.0 3.90786434368e-14
4550.0 3.8872131644e-14
4560.0 3.82787641016e-14
4570.0 3.77574611592e-14
4580.0 3.74144209845e-14
4590.0 3.72676107406e-14
4600.0 3.69319795677e-14
4610.0 3.66938296024e-14
4620.0 3.59569058015e-14
4630.0 3.49897417693e-14
4640.0 3.36402427602e-14
4650.0 3.20649842122e-14
4660.0 3.05678671743e-14
4670.0 2.96425912434e-14
4680.0 2.91944333889e-14
4690.0 2.8426690852e-14
4700.0 2.700748932e-14
4710.0 2.54175153714e-14
4720.0 2.38861236146e-14
4730.0 2.21411160331e-14
4740.0 2.13902670379e-14
4750.0 2.12438583566e-14
4760.0 2.11282380106e-14
4770.0 2.12674261722e-14
4780.0 2.16040314521e-14
4790.0 2.17655442142e-14
4800.0 2.1155629e-14
4810.0 2.04704446321e-14
4820.0 1.94811147927e-14
4830.0 1.92454826347e-14
4840.0 1.90026187511e-14
4850.0 1.90780025135e-14
4860.0 1.95526218562e-14
4870.0 2.02056811013e-14
4880.0 2.1669719731e-14
4890.0 2.35089686228e-14
4900.0 2.53309309636e-14
4910.0 2.64620826596e-14
4920.0 2.60368553574e-14
4930.0 2.47716941329e-14
4940.0 2.32790429256e-14
4950.0 2.21212137182e-14
4960.0 2.07515767367e-14
4970.0 1.95497810969e-14
4980.0 1.927225208e-14
4990.0 1.91384750146e-14
5000.0 1.93949551051e-14
5010.0 1.98526142294e-14
5020.0 2.02665252931e-14
5030.0 2.09811323796e-14
5040.0 2.20198740158e-14
5050.0 2.25217042583e-14
5060.0 2.32775372633e-14
5070.0 2.41554582894e-14
5080.0 2.4859917024e-14
5090.0 2.56380907612e-14
5100.0 2.63676231922e-14
5110.0 2.71836032297e-14
5120.0 2.81284178298e-14
5130.0 2.90137610899e-14
5140.0 2.95188288642e-14
5150.0 3.02145170212e-14
5160.0 3.02175537293e-14
5170.0 3.03903303479e-14
5180.0 3.03511831793e-14
5190.0 3.05305872024e-14
5200.0 3.06012441907e-14
5210.0 3.04425618154e-14
5220.0 2.99005504174e-14
5230.0 2.92034324715e-14
5240.0 2.80274836103e-14
5250.0 2.62518966265e-14
5260.0 2.43236583236e-14
5270.0 2.29140898962e-14
5280.0 2.18464168702e-14
5290.0 2.13372602374e-14
5300.0 2.15780841444e-14
5310.0 2.15387875709e-14
5320.0 2.14850599519e-14
5330.0 2.1057619984e-14
5340.0 2.08918147786e-14
5350.0 2.06643299149e-14
5360.0 2.06082822238e-14
5370.0 2.06258773479e-14
5380.0 2.03088451807e-14
5390.0 2.02695428492e-14
5400.0 2.04340938961e-14
5410.0 2.03529391899e-14
5420.0 1.97367035494e-14
5430.0 1.88830462565e-14
5440.0 1.83630330549e-14
5450.0 1.76743614453e-14
5460.0 1.68126781019e-14
5470.0 1.63221577893e-14
5480.0 1.65368355293e-14
5490.0 1.71555255218e-14
5500.0 1.80225765551e-14
5510.0 1.83613164412e-14
5520.0 1.90709781769e-14
5530.0 1.956234932e-14
5540.0 1.97000986309e-14
5550.0 1.9872005299e-14
5560.0 1.97969484727e-14
5570.0 1.97103432284e-14
5580.0 1.96832127444e-14
5590.0 1.93941726406e-14
5600.0 1.93840985245e-14
5610.0 1.93394455598e-14
5620.0 1.92194324075e-14
5630.0 1.9170454375e-14
5640.0 1.87980964694e-14
5650.0 1.84937331658e-14
5660.0 1.8142945891e-14
5670.0 1.77928262533e-14
5680.0 1.75229737184e-14
5690.0 1.70316539088e-14
5700.0 1.65617232302e-14
5710.0 1.63189758956e-14
5720.0 1.61159945167e-14
5730.0 1.61622893786e-14
5740.0 1.62985187868e-14
5750.0 1.66386161835e-14
5760.0 1.69045623405e-14
5770.0 1.7459469355e-14
5780.0 1.79413207224e-14
5790.0 1.88347574575e-14
5800.0 1.93889608633e-14
5810.0 1.99024540502e-14
5820.0 2.04018698066e-14
5830.0 2.07556580696e-14
5840.0 2.13380308004e-14
5850.0 2.14000067393e-14
5860.0 2.13169863416e-14
5870.0 2.10880660183e-14
5880.0 2.12156160129e-14
5890.0 1.99923422553e-14
5900.0 2.02680836043e-14
5910.0 2.00573164485e-14
5920.0 1.94030832702e-14
5930.0 1.92343564221e-14
5940.0 1.8705376033e-14
5950.0 1.84219856755e-14
5960.0 1.8103423295e-14
5970.0 1.77585418487e-14
5980.0 1.74210277158e-14
5990.0 1.70857888088e-14
6000.0 1.68643879964e-14
6010.0 1.65829322121e-14
6020.0 1.63185913492e-14
6030.0 1.58576960997e-14
6040.0 1.50554924072e-14
6050.0 1.3374505866e-14
6060.0 1.15810603728e-14
6070.0 9.94176997627e-15
6080.0 8.29447597818e-15
6090.0 7.21783549101e-15
6100.0 6.17991776597e-15
6110.0 5.65381338351e-15
6120.0 5.41207171969e-15
6130.0 5.29275674304e-15
6140.0 5.2912119841e-15
6150.0 5.64057352875e-15
6160.0 6.19567375922e-15
6170.0 6.82762004383e-15
6180.0 7.96246270239e-15
6190.0 8.93561046528e-15
6200.0 1.00006280901e-14
6210.0 1.08148725763e-14
6220.0 1.16605169034e-14
6230.0 1.22105369083e-14
6240.0 1.27830073545e-14
6250.0 1.25954652219e-14
6260.0 1.30468332082e-14
6270.0 1.31983912655e-14
6280.0 1.32902452956e-14
6290.0 1.3318235825e-14
6300.0 1.31713930711e-14
6310.0 1.32836877899e-14
6320.0 1.32923322579e-14
6330.0 1.30342237329e-14
6340.0 1.28645085126e-14
6350.0 1.27399141014e-14
6360.0 1.25571316915e-14
6370.0 1.24690077236e-14
6380.0 1.23294861638e-14
6390.0 1.23287529447e-14
6400.0 1.20558059849e-14
6410.0 1.20187506651e-14
6420.0 1.17890551639e-14
6430.0 1.16182978775e-14
6440.0 1.15171668442e-14
6450.0 1.13617883113e-14
6460.0 1.1199994337e-14
6470.0 1.12223333736e-14
6480.0 1.12469878486e-14
6490.0 1.10957404064e-14
6500.0 1.10558128153e-14
6510.0 1.0985064898e-14
6520.0 1.06778389819e-14
6530.0 1.04789031816e-14
6540.0 1.02743497537e-14
6550.0 1.02715018732e-14
6560.0 9.92538851928e-15
6570.0 9.744250631e-15
6580.0 9.46093344715e-15
6590.0 9.33107177512e-15
6600.0 9.01183339056e-15
6610.0 8.95274773401e-15
6620.0 8.73821014943e-15
6630.0 8.45553809906e-15
6640.0 8.24973979687e-15
6650.0 7.85563316853e-15
6660.0 7.78147751804e-15
6670.0 7.42354549609e-15
6680.0 7.21290233367e-15
6690.0 7.06588570937e-15
6700.0 6.8923039147e-15
6710.0 6.79508721581e-15
6720.0 6.70404294122e-15
6730.0 6.65949712723e-15
6740.0 6.45915536692e-15
6750.0 6.56560355524e-15
6760.0 6.30538312146e-15
6770.0 6.16778670055e-15
6780.0 6.24326878254e-15
6790.0 6.04102469709e-15
6800.0 6.02652123069e-15
6810.0 6.01922350302e-15
6820.0 5.90000989003e-15
6830.0 5.96618622597e-15
6840.0 4.34332884361e-15
6850.0 5.31067434444e-15
6860.0 5.02014003908e-15
