# Basic SN parameters
#
# Column 1: SN name
# Column 2: heliocentric redshift
# Column 3: MJD at B-band maximum light (99999.9=no estimate)
# Column 4: 1-sigma error
# Column 5: light-curve fitters used and other references
# Column 6: Dm15(B) (9.99=no estimate)
# Column 7: 1-sigma error
# Column 8: light-curve fitter used and other references 
# Column 9: intrinsic absolute M_B from BayeSN at B-band maximum light for SN with zCMB >= 0.01 and A_V < 1 mag (-99.99=no estimate)
# Column 10: 1-sigma error
# Column 11: intrinsic B-V color from BayeSN at B-band maximum light for SN with zCMB >= 0.01 and A_V < 1 mag (-9.99=no estimate)
# Column 12: 1-sigma error
# Column 13: intrinsic Bmax-Vmax pseudo-color from BayeSN for SN with zCMB >= 0.01 and A_V < 1 mag (-9.99=no estimate)
# Column 14: 1-sigma error
# Column 15: reference for photometric data
#
# Light-curve fitters: B=BayeSN, M=MLCS2k2, SA=SALT2, SN=SNooPy
#
# Other references:
#
# BSNIP: Berkeley SN Ia Program (2011, priv. comm.)
# Buf05: Bufano et al. 2005
# Bur11: Burns et al. 2011
# CfA1: Riess et al. 1999a
# CfA2: Jha et al. 2006
# CfA3: Hicken et al. 2009a
# Con10: Contreras et al. 2010
# Gan10: Ganeshalingam et al. 2010
# Hic07: Hicken et al. 2007
# Jha07: Jha, Riess, & Kirshner 2007 (and references therein)
# Kas08: Kasliwal et al. 2008
# Kri10: Krisciunas et al. 2010
# Phi99: Phillips et al. 1999
# Phi07: Phillips et al. 2007
# Pri09: J. L. Prieto (2009, priv. comm.; based on the method of Prieto, Rest, & Suntzeff 2006)
# Sca10: Scalzo et al. 2010
# SNF: SNfactory collaboration (2011, priv. comm.)
# Str11: Stritzinger et al. 2011
# Tau08: Taubenberger et al. 2008
#
#SN                zhel      tmax(B)  +/-  ref.         Dm15  +/-   ref.     M_B     +/-     B-V    +/-     Bm-Vm  +/-     Phot. ref.          
#************************************************************************************************************************************
1998eg             0.0249    51110.9  0.4  M,SA,SN      1.14  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2                
1998es             0.0106    51142.7  0.9  B,M,SA,SN    0.85  0.04  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2,Gan10          
1998ex             0.0365    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999X              0.0251    51203.0  1.0  Jha07        1.11  0.08  CfA2     -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2                
1999aa             0.0144    51232.4  0.9  B,M,SA,SN    0.78  0.02  B        -19.64  0.07    -0.17  0.04    -0.13  0.04    CfA2,Jha07          
1999ac             0.0095    51250.5  0.7  B,M,SA,SN    1.23  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2,Gan10          
1999be             0.0189    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999bh             0.0172    51272.1  0.5  B            1.38  0.08  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
1999bt             0.0499    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999bv             0.0187    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999by             0.0022    51309.2  0.5  B,M,SN       1.97  0.04  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Jha07,Gan10         
1999cb             0.0291    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999cc             0.0314    51315.6  0.3  B,M,SA,SN    1.35  0.06  B        -19.14  0.08    -0.08  0.03    -0.07  0.03    CfA2,Jha07          
1999ce             0.0775    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999cf             0.0245    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999cl             0.0078    51342.5  0.6  B,SA,SN      1.17  0.06  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2,Jha07          
1999cm             0.0452    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999cp             0.0094    51363.2  0.1  B,M,SA,SN    0.98  0.07  B        -19.48  0.09    -0.14  0.05    -0.13  0.05    Jha07               
1999cw             0.0124    51354.7  0.5  Buf05        0.94  0.05  Buf05    -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2,Buf05          
1999da             0.0122    51371.1  0.4  M,SN         1.90  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    Jha07               
1999dq             0.0141    51436.0  0.7  B,M,SA,SN    0.86  0.04  B        -19.55  0.07    -0.08  0.05    -0.06  0.04    CfA2,Gan10          
1999ef             0.0393    51457.3  1.3  Jha07        1.06  0.05  CfA2     -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2                
1999ej             0.0137    51483.1  0.9  B,M,SA,SN    1.48  0.03  B        -19.23  0.08    -0.18  0.04    -0.17  0.04    CfA2,Gan10          
1999ek             0.0175    51482.1  0.4  B,M,SA,SN    1.14  0.03  B        -19.33  0.07    -0.12  0.04    -0.10  0.04    CfA2,Jha07          
1999gd             0.0183    51519.4  1.6  M,SA,SN      1.18  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2                
1999gh             0.0077    51513.0  0.9  Jha07        1.69  0.05  CfA2     -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2                
1999gj             0.0172    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999gm             0.0424    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
1999gp             0.0267    51550.1  1.3  B,M,SA       0.87  0.04  B        -19.64  0.07    -0.12  0.04    -0.08  0.04    CfA2,Jha07,Gan10    
2000A              0.0292    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2000B              0.0191    51562.4  1.3  Jha07        1.46  0.05  CfA2     -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2                
2000E              0.0047    51577.2  0.5  B,M,SA,SN    1.09  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Jha07               
2000K              0.0547    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2000O              0.0235    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2000bh             0.0230    51636.6  0.9  B,SA         1.11  0.09  B        -19.43  0.07    -0.11  0.06    -0.10  0.06    Jha07               
2000bk             0.0254    51647.0  0.5  B            1.46  0.10  B        -19.17  0.09    -0.11  0.07    -0.10  0.08    Jha07               
2000ce             0.0163    51667.3  0.5  B            1.00  0.08  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2,Jha07          
2000cf             0.0364    51672.3  0.8  B,M,SA,SN    1.16  0.05  B        -19.44  0.08    -0.16  0.06    -0.16  0.06    CfA2,Jha07          
2000cm             0.0072    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2000cn             0.0235    51707.9  0.1  B,M,SA,SN    1.51  0.08  B        -19.01  0.11    -0.08  0.07    -0.01  0.06    CfA2                
2000cp             0.0342    51719.9  1.2  B,M,SA,SN    1.09  0.09  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2000cu             0.0196    51743.8  0.2  B,M,SA,SN    1.48  0.04  B        -19.18  0.08    -0.14  0.05    -0.11  0.05    Gan10               
2000cv             0.0204    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2000cw             0.0301    51747.9  0.0  B,M,SA,SN    1.22  0.04  B        -19.40  0.08    -0.18  0.04    -0.17  0.04    Gan10               
2000cx             0.0081    51752.8  0.3  B,M,SA       0.99  0.02  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2,Jha07          
2000dg             0.0385    51790.2  1.3  SA           9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2000dk             0.0175    51812.6  0.2  B,M,SA,SN    1.62  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA2                
2000dl             0.0611    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2000dm             0.0149    51815.0  0.4  B,M,SA,SN    1.46  0.04  B        -19.18  0.09    -0.14  0.05    -0.14  0.05    Gan10               
2000dn             0.0321    51824.2  0.3  B,M,SA,SN    1.04  0.04  B        -19.38  0.07    -0.14  0.04    -0.12  0.04    Gan10               
2000dp             0.0345    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2000ey             0.0205    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2000fa             0.0213    51892.1  0.2  B,M,SA,SN    1.00  0.06  B        -19.52  0.07    -0.13  0.06    -0.12  0.06    CfA2                
2000fd             0.0161    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2000fo             0.0238    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001C              0.0109    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2001E              0.0191    51925.6  0.8  B,M,SA,SN    0.92  0.06  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2001F              0.0229    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001G              0.0168    51929.6  2.2  M,SA         9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2001L              0.0152    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001N              0.0210    51930.8  0.0  SA           9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2001P              0.0206    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001U              0.0291    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001V              0.0151    51972.8  0.4  B,M,SA,SN    0.82  0.05  B        -19.60  0.06    -0.09  0.05    -0.05  0.05    CfA3                
2001ah             0.0578    52006.4  0.3  B,M,SA,SN    0.98  0.08  B        -19.62  0.07    -0.10  0.06    -0.09  0.06    CfA3                
2001ay             0.0302    52022.0  0.8  Kri10        0.68  0.05  Kri10    -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Kri10          
2001az             0.0407    52032.6  0.6  B,M,SA,SN    1.09  0.06  B        -19.44  0.10    -0.10  0.05    -0.09  0.05    CfA3                
2001bf             0.0156    52045.7  0.8  B,M,SA,SN    0.99  0.06  B        -19.52  0.10    -0.11  0.06    -0.10  0.05    CfA3                
2001bg             0.0072    52040.0  0.4  B,M,SA,SN    1.06  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2001bp             0.0949    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001br             0.0209    52050.9  0.8  B,M,SA,SN    1.16  0.04  B        -19.22  0.08    -0.14  0.05    -0.13  0.05    Gan10               
2001bs             0.0292    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001cj             0.0242    52065.3  0.5  B,M,SA,SN    0.96  0.03  B        -19.58  0.07    -0.18  0.03    -0.16  0.03    Gan10               
2001ck             0.0347    52072.3  0.2  B,M,SA,SN    1.05  0.05  B        -19.44  0.08    -0.12  0.04    -0.12  0.04    Gan10               
2001cp             0.0224    52088.4  0.1  B,M,SA,SN    0.88  0.03  B        -19.63  0.08    -0.15  0.04    -0.15  0.04    CfA3,Gan10          
2001da             0.0172    52106.5  1.3  B,M,SA,SN    1.12  0.03  B        -19.29  0.07    -0.08  0.04    -0.02  0.04    CfA3,Gan10          
2001de             0.0311    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001eb             0.0128    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001ec             0.0454    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001ed             0.0168    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001eh             0.0371    52169.5  0.3  B,M,SA       0.92  0.06  B        -19.64  0.08    -0.09  0.04    -0.09  0.04    CfA3                
2001en             0.0164    52191.9  1.2  B,M,SA,SN    1.12  0.07  B        -19.32  0.09    -0.09  0.06    -0.07  0.07    CfA3,Gan10          
2001eo             0.0660    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001ep             0.0130    52199.6  0.5  B,M,SA,SN    1.30  0.06  B        -19.27  0.07    -0.10  0.04    -0.07  0.05    CfA3                
2001es             0.0420    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001ex             0.0264    52204.1  0.5  B,M          1.56  0.12  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2001fe             0.0134    52229.2  0.1  B,M,SA,SN    1.00  0.07  B        -19.50  0.07    -0.08  0.05    -0.07  0.05    CfA3                
2001fh             0.0123    52223.8  0.1  B,M,SA,SN    1.51  0.08  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2001fu             0.0057    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001gb             0.0257    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2001gc             0.0193    52243.9  2.0  BSNIP        9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2001ib             0.0190    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001ic             0.0442    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2001ie             0.0307    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2001if             0.0377    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2001iq             0.0186    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
