# Basic SN parameters
#
# Column 1: SN name
# Column 2: heliocentric redshift
# Column 3: MJD at B-band maximum light (99999.9=no estimate)
# Column 4: 1-sigma error
# Column 5: light-curve fitters used and other references
# Column 6: Dm15(B) (9.99=no estimate)
# Column 7: 1-sigma error
# Column 8: light-curve fitter used and other references 
# Column 9: intrinsic absolute M_B from BayeSN at B-band maximum light for SN with zCMB >= 0.01 and A_V < 1 mag (-99.99=no estimate)
# Column 10: 1-sigma error
# Column 11: intrinsic B-V color from BayeSN at B-band maximum light for SN with zCMB >= 0.01 and A_V < 1 mag (-9.99=no estimate)
# Column 12: 1-sigma error
# Column 13: intrinsic Bmax-Vmax pseudo-color from BayeSN for SN with zCMB >= 0.01 and A_V < 1 mag (-9.99=no estimate)
# Column 14: 1-sigma error
# Column 15: reference for photometric data
#
# Light-curve fitters: B=BayeSN, M=MLCS2k2, SA=SALT2, SN=SNooPy
#
# Other references:
#
# BSNIP: Berkeley SN Ia Program (2011, priv. comm.)
# Buf05: Bufano et al. 2005
# Bur11: Burns et al. 2011
# CfA1: Riess et al. 1999a
# CfA2: Jha et al. 2006
# CfA3: Hicken et al. 2009a
# Con10: Contreras et al. 2010
# Gan10: Ganeshalingam et al. 2010
# Hic07: Hicken et al. 2007
# Jha07: Jha, Riess, & Kirshner 2007 (and references therein)
# Kas08: Kasliwal et al. 2008
# Kri10: Krisciunas et al. 2010
# Phi99: Phillips et al. 1999
# Phi07: Phillips et al. 2007
# Pri09: J. L. Prieto (2009, priv. comm.; based on the method of Prieto, Rest, & Suntzeff 2006)
# Sca10: Scalzo et al. 2010
# SNF: SNfactory collaboration (2011, priv. comm.)
# Str11: Stritzinger et al. 2011
# Tau08: Taubenberger et al. 2008
#
#SN                zhel      tmax(B)  +/-  ref.         Dm15  +/-   ref.     M_B     +/-     B-V    +/-     Bm-Vm  +/-     Phot. ref.          
#************************************************************************************************************************************
2002G              0.0338    52299.1  1.4  B,M,SA,SN    1.25  0.04  B        -19.35  0.09    -0.10  0.05    -0.19  0.05    CfA3,Gan10          
2002H              0.0223    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002I              0.0234    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002ar             0.0302    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2002av             0.0490    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002aw             0.0265    52324.4  0.9  B,M,SA,SN    1.05  0.06  B        -19.38  0.08    -0.12  0.06    -0.06  0.06    Gan10               
2002bf             0.0244    52337.4  1.1  B,M,SA       1.12  0.08  B        -19.34  0.09    -0.09  0.07    -0.05  0.07    CfA3,Jha07          
2002bg             0.0424    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002bi             0.0232    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002bn             0.0264    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002bo             0.0043    52356.7  0.7  B,M,SA       1.08  0.04  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Jha07          
2002br             0.0342    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002bs             0.0099    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002bt             0.0596    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002bw             0.0175    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002bz             0.0370    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2002cc             0.0660    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002cd             0.0104    52383.2  0.4  B,M,SA,SN    0.84  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2002cf             0.0154    52384.8  0.3  B,M          1.78  0.11  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2002ci             0.0222    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002ck             0.0298    52397.0  0.6  B,SA         1.08  0.09  B        -19.43  0.08    -0.10  0.06    -0.08  0.06    CfA3                
2002cr             0.0094    52408.6  0.5  B,M,SA,SN    1.19  0.06  B        -19.45  0.07    -0.15  0.05    -0.14  0.04    CfA3                
2002cs             0.0158    52410.0  0.7  B,SA,SN      0.99  0.03  B        -19.55  0.09    -0.21  0.05    -0.17  0.04    Gan10               
2002cu             0.0228    52415.9  0.4  B,M,SA,SN    1.35  0.03  B        -19.08  0.08    -0.09  0.05    -0.18  0.06    Gan10               
2002cx             0.0240    52415.7  1.5  B,M          1.51  0.09  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Jha07,Gan10         
2002db             0.0362    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002de             0.0280    52433.5  0.6  B,M,SA       0.96  0.04  B        -19.51  0.08    -0.16  0.04    -0.26  0.11    CfA3,Gan10          
2002df             0.0287    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002di             0.0364    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002dj             0.0093    52450.6  0.2  B,M,SA,SN    1.19  0.05  B        -19.35  0.07    -0.07  0.05    -0.05  0.04    CfA3,Gan10          
2002dk             0.0185    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002dl             0.0163    52452.0  0.0  B,M          1.76  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2002do             0.0159    52442.4  0.9  B,M          1.56  0.08  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2002dp             0.0117    52450.3  0.2  B,M,SA,SN    1.12  0.04  B        -19.39  0.10    -0.11  0.05    -0.09  0.05    CfA3                
2002ef             0.0236    52490.4  0.4  B,M,SA,SN    1.06  0.04  B        -19.34  0.08    -0.06  0.04    -0.19  0.03    Gan10               
2002er             0.0091    52524.9  0.5  B,M,SA,SN    1.23  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Jha07               
2002es             0.0180    52518.3  0.3  BSNIP        9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2002et             0.0276    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002eu             0.0376    52519.3  0.2  B,M          1.52  0.08  B        -19.17  0.10    -0.17  0.07    -0.08  0.05    CfA3,Gan10          
2002ey             0.0385    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002fb             0.0156    52529.1  1.3  B,M          1.77  0.11  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2002fk             0.0075    52547.9  0.4  B,M,SA,SN    1.13  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2002ha             0.0144    52580.4  0.6  B,M,SA,SN    1.22  0.04  B        -19.24  0.07    -0.15  0.04    -0.12  0.05    CfA3                
2002hd             0.0350    52575.1  0.5  B,SA         1.16  0.11  B        -19.39  0.10    -0.07  0.06    -0.01  0.06    CfA3                
2002he             0.0246    52585.8  0.2  B,M,SA,SN    1.44  0.06  B        -19.08  0.09    -0.08  0.06    -0.07  0.07    CfA3,Gan10          
2002hu             0.0374    52592.0  0.1  B,M,SA,SN    1.05  0.03  B        -19.59  0.06    -0.14  0.03    -0.13  0.04    CfA3                
2002hv             0.0234    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002hw             0.0175    52595.4  0.1  B,M,SN       1.44  0.08  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2002jg             0.0157    52609.6  0.1  B,M,SA,SN    1.42  0.07  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2002jm             0.0181    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2002jy             0.0196    52634.0  0.4  B,M,SA,SN    0.88  0.06  B        -19.58  0.08    -0.15  0.05    -0.14  0.05    CfA3                
2002kf             0.0193    52638.2  0.1  B,M,SA,SN    1.20  0.07  B        -19.30  0.08    -0.13  0.06    -0.13  0.05    CfA3                
2003D              0.0230    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2003F              0.0173    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003K              0.0218    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2003M              0.0242    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003S              0.0398    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003U              0.0281    52677.3  0.1  B,M,SA,SN    1.46  0.10  B        -19.12  0.10    -0.07  0.06    -0.05  0.06    CfA3                
2003W              0.0201    52679.7  0.0  B,M,SA,SN    1.14  0.04  B        -19.31  0.09    -0.01  0.04     0.03  0.05    CfA3                
2003Y              0.0169    52676.7  0.2  B,M          1.65  0.08  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2003ae             0.0328    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2003af             0.0200    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003ag             0.0226    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003ai             0.0362    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2003ar             0.0252    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003bt             0.0275    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003cg             0.0041    52729.4  0.4  B,SA,SN      1.26  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2003ch             0.0250    52725.3  0.8  M,SA,SN      1.22  0.07  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2003cq             0.0333    52738.2  0.9  B,M,SA,SN    1.20  0.06  B        -19.34  0.09    -0.15  0.05    -0.11  0.06    CfA3,Gan10          
2003de             0.0383    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003dt             0.0144    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003du             0.0064    52766.1  1.0  B,M,SA,SN    1.07  0.06  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Jha07          
2003eh             0.0255    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003ek             0.0360    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003ep             0.0158    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003ez             0.0480    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003fa             0.0404    52806.2  0.5  B,M,SA,SN    0.80  0.05  B        -19.65  0.07    -0.11  0.05    -0.09  0.05    CfA3                
2003fd             0.0597    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003ge             0.0335    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003gj             0.0338    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003gn             0.0346    52852.5  0.2  B,M,SA,SN    1.22  0.04  B        -19.21  0.08    -0.18  0.05    -0.17  0.05    Gan10               
2003gq             0.0214    52847.9  0.6  Gan10        1.69  0.19  Gan10    -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2003hm             0.0138    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003hu             0.0750    52901.1  2.1  M,SA,SN      9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2003hv             0.0056    52889.1  1.1  B,M,SN       1.31  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2003hw             0.0420    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003hx             0.0071    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003hz             0.0202    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003ia             0.0298    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003ic             0.0553    52905.8  1.5  M,SA         9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2003if             0.0056    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003im             0.0196    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003in             0.0214    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003it             0.0251    52934.5  0.2  B,M,SA,SN    1.36  0.09  B        -19.17  0.10    -0.08  0.05    -0.06  0.05    CfA3                
2003iu             0.0414    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003iv             0.0343    52933.9  0.4  M,SA         1.65  0.07  Pri09    -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2003iz             0.0482    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003jz             0.0159    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003kc             0.0334    52977.4  2.9  M,SA         9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2003kd             0.0300    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003kf             0.0074    52980.8  0.4  B,M,SA,SN    1.10  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2003kg             0.0262    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003kh             0.0250    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003kz             0.0505    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003lc             0.0346    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2003lq             0.0243    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004B              0.0157    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004H              0.0317    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004J              0.0250    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004K              0.0361    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2004L              0.0323    53028.9  0.3  B,M,SA,SN    1.12  0.07  B        -19.29  0.09    -0.08  0.06    -0.06  0.06    CfA3                
2004P              0.0237    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004ab             0.0058    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004ap             0.0239    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2004as             0.0310    53085.4  0.6  B,M,SA,SN    0.92  0.08  B        -19.47  0.09    -0.14  0.05    -0.14  0.05    CfA3                
2004at             0.0223    53092.0  0.8  B,M,SA,SN    1.05  0.03  B        -19.49  0.06    -0.16  0.03    -0.17  0.05    Gan10               
2004av             0.0237    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004az             0.0288    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004bc             0.0239    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004bd             0.0089    53094.0  0.3  SA           9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2004bg             0.0208    53109.5  0.5  B,M,SA       1.05  0.09  B        -19.46  0.08    -0.07  0.06    -0.05  0.07    CfA3                
2004bj             0.0501    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004bk             0.0230    53112.8  0.3  B,SA         1.02  0.07  B        -19.51  0.08    -0.10  0.05    -0.09  0.09    Gan10               
2004bo             0.0234    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004bp             0.0302    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004ca             0.0178    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004ct             0.0334    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004cu             0.0248    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004da             0.0160    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004db             0.0112    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004dt             0.0194    53239.8  0.7  B,M,SA,SN    1.14  0.04  B        -19.39  0.08    -0.07  0.05    -0.07  0.05    Gan10               
2004ef             0.0310    53263.7  0.2  B,M,SA,SN    1.39  0.04  B        -19.19  0.08    -0.09  0.04    -0.06  0.05    CfA3,Gan10          
2004fd             0.0173    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2004fu             0.0092    53325.6  0.2  M,SA,SN      1.08  0.07  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2004fz             0.0173    53333.3  0.3  B,M,SA,SN    1.36  0.05  B        -19.29  0.08    -0.12  0.05    -0.14  0.05    Gan10               
2004gc             0.0321    53323.1  0.4  Bur11        1.08  0.05  Bur11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Con10               
2004gs             0.0266    53355.8  0.1  B,SA         1.41  0.11  B        -19.25  0.16    -0.21  0.06    -0.08  0.05    Gan10               
2004gz             0.0137    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2005A              0.0191    53379.5  0.2  Bur11        1.11  0.05  Bur11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Con10               
2005G              0.0231    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2005M              0.0220    53405.1  1.4  B,M,SA,SN    0.87  0.06  B        -19.74  0.08    -0.25  0.05    -0.15  0.04    CfA3,Gan10          
2005am             0.0084    53435.3  0.5  B,M,SA,SN    1.30  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Gan10          
2005ao             0.0384    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2005bc             0.0121    53469.5  0.4  B,M,SA,SN    1.32  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2005bd             0.0371    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2005be             0.0350    53459.4  0.5  Bur11        1.49  0.05  Bur11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Con10               
2005bl             0.0240    53482.1  0.3  Tau08        1.93  0.10  Tau08    -99.99  9.99    -9.99  9.99    -9.99  9.99    Tau08               
2005bo             0.0137    53478.3  0.7  B,M,SA,SN    1.28  0.03  B        -19.28  0.07    -0.12  0.04    -0.13  0.06    Gan10               
2005bv             0.0357    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2005cc             0.0075    53518.6  0.5  B            1.94  0.06  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    Gan10               
2005cf             0.0065    53533.7  0.2  B,M,SA,SN    1.10  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2005ch             0.0270    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2005cn             0.0068    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2005cr             0.0214    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2005ej             0.0379    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2005el             0.0148    53646.4  0.2  B,M,SA,SN    1.27  0.05  B        -19.18  0.06    -0.08  0.04    -0.06  0.05    CfA3                
2005eq             0.0290    53654.0  0.4  B,M,SA,SN    0.88  0.05  B        -19.63  0.07    -0.11  0.05    -0.10  0.05    CfA3                
2005eu             0.0349    53659.7  0.0  B,M,SA,SN    0.89  0.06  B        -19.66  0.08    -0.09  0.06    -0.06  0.06    CfA3                
2005hc             0.0459    53667.7  0.4  B,M,SA,SN    1.03  0.04  B        -19.57  0.08    -0.17  0.04    -0.16  0.04    CfA3                
2005hf             0.0431    53661.8  0.5  B            1.31  0.07  B        -19.21  0.08    -0.11  0.07    -0.10  0.07    CfA3                
2005hk             0.0130    53684.6  0.5  Phi07        1.56  0.09  Phi07    -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3,Phi07          
2005iq             0.0340    53687.4  0.3  B,M,SA,SN    1.19  0.06  B        -19.32  0.08    -0.15  0.04    -0.13  0.04    CfA3                
2005kc             0.0151    53697.3  0.2  B,M,SN       1.24  0.04  B        -19.39  0.08    -0.14  0.05    -0.07  0.05    CfA3                
2005ke             0.0045    53698.8  0.7  M,SN         1.82  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2005ki             0.0196    53705.5  0.3  B,M,SA,SN    1.41  0.07  B        -19.19  0.06    -0.08  0.03    -0.07  0.03    CfA3                
2005ls             0.0211    53714.2  0.4  B,M,SA,SN    0.98  0.03  B        -19.59  0.09    -0.08  0.05    -0.04  0.07    CfA3                
2005lu             0.0322    53710.0  0.6  Bur11        0.74  0.05  Bur11    -99.99  9.99    -9.99  9.99    -9.99  9.99    Con10               
2005lz             0.0400    53736.1  0.1  B,M,SA       1.34  0.08  B        -19.22  0.09    -0.09  0.05    -0.09  0.05    CfA3                
2005mc             0.0253    53733.6  0.2  M,SN         1.63  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2005mz             0.0176    53745.8  1.4  M,SN         1.83  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2005na             0.0263    53740.9  1.3  B,M,SA       1.09  0.06  B        -19.37  0.07    -0.10  0.06    -0.08  0.06    CfA3,Gan10          
2006B              0.0163    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006D              0.0086    53757.0  0.3  B,M,SA,SN    1.35  0.05  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006E              0.0026    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006H              0.0140    53752.6  0.4  M,SN         1.83  0.05  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006N              0.0143    53760.6  0.2  B,M,SA,SN    1.50  0.03  B        -19.18  0.08    -0.09  0.04    -0.07  0.04    CfA3                
2006R              0.0341    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006S              0.0321    53769.2  0.1  B,M,SA,SN    0.93  0.04  B        -19.64  0.08    -0.14  0.04    -0.12  0.04    CfA3                
2006X              0.0052    53786.1  0.8  B,SA,SN      1.18  0.03  B        -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006ac             0.0227    53781.1  0.2  B,M,SA,SN    1.20  0.03  B        -19.21  0.07    -0.01  0.04     0.01  0.05    CfA3                
2006ak             0.0381    53779.7  0.5  B            1.22  0.08  B        -19.28  0.09    -0.09  0.06    -0.08  0.07    CfA3                
2006al             0.0679    53787.7  0.3  M,SA,SN      1.35  0.07  SN       -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006ap             0.0225    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    N/A                 
2006ax             0.0167    53826.8  0.3  B,M,SA,SN    1.06  0.03  B        -19.50  0.06    -0.10  0.03    -0.09  0.03    CfA3                
2006az             0.0311    53826.4  0.4  B,M,SA,SN    1.29  0.03  B        -19.28  0.06    -0.14  0.04    -0.10  0.04    CfA3                
2006bb             0.0252    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
2006bk             0.0495    99999.9  9.9  N/A          9.99  9.99  N/A      -99.99  9.99    -9.99  9.99    -9.99  9.99    CfA3                
