Wavelength Scaled_Flux Error
3720.0 3.8146872749 1.28424607849e-16
3721.5 3.92455933493 1.28488036463e-16
3723.0 3.21875903417 1.26940553263e-16
3724.5 2.94631877957 1.25684091792e-16
3726.0 3.2937043525 1.25064978529e-16
3727.5 3.00143380818 1.22198222659e-16
3729.0 3.08536983391 1.22239249411e-16
3730.5 3.45128938017 1.22604235777e-16
3732.0 3.2605290966 1.21832360166e-16
3733.5 3.74831523555 1.25671293585e-16
3735.0 3.00286541737 1.22781395957e-16
3736.5 2.55291798727 1.19754822477e-16
3738.0 3.09611159331 1.21732857856e-16
3739.5 3.91207644681 1.25263750682e-16
3741.0 4.04932672431 1.24001391287e-16
3742.5 2.20437784357 1.15287070904e-16
3744.0 1.76415826323 1.13671349765e-16
3745.5 2.00232790548 1.19143331896e-16
3747.0 2.24049738506 1.33076118677e-16
3748.5 2.47866702732 2.1576594642e-16
3750.0 2.71683656112 1.82987063707e-16
3751.5 2.9550060407 1.62762322172e-16
3753.0 3.19317009772 1.27109254628e-16
3754.5 3.19317009772 1.0837041742e-16
3756.0 3.69954470669 1.13978745449e-16
3757.5 3.89063018098 1.11079252915e-16
3759.0 3.76720715184 1.10340340186e-16
3760.5 2.8767476487 1.04503500421e-16
3762.0 2.41724030542 1.03889133993e-16
3763.5 3.08406283508 1.065008081e-16
3765.0 3.21406315432 1.0696676407e-16
3766.5 2.57853419918 1.0078898582e-16
3768.0 2.63133368764 1.01151336305e-16
3769.5 2.94225739308 1.01283007858e-16
3771.0 3.37789475037 1.032384689e-16
3772.5 2.45852206663 9.90917361031e-17
3774.0 2.11515498777 9.78986844983e-17
3775.5 2.7017890206 9.93554029136e-17
3777.0 3.01038113513 1.00209148305e-16
3778.5 3.27867866489 1.00560031646e-16
3780.0 2.98848474287 9.79995978605e-17
3781.5 2.74612894109 9.69122614451e-17
3783.0 2.3568220164 9.66246929832e-17
3784.5 2.00640008286 9.33889838026e-17
3786.0 2.7436130917 9.619252103e-17
3787.5 2.70216854534 9.6537099005e-17
3789.0 2.58801288245 9.41015439737e-17
3790.5 3.04504195465 9.50268455899e-17
3792.0 2.23547604336 9.40221813423e-17
3793.5 2.14173088375 9.29733282855e-17
3795.0 3.07710027232 9.43421677625e-17
3796.5 3.12245469894 9.51465075754e-17
3798.0 2.85435807491 9.49184932699e-17
3799.5 2.43393614049 9.28369736386e-17
3801.0 2.46831536664 9.16055224136e-17
3802.5 2.9690611449 9.33982475048e-17
3804.0 3.04608861654 9.35299103089e-17
3805.5 3.03624136208 9.24979711325e-17
3807.0 3.09533627616 9.19261999871e-17
3808.5 3.13377146625 9.16810043387e-17
3810.0 2.87163987145 9.16803869252e-17
3811.5 2.51981880984 8.92199166345e-17
3813.0 2.27029433393 8.66711324664e-17
3814.5 2.78125658852 8.990810522e-17
3816.0 2.60264299456 9.04312556772e-17
3817.5 2.11942243141 8.76259299503e-17
3819.0 2.10557869847 8.78626355381e-17
3820.5 2.66061549363 8.94533864256e-17
3822.0 2.71997074465 8.9911138545e-17
3823.5 3.0338986007 8.8875484889e-17
3825.0 2.09078596389 8.56987861911e-17
3826.5 2.16578545357 8.72729631506e-17
3828.0 2.2932372254 8.69495572094e-17
3829.5 2.33997960962 8.87671050729e-17
3831.0 2.33875953437 8.78130274882e-17
3832.5 2.87116789211 8.85469909107e-17
3834.0 2.55702275421 8.84149869043e-17
3835.5 2.21934941407 8.71042642851e-17
3837.0 2.43298740998 8.83626492367e-17
3838.5 2.43239087452 8.67442734695e-17
3840.0 2.98924406348 8.72152899805e-17
3841.5 2.78162515969 8.67193032178e-17
3843.0 2.50806249009 8.52740881909e-17
3844.5 2.84461900046 8.51218882639e-17
3846.0 2.42725582181 8.3780471195e-17
3847.5 2.02938104068 8.20009917482e-17
3849.0 1.87753855474 8.17762594829e-17
3850.5 1.58615215829 7.99390781201e-17
3852.0 1.76718958085 8.02601331406e-17
3853.5 2.60638434175 8.28042067186e-17
3855.0 2.84195099413 8.30566563507e-17
3856.5 1.98026889075 7.97682033095e-17
3858.0 1.63937981183 7.75419964487e-17
3859.5 1.66924177715 7.75122431171e-17
3861.0 1.44530650882 7.65696176779e-17
3862.5 2.27994111646 7.89216019174e-17
3864.0 3.23146408443 8.1301787206e-17
3865.5 3.07194884349 7.98542212585e-17
3867.0 2.3911631762 7.82776108899e-17
3868.5 1.77221092255 7.59929734652e-17
3870.0 1.7075413491 7.42408514356e-17
3871.5 2.00974590877 7.51984972704e-17
3873.0 2.24381062141 7.65198284033e-17
3874.5 2.01822141907 7.57477603193e-17
3876.0 2.3269817413 7.70924169343e-17
3877.5 2.01102031804 7.45920809787e-17
