2017dfu 0.23405
2016grz 0.13206
asassn15tz 0.44485
2016gky 0.75268
asassn16db 0.07037
ps16drf 0.10168
2017yk 0.09145
2016bln 0.07719
atlas16ahj 0.03565
ps16ayd 0.12865
gaia16bba 0.12431
2016afk 0.15407
ps17cjo 0.13361
asassn15bc 0.11625
2016esh 0.09579
asassn15od 0.07936
ps15mt 0.06603
2017dez 0.0527
masterotj08 0.09703
2017zd 0.22258
2017wb 0.06634
asassn16hc 0.03844
asassn16ip 0.05208
asassn16dw 0.14229
ps17akj 0.1364
2016blm 0.80414
atlas16eej 0.05487
psnj0252467 0.52669
asassn15nr 0.34565
asassn15mi 0.05611
asassn17bd 0.12524
asassn17bs 0.23529
2016hnk 0.07099
2016aqa 0.11098
2017ns 0.29202
ps16amf 0.38874
ps15cfn 0.07564
atlas16dtf 1.16281
ps16ccn 0.17856
2017lm 0.18197
ps15zn 0.10819
psnj1204051 0.08401
2016blh 0.12431
ps16evk 0.19034
css161013 0.11439
asassn15nq 0.12276
ps16el 0.10354
ps15ahs 0.09486
asassn16fo 0.08432
asassn16et 0.07688
2016aqb 0.24707
2017dfq 0.05518
2017nw 0.14446
atlas16agv 0.0651
asassn16hr 0.32674
ps16fa 0.06789
ps16ez 0.14415
ps16em 0.11501
2016ghq 0.09238
2016aqt 0.04526
asassn15ti 0.40362
asassn17aj 0.35619
asassn15np 0.08215
gaia16aki 0.11408
psnj0717457 0.17794
ps17yt 0.02914
asassn15go 0.42625
ps16bnz 0.09827
ps16n 0.20925
ps16bby 0.30876
ps15cze 0.57071
psnj1602512 0.04526
css1511200 0.13516
asassn16cs 0.35619
ptss16efw 0.54932
2017cii 0.18197
asassn15kx 0.43772
2016cvw 0.2108
asassn15pr 0.09114
asassn16ay 0.18352
ps15atx 0.33077
2017jl 0.19716
atlas16cxr 0.33945
2017cfd 0.05859
asassn16bc 0.15004
0.0363947772109 0.088402305472
2016cvv 0.27125
ps15bif 0.19003
2017ciy 0.17205
gaia17bci 0.06975
ps15bdr 0.04278
atlas17dzg 0.05394
atlas17ajn 0.20026
asassn16ct 0.14105
2016hpx 0.07626
2016eoa 0.19623
psnj2043531 0.26567
asassn16bq 0.10261
asassn16aj 0.08711
asassn17eb 0.11005
asassn15hg 0.13485
