1992A                                         0.0465
2009ig                                        0.0899
2011by                                        0.0403
2011fe                                        0.0248
2011iv                                        0.0310
2012cg                                        0.0558
2013dy                                        0.4185
2014J                                         0.1674
ASASSN-14lp                                   0.0682 
2015F                                         0.5549
