sn1989b 0.133 0.098
sn1989m 0.156 0.115
sn1990g 0.096 0.071
sn1990m 0.135 0.1
sn1990n 0.096 0.071
sn1990o 0.357 0.263
sn1990r 0.361 0.266
sn1990y 0.03 0.022
sn1991ak 0.047 0.035
sn1991am 0.067 0.049
sn1991as 0.414 0.305
sn1991at 0.264 0.194
sn1991ay 0.237 0.174
sn1991b 0.106 0.078
sn1991bb 1.261 0.929
sn1991bc 0.275 0.203
sn1991bd 1.76 1.296
sn1991bf 0.065 0.048
sn1991bg 0.155 0.114
sn1991bh 0.401 0.295
sn1991bj 0.198 0.146
sn1991k 0.223 0.164
sn1991m 0.141 0.104
sn1991o 0.046 0.034
sn1991s 0.105 0.077
sn1991t 0.082 0.06
sn1992ah 0.557 0.41
sn1992ap 0.039 0.029
sn1992g 0.074 0.055
sn1992m 0.315 0.232
sn1993aa 0.169 0.124
sn1993ab 0.58 0.427
sn1993ac 0.625 0.461
sn1993ae 0.145 0.107
sn1993ai 0.468 0.345
sn1993aj 0.095 0.07
sn1993c 0.139 0.102
sn1993y 0.726 0.535
sn1993z 0.159 0.117
sn1994ab 0.374 0.275
sn1994ae 0.114 0.084
sn1994b 0.135 0.1
sn1994d 0.082 0.06
sn1994e 0.053 0.039
sn1994j 0.032 0.023
sn1994q 0.065 0.048
sn1994s 0.081 0.06
sn1994t 0.112 0.083
sn1994u 0.211 0.155
sn1994x 0.07 0.052
sn1995a 0.317 0.233
sn1995ac 0.158 0.117
sn1995ak 0.145 0.107
sn1995al 0.05 0.037
sn1995c 0.268 0.197
sn1995d 0.214 0.157
sn1995e 0.103 0.076
sn1995l 0.054 0.04
sn1995t 0.203 0.149
sn1996ai 0.053 0.039
sn1996bv 0.395 0.291
sn1996o 0.192 0.141
sn1996p 0.105 0.078
sn1997bp 0.169 0.124
sn1997br 0.421 0.31
sn1997cn 0.103 0.076
sn1997cw 0.282 0.207
sn1997do 0.239 0.176
sn1997e 0.519 0.382
sn1997fb 0.086 0.063
sn1997fc 0.077 0.057
sn1997t 0.314 0.231
sn1997y 0.064 0.047
sn1998aq 0.054 0.04
sn1998bn 0.369 0.272
sn1998bp 0.298 0.219
sn1998bu 0.093 0.069
sn1998cd 0.051 0.038
sn1998cl 0.137 0.101
sn1998cm 0.097 0.071
sn1998cs 0.046 0.034
sn1998de 0.22 0.162
sn1998dh 0.249 0.184
sn1998dj 0.1 0.074
sn1998dk 0.194 0.143
sn1998dm 0.175 0.129
sn1998dw 0.105 0.078
sn1998dx 0.161 0.118
sn1998eb 0.46 0.339
sn1998ec 0.317 0.234
sn1998ef 0.276 0.204
sn1998eg 0.497 0.366
sn1998en 0.259 0.191
sn1998es 0.132 0.097
sn1998fc 0.452 0.333
sn1998v 0.759 0.559
sn1999aa 0.149 0.11
sn1999ac 0.171 0.126
sn1999aq 0.134 0.099
sn1999bh 0.057 0.042
sn1999bv 0.105 0.077
sn1999by 0.061 0.045
sn1999c 0.342 0.252
sn1999cl 0.14 0.103
sn1999cp 0.094 0.069
sn1999cw 0.133 0.098
sn1999da 0.217 0.16
sn1999dg 0.147 0.108
sn1999dk 0.22 0.162
sn1999do 0.201 0.148
sn1999dq 0.429 0.316
sn1999ee 0.074 0.054
sn1999ek 2.157 1.589
sn1999fz 0.153 0.113
sn1999gd 0.153 0.113
sn1999gf 0.156 0.115
sn1999gh 0.226 0.166
sn1999gm 0.152 0.112
sn1999x 0.125 0.092
sn2000al 0.111 0.082
sn2000bk 0.102 0.075
sn2000ce 0.208 0.153
sn2000cn 0.21 0.154
sn2000cp 0.185 0.137
sn2000cu 0.337 0.248
sn2000cv 0.075 0.055
sn2000cw 0.273 0.201
sn2000cx 0.307 0.226
sn2000dd 0.158 0.117
sn2000df 0.203 0.149
sn2000dg 0.388 0.286
sn2000dk 0.272 0.2
sn2000dm 0.709 0.522
sn2000dn 0.188 0.138
sn2000dp 0.142 0.104
sn2000dr 0.077 0.057
sn2000dx 0.146 0.107
sn2000ej 0.243 0.179
sn2000ey 0.286 0.211
sn2000fa 0.252 0.186
sn2000fo 0.278 0.204
sn2000j 0.054 0.04
sn2000q 0.11 0.081
sn2001C 0.257 0.189
sn2001a 0.069 0.051
sn2001ay 0.073 0.053
sn2001az 0.185 0.137
sn2001ba 0.235 0.173
sn2001bf 0.378 0.278
sn2001bg 0.147 0.108
sn2001bp 0.091 0.067
sn2001br 0.248 0.183
sn2001bs 0.111 0.082
sn2001c 0.257 0.189
sn2001cg 0.039 0.029
sn2001cj 0.053 0.039
sn2001ck 0.05 0.037
sn2001cp 0.585 0.431
sn2001da 0.243 0.179
sn2001dd 0.742 0.546
sn2001de 0.817 0.602
sn2001dl 0.2 0.147
sn2001dm 0.066 0.049
sn2001dn 0.197 0.145
sn2001ds 0.198 0.146
sn2001dt 0.817 0.602
sn2001dw 0.996 0.734
sn2001e 0.145 0.107
sn2001ec 0.311 0.229
sn2001ed 0.215 0.158
sn2001eg 0.183 0.135
sn2001eh 0.238 0.176
sn2001ei 0.143 0.106
sn2001en 0.202 0.148
sn2001ep 0.174 0.128
sn2001er 0.062 0.046
sn2001es 0.309 0.227
sn2001eu 0.113 0.083
sn2001ew 0.716 0.527
sn2001ex 0.198 0.146
sn2001fe 0.082 0.061
sn2001fg 0.242 0.178
sn2001fh 3.018 2.223
sn2001fu 0.719 0.53
sn2001g 0.06 0.044
sn2001gc 0.784 0.577
sn2001ib 0.556 0.409
sn2001ic 0.285 0.21
sn2001iq 0.534 0.393
sn2001l 0.14 0.103
sn2001n 0.098 0.072
sn2001p 0.152 0.112
sn2001u 0.165 0.122
sn2001v 0.086 0.063
sn2002ar 0.115 0.085
sn2002av 0.177 0.13
sn2002aw 0.028 0.021
sn2002bf 0.042 0.031
sn2002bg 0.126 0.093
sn2002bi 0.12 0.088
sn2002bk 0.191 0.141
sn2002bo 0.093 0.068
sn2002bp 0.083 0.061
sn2002bs 0.306 0.226
sn2002bz 0.078 0.057
sn2002cc 0.193 0.142
sn2002cd 1.568 1.155
sn2002cf 0.134 0.099
sn2002ci 0.122 0.09
sn2002ck 0.374 0.275
sn2002cr 0.094 0.069
sn2002cs 0.4 0.295
sn2002cu 0.233 0.172
sn2002cv 0.093 0.069
sn2002cx 0.125 0.092
sn2002db 0.12 0.088
sn2002de 0.072 0.053
sn2002df 0.206 0.152
sn2002di 0.129 0.095
sn2002dj 0.352 0.26
sn2002dk 0.541 0.398
sn2002do 1.359 1.001
sn2002dp 0.181 0.133
sn2002dr 0.312 0.23
sn2002dx 0.198 0.146
sn2002eb 0.225 0.166
sn2002ec 0.377 0.277
sn2002ef 0.117 0.086
sn2002eh 0.277 0.204
sn2002el 0.319 0.235
sn2002ep 0.139 0.103
sn2002er 0.637 0.469
sn2002et 0.522 0.385
sn2002eu 0.174 0.128
sn2002ey 0.226 0.166
sn2002fb 0.334 0.246
sn2002fi 0.087 0.064
sn2002fk 0.149 0.11
sn2002g 0.048 0.035
sn2002gb 0.235 0.173
sn2002gc 0.396 0.291
sn2002gf 0.355 0.261
sn2002gg 0.463 0.341
sn2002gx 0.205 0.151
