2006bq -14.5535 0.240853
2006br -13.9994 0.238716
2006bt -11.4992 0.281754
2006bw -11.4131 0.258041
2006bz -10.4265 0.419364
2006cc -99.0 -99.0
2006cf -10.6133 0.237068
2006cj -11.0281 0.222453
2006cm -11.4608 0.222453
2006cp -13.477 0.243074
2006cq -10.3831 0.256961
2006cz -11.5431 0.226011
2006em -9.44948 0.223386
2006et -9.50819 0.2636
2006eu -11.3823 0.2575
2006gj -11.3384 0.248246
2006gr -11.8477 0.321915
2006hb -11.1532 0.223146
2006je -10.1298 0.260233
2006kf -11.436 0.259681
2006le -11.7517 0.229369
2006lf -11.3211 0.234702
2006mo -10.9884 0.242176
2006nz -14.1243 0.222453
2006oa -9.26711 0.234702
2006sr -12.3858 0.232108
2006te -99.0 -99.0
2007F -11.0765 0.236265
2007S -10.0341 0.222453
2007ae -10.8475 0.241732
2007af -10.9901 0.222453
2007al -9.46657 0.228723
2007ap -11.1565 0.222453
2007au -10.9718 0.289567
2007ax -9.84648 0.243529
2007bc -10.4855 0.260788
2007bd -12.493 0.233198
2007bj -99.0 -99.0
2007bm -10.6002 0.222453
2007bz -99.0 -99.0
2007ca -11.0222 0.222453
2007cg -13.8906 0.237885
2007ci -11.8297 0.238716
2007co -12.0247 0.231052
2007cq -10.5242 0.2314
2007fb -11.7556 0.249227
2007fs -10.612 0.394823
2007hj -12.1791 0.223878
2007kk -12.0707 0.222453
2007le -13.3051 0.226586
2007qe -14.3812 0.232468
2007sr -99.0 -99.0
2007ux -10.985 0.222453
2008C -11.253 0.222453
2008L -12.2249 0.226586
2008Q -11.5371 0.222453
2008Z -11.3639 0.237475
2008af -12.4394 0.232468
2008ar -10.5923 0.222453
2008bf -11.5868 0.235088
1992ag -11.7414 0.3
1992al -11.2639 0.3
crap1999 -99.0 -99.0
1999dk -99.0 -99.0
2000ca -10.8094 0.3
2000dr -99.0 -99.0
2001ba -10.6327 0.3
2001cj -10.3669 0.3
2001dl -9.93402 0.3
2003gt -10.6755 0.3
2005de -99.0 -99.0
crap2005 -99.0 -99.0
2006dm -99.0 -99.0
2006ef -12.1539 0.3
crap2006 -12.4581 0.3
2006en -10.3809 0.3
2006os -12.6786 0.3
2006qo -99.0 -99.0
2006td -10.8126 0.3
2007O -9.95628 0.3
2007sr -12.893 0.3
2008dt -14.2991 0.3
2008ec -99.0 -99.0
crap04ef -11.5698 0.36758
2004ey -11.1641 0.375286
crap04gs -10.079 0.963279
2004gu -10.7555 0.310063
2005ag -11.7513 0.315922
2005bg -10.8019 0.404429
crap05bo -11.0514 0.271766
crap05el -11.1518 0.303702
crap05eq -10.4241 0.406482
crap05hc -11.6423 0.444391
2005iq -10.8896 0.370379
crap05kc -10.5657 0.337351
crap05m -7.72981 0.756239
crap05na -11.6015 0.299935
crap06ax -10.2394 0.254386
2006bh -11.5902 0.324843
crap06et -10.1747 0.539801
crap06gj -10.5008 0.240399
crap06kf -11.3022 0.322744
2007a -10.8853 0.272346
2007ai -9.55235 0.235409
2007as -12.6654 0.282557
crap07bc -10.3766 0.240545
crap07bd -12.3602 0.227225
crap07ca -10.6535 0.234638
2007jg -13.3901 0.295838
2007nq -11.8064 0.237119
crap07ux -10.9072 0.229034
crap08ar -10.0763 0.254419
2008bc -11.6759 0.220597
crap08bf -11.1031 0.276408
2008bq -10.445 0.226111
2008c -10.6382 0.251576
2008gl -11.8354 0.227898
2008hv -10.4863 0.237293
2009ad -10.4604 0.233822
2009d -10.1874 0.229482
2009y -14.572 0.223105
1999cp -11.146 0.221129
crap2004 -11.1646 0.222177
crap2005 -10.8111 0.231684
2005hj -10.2955 0.223604
2005lz -10.3582 0.232875
2005ms -11.717 0.284426
2006ej -11.8895 0.281461
2006ev -11.4446 0.326281
2006mp -7.81796 0.253444
2006ob -11.1944 0.231873
2006ot -14.1581 0.616588
2006py -11.5666 0.233703
crap2007 -10.5385 0.237661
2007hu -13.447 0.224655
2007is -11.7253 0.388271
crap2007 -12.2333 0.226376
2007jh -10.8694 0.23585
crap2007 -11.5069 0.249128
2007ob -12.2489 0.413679
2007su -11.8533 0.222721
2007sw -13.8875 0.296641
snf20080 -15.508 0.221441
2008at -10.2067 0.550514
2008bz -10.9892 0.282346
crap2008 -11.994 0.674727
2008cf -10.8057 0.22044
2008fr -13.705 0.338463
2008hj -11.6908 0.331765
crap2008 -11.2025 0.22629
2008ia -11.6025 0.230958
2008r -10.2992 0.260815
2008y -11.4496 0.269385
2010a -10.0289 0.229363
1992ae -7.35947 0.3
1992bc -11.8487 0.3
1992bh -12.0944 0.3
1992bl -11.4265 0.3
1992bo -10.5199 0.3
1992bp -11.2349 0.3
1992bs -9.31478 0.3
1992P -10.4063 0.3
1993ag -11.0478 0.3
1993H -10.1457 0.3
2001cn -11.0407 0.3
2001cz -10.1923 0.3
2005ir -13.5215 0.3
2008cm -12.3629 0.3
