#snid	redshift	phase	dm15	specname
sn2014J	0.000677	6.6	0.95	sn2014j-20140207.61-fixedbg-swift-p7.flm
sn2014J	0.000677	7.8	0.95	sn2014j-20140208.77-fixedbg-swift-p8.flm
ASASSN-14lp	0.0051	-6.3	0.8	asassn14lp-20141213.54-fixedbg-swift.flm
ASASSN-14lp	0.0051	-11.2	0.8	asassn14lp-20141218.47-fixedbg-swift.flm
SN2016ccz	0.015	-1.2	1.004	sn2016ccz-20160528.87-fixedbg-swift.flm
SN2016coj	0.004523	-2.1	1.328	sn2016coj-20160607.02-fixedbg-swift.flm
SN2016eiy	0.0087	0.6	-99	sn2016eiy-20160805.58-fixedbg-swift.flm
SN2016eiy	0.0087	5.7	-99	sn2016eiy-20160810.77-fixedbg-swift.flm
SN2016ekg	0.0171	-0.7	-99	sn2016ekg-20160806.31-fixedbg-swift.flm
SN2016ekg	0.0171	2.5	-99	sn2016ekg-20160809.56-fixedbg-swift.flm
SN2016eoa	0.02077	1.8	1.346	sn2016eoa-20160817.51-fixedbg-swift.flm
SN2016fff	0.0114	2.4	1.49	sn2016fff-20160828.87-fixedbg-swift.flm
SN2016gsb	0.0097	-2.5	-99	sn2016gsb-20161004.44-fixedbg-swift.flm
SN2016itd	0.0175	5.3	-99	sn2016itd-20161213.42-fixedbg-swift.flm
SN2017cbv	0.00399	-16.5	1.06	sn2017cbv-20170312.53-fixedbg-swift.flm
SN2017cbv	0.00399	-11.5	1.06	sn2017cbv-20170317.58-fixedbg-swift.flm
SN2017cbv	0.00399	-4.6	1.06	sn2017cbv-20170324.48-fixedbg-swift.flm
SN2017erp	0.006174	-7.1	-99	sn2017erp-20170617.35-fixedbg-swift.flm
SN2017erp	0.006174	-5.3	-99	sn2017erp-20170619.18-fixedbg-swift.flm
