9172.06216038	5.370380154436e-15	5.454458315696e-15
9168.49647511	2.642022754254e-14	6.171419369651e-15
9164.93168711	3.503685334878e-14	6.419659256981e-15
9161.36779469	2.001948479588e-14	6.017900206714e-15
9157.80479612	3.073098123995e-14	6.388895397942e-15
9154.24268971	2.954093698091e-14	6.343683295941e-15
9150.68147373	1.420026460562e-14	5.905006584783e-15
9147.12114650	6.486229353989e-15	5.826866997625e-15
9143.56170630	2.644843048115e-14	6.385932232593e-15
9140.00315144	2.677322767853e-14	6.332156704778e-15
9136.44548023	1.822199440932e-14	6.178010760393e-15
9132.88869096	1.550934937569e-14	6.007683557410e-15
9129.33278194	7.242350087599e-15	5.815674096006e-15
9125.77775149	-1.275074498377e-15	5.548948837101e-15
9122.22359792	-5.624715259942e-16	5.531613030422e-15
9118.67031954	4.850699229254e-15	5.690468436275e-15
9115.11791467	-8.303864289420e-16	4.583953950155e-15
9111.56638162	-4.824216439321e-16	3.585283305603e-15
9108.01571873	-1.922900682077e-15	2.771759325994e-15
9104.46592431	3.781794432666e-15	2.357720312896e-15
9100.91699669	5.246534420287e-15	1.958625966980e-15
9097.36893420	4.805016045745e-15	1.541353002391e-15
9093.82173518	2.024494220588e-15	1.263395111656e-15
9090.27539794	2.782058843898e-15	1.068408015526e-15
9086.72992084	5.798734881863e-15	9.847572288039e-16
9083.18530220	3.731302456538e-15	7.797921377845e-16
9079.64154037	3.043135479779e-15	6.552653456669e-16
9076.09863369	1.774572325601e-15	5.217699204515e-16
9072.55658050	2.540805235761e-15	4.628074568817e-16
9069.01537916	1.783810145707e-15	3.860451206853e-16
9065.47502801	9.942904065902e-16	3.112840212619e-16
9061.93552541	7.955653482974e-16	2.643333538905e-16
9058.39686970	4.111857032318e-16	2.206278646083e-16
9054.85905925	2.680933912435e-16	1.897709067568e-16
9051.32209242	-2.191426125374e-16	1.500068039336e-16
9047.78596756	-4.673757207580e-17	1.365135178992e-16
9044.25068304	-2.487234872486e-17	1.246353652051e-16
9040.71623722	7.804628312712e-17	1.183577610776e-16
9037.18262848	2.900929912471e-16	1.111925876773e-16
9033.64985518	3.560248811368e-16	1.014710613135e-16
9030.11791570	3.311310752002e-16	9.239772754986e-17
9026.58680841	3.205432857998e-16	8.319612833428e-17
9023.05653169	4.850609701757e-16	7.831736993629e-17
9019.52708392	2.630984609752e-16	6.475759507545e-17
9015.99846348	3.271518530893e-16	6.314914422476e-17
9012.47066876	3.590454190995e-16	5.802679165205e-17
9008.94369814	1.639837249943e-16	4.841614851071e-17
9005.41755002	6.962636865942e-17	4.185929490801e-17
9001.89222277	1.304885427342e-16	4.117559252690e-17
8998.36771481	1.029939518436e-16	4.001725906902e-17
8994.84402452	8.346383239169e-17	3.878213442715e-17
8991.32115031	4.980083924790e-17	3.522310274710e-17
8987.79909056	6.790225232194e-17	3.406984182390e-17
8984.27784370	2.260005133360e-17	3.141687781550e-17
8980.75740811	2.742622753359e-17	2.825404871768e-17
8977.23778222	2.909030926896e-17	2.551924061032e-17
8973.71896442	4.232423133157e-17	2.481140497267e-17
8970.20095314	8.268940213574e-17	2.423783095928e-17
8966.68374679	8.718054231382e-17	2.336152549133e-17
8963.16734378	9.378640985914e-17	2.175559220017e-17
8959.65174253	1.011859643519e-16	2.222132649042e-17
8956.13694147	4.116728987961e-17	2.171450868212e-17
8952.62293902	6.555628912554e-17	2.147884129629e-17
8949.10973361	9.730477112541e-17	2.101580423890e-17
8945.59732366	7.612549625742e-17	2.005641208766e-17
8942.08570761	2.549621156186e-17	1.790326692983e-17
8938.57488389	7.811516595320e-17	1.758278514488e-17
8935.06485093	2.926740442964e-17	1.546106750103e-17
8931.55560718	4.333631450795e-17	1.537001321891e-17
8928.04715107	7.078066414794e-18	1.397858199446e-17
8924.53948105	2.147169646098e-17	1.405017620994e-17
8921.03259556	1.585612103280e-17	1.439795597545e-17
8917.52649305	1.623468226917e-17	1.422498016129e-17
8914.02117196	1.324172774010e-17	1.393957791785e-17
8910.51663076	7.176744801498e-17	1.499209775929e-17
8907.01286790	4.275028453675e-17	1.383395786215e-17
8903.50988182	4.824370584721e-17	1.252107319788e-17
8900.00767100	4.075068051215e-17	1.226460302247e-17
8896.50623389	1.770020089928e-17	1.128564833983e-17
8893.00556895	6.313973944510e-17	1.236061330740e-17
8889.50567466	5.013791915196e-17	1.188494989055e-17
8886.00654947	5.335525097577e-17	1.149059744783e-17
8882.50819187	2.583884541888e-17	1.048558149933e-17
8879.01060032	5.358903761439e-17	1.106831148455e-17
8875.51377331	5.472433162701e-17	1.106854493485e-17
8872.01770929	2.543955116640e-17	1.049038644065e-17
8868.52240677	6.109400198094e-17	1.181371560377e-17
8865.02786421	5.054466435752e-17	1.120608828126e-17
8861.53408011	4.085347233702e-17	1.195152238150e-17
8858.04105295	2.569572452530e-17	1.237337697955e-17
8854.54878122	3.366572385167e-17	1.219256833407e-17
8851.05726341	7.309781430375e-18	1.117759718809e-17
8847.56649802	8.546786381321e-19	1.069840560993e-17
8844.07648353	2.996733853553e-17	1.019881115965e-17
8840.58721846	1.470772169746e-17	8.653569315781e-18
8837.09870130	1.448059717007e-17	8.673580849329e-18
8833.61093056	2.678937170865e-17	8.889371201813e-18
8830.12390473	2.357028374440e-17	8.780353827819e-18
8826.63762233	8.747251342000e-18	8.130566320802e-18
8823.15208187	2.760762157345e-17	9.011379986769e-18
8819.66728187	2.880988450515e-17	9.066529824554e-18
8816.18322082	2.247320116532e-17	8.885428566935e-18
8812.69989726	3.879554535518e-17	9.370066065646e-18
