# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 500                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.034                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-09-05T05:42:37            / 
# MJD      = 55809.2                        / 
# TXPL     = 12.5                           / days relative to date of explosion
# TMAX     = -5.3                           / phase, days relative to B-band maximum
# AIRMASS  = 1.88                           / 
# SEEING   = 1.21                           / 
# ISPHOTO  = 1                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3603.32 7.216029e-13 2.722860e-30
3605.70 7.199999e-13 2.700569e-30
3608.08 7.222964e-13 2.686585e-30
3610.46 7.252778e-13 2.675029e-30
3612.84 7.277907e-13 2.664461e-30
3615.22 7.293996e-13 2.651747e-30
3617.60 7.301802e-13 2.637153e-30
3619.98 7.295324e-13 2.615909e-30
3622.36 7.254140e-13 2.581941e-30
3624.74 7.258528e-13 2.567070e-30
3627.12 7.208837e-13 2.534310e-30
3629.50 7.165272e-13 2.504764e-30
3631.88 7.166392e-13 2.490323e-30
3634.26 7.135008e-13 2.468425e-30
3636.64 7.094150e-13 2.442708e-30
3639.02 7.065246e-13 2.425619e-30
3641.40 7.066487e-13 2.418957e-30
3643.78 7.015152e-13 2.392821e-30
3646.16 6.972343e-13 2.373099e-30
3648.54 6.919509e-13 2.349060e-30
3650.92 6.834426e-13 2.316859e-30
3653.30 6.749199e-13 2.282560e-30
3655.68 6.634365e-13 2.236973e-30
3658.06 6.534008e-13 2.196425e-30
3660.44 6.454306e-13 2.162898e-30
3662.82 6.372310e-13 2.128539e-30
3665.20 6.256966e-13 2.080936e-30
3667.58 6.156350e-13 2.034625e-30
3669.96 6.059386e-13 1.990283e-30
3672.34 5.936771e-13 1.937954e-30
3674.72 5.786998e-13 1.877270e-30
3677.10 5.626095e-13 1.812344e-30
3679.48 5.442389e-13 1.741269e-30
3681.86 5.272538e-13 1.676735e-30
3684.24 5.117658e-13 1.617956e-30
3686.62 4.990698e-13 1.568492e-30
3689.00 4.875575e-13 1.524505e-30
3691.38 4.742606e-13 1.475323e-30
3693.76 4.620450e-13 1.431189e-30
3696.14 4.492159e-13 1.384525e-30
3698.52 4.364256e-13 1.336808e-30
3700.90 4.228023e-13 1.289668e-30
3703.28 4.125739e-13 1.251107e-30
3705.66 4.058224e-13 1.224472e-30
3708.04 3.993345e-13 1.200650e-30
3710.42 3.949255e-13 1.182465e-30
3712.80 3.875782e-13 1.158810e-30
3715.18 3.801834e-13 1.135066e-30
3717.56 3.741742e-13 1.114259e-30
3719.94 3.688957e-13 1.096469e-30
3722.32 3.638887e-13 1.080698e-30
3724.70 3.620014e-13 1.073602e-30
3727.08 3.621229e-13 1.073598e-30
3729.46 3.640328e-13 1.077789e-30
3731.84 3.672142e-13 1.086125e-30
3734.22 3.726484e-13 1.100130e-30
3736.60 3.803605e-13 1.120142e-30
3738.98 3.904491e-13 1.147755e-30
3741.36 4.021596e-13 1.179135e-30
3743.74 4.141862e-13 1.213238e-30
3746.12 4.242234e-13 1.238739e-30
3748.50 4.343641e-13 1.264806e-30
3750.88 4.403546e-13 1.277736e-30
3753.26 4.428303e-13 1.281572e-30
3755.64 4.422028e-13 1.277451e-30
3758.02 4.421319e-13 1.272567e-30
3760.40 4.415213e-13 1.266900e-30
3762.78 4.418810e-13 1.263403e-30
3765.16 4.406786e-13 1.255535e-30
3767.54 4.382833e-13 1.244066e-30
