# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 250                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.044                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-11-23T15:29:39            / 
# MJD      = 55888.6                        / 
# TXPL     = 91.9                           / days relative to date of explosion
# TMAX     = 74.1                           / phase, days relative to B-band maximum
# AIRMASS  = 2.25                           / 
# SEEING   = 1.29                           / 
# ISPHOTO  = 0                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3603.32 1.172669e-14 2.052329e-31
3605.70 1.193508e-14 2.062140e-31
3608.08 1.165457e-14 2.005587e-31
3610.46 1.129749e-14 1.788003e-31
3612.84 1.158320e-14 1.953166e-31
3615.22 1.159027e-14 1.791175e-31
3617.60 1.216847e-14 1.813304e-31
3619.98 1.207171e-14 1.943178e-31
3622.36 1.170137e-14 1.890400e-31
3624.74 1.158492e-14 1.839830e-31
3627.12 1.155811e-14 1.821499e-31
3629.50 1.153126e-14 1.792665e-31
3631.88 1.122451e-14 1.606347e-31
3634.26 1.121973e-14 1.724401e-31
3636.64 1.102556e-14 1.704041e-31
3639.02 1.071845e-14 1.656959e-31
3641.40 1.042919e-14 1.614837e-31
3643.78 1.070802e-14 1.630187e-31
3646.16 1.067385e-14 1.479799e-31
3648.54 1.069751e-14 1.598627e-31
3650.92 1.146188e-14 1.646574e-31
3653.30 1.128738e-14 1.642661e-31
3655.68 1.129130e-14 1.642182e-31
3658.06 1.150615e-14 1.656146e-31
3660.44 1.209372e-14 1.693924e-31
3662.82 1.272002e-14 1.747410e-31
3665.20 1.300360e-14 1.769736e-31
3667.58 1.372430e-14 1.836488e-31
3669.96 1.372966e-14 1.817925e-31
3672.34 1.367370e-14 1.801048e-31
3674.72 1.466822e-14 1.883833e-31
3677.10 1.547741e-14 1.944539e-31
3679.48 1.550275e-14 1.924002e-31
3681.86 1.593615e-14 1.941948e-31
3684.24 1.665591e-14 1.996099e-31
3686.62 1.684270e-14 1.998635e-31
3689.00 1.765951e-14 2.051612e-31
3691.38 1.825574e-14 2.074706e-31
3693.76 1.884653e-14 2.087613e-31
3696.14 1.937479e-14 2.120825e-31
3698.52 1.992495e-14 2.137808e-31
3700.90 1.987217e-14 2.114894e-31
3703.28 2.011292e-14 2.099572e-31
3705.66 2.063932e-14 2.124142e-31
3708.04 2.039639e-14 1.937145e-31
3710.42 2.013033e-14 2.045549e-31
3712.80 2.089381e-14 2.090245e-31
3715.18 2.152462e-14 2.125614e-31
3717.56 2.062701e-14 2.053702e-31
3719.94 2.039255e-14 2.031753e-31
3722.32 2.147704e-14 1.939439e-31
3724.70 2.154736e-14 2.084191e-31
3727.08 2.120605e-14 2.054881e-31
3729.46 2.136687e-14 2.051146e-31
3731.84 2.242072e-14 2.109842e-31
3734.22 2.263264e-14 2.115849e-31
3736.60 2.199136e-14 2.083826e-31
3738.98 2.204693e-14 2.080460e-31
3741.36 2.180572e-14 2.053536e-31
3743.74 2.132300e-14 2.008947e-31
3746.12 2.110179e-14 1.979290e-31
3748.50 2.099001e-14 1.967592e-31
3750.88 2.119124e-14 1.971497e-31
3753.26 2.113396e-14 1.972033e-31
3755.64 2.054600e-14 1.922391e-31
3758.02 1.949313e-14 1.850718e-31
3760.40 1.907572e-14 1.813702e-31
3762.78 1.800530e-14 1.735966e-31
3765.16 1.711318e-14 1.661246e-31
3767.54 1.632375e-14 1.595114e-31
3769.92 1.572686e-14 1.544457e-31
3772.30 1.530865e-14 1.391544e-31
3774.68 1.422824e-14 1.420308e-31
3777.06 1.336639e-14 1.335377e-31
3779.44 1.255975e-14 1.281530e-31
3781.82 1.193981e-14 1.228502e-31
3784.20 1.153628e-14 1.186055e-31
3786.58 1.092096e-14 1.142259e-31
3788.96 1.032904e-14 1.089863e-31
3791.34 9.353605e-15 1.017458e-31
3793.72 8.878433e-15 9.880989e-32
3796.10 8.644195e-15 9.731159e-32
3798.48 7.978555e-15 9.115053e-32
3800.86 7.670205e-15 8.716711e-32
3803.24 7.220071e-15 8.384527e-32
3805.62 7.011606e-15 7.584101e-32
3808.00 6.709993e-15 7.369555e-32
3810.38 6.482190e-15 7.774323e-32
3812.76 6.385849e-15 7.621812e-32
3815.14 6.115528e-15 7.458304e-32
3817.52 5.985316e-15 7.317682e-32
3819.90 6.106390e-15 7.320230e-32
3822.28 5.979072e-15 7.107948e-32
3824.66 5.802871e-15 6.978522e-32
3827.04 5.664208e-15 6.897283e-32
3829.42 5.894659e-15 7.034531e-32
3831.80 6.058642e-15 7.181712e-32
3834.18 6.484141e-15 7.340221e-32
3836.56 6.418498e-15 7.241807e-32
3838.94 6.560006e-15 7.329395e-32
3841.32 6.814152e-15 7.414252e-32
3843.70 7.258735e-15 7.699053e-32
3846.08 7.586431e-15 7.823944e-32
3848.46 7.840105e-15 7.955161e-32
3850.84 8.361571e-15 8.095868e-32
3853.22 8.488013e-15 8.283193e-32
3855.60 8.973676e-15 8.543144e-32
3857.98 9.437108e-15 8.771308e-32
3860.36 1.016510e-14 9.148856e-32
3862.74 1.093854e-14 9.566102e-32
3865.12 1.121836e-14 9.670460e-32
3867.50 1.155023e-14 9.709806e-32
3869.88 1.190311e-14 9.937303e-32
3872.26 1.264037e-14 1.031570e-31
3874.64 1.329013e-14 1.069157e-31
3877.02 1.400374e-14 1.110569e-31
3879.40 1.475220e-14 1.148631e-31
3881.78 1.566282e-14 1.191605e-31
3884.16 1.617234e-14 1.222403e-31
3886.54 1.670366e-14 1.254556e-31
3888.92 1.758684e-14 1.297337e-31
3891.30 1.793918e-14 1.323092e-31
3893.68 1.851621e-14 1.353569e-31
3896.06 1.921076e-14 1.392447e-31
3898.44 1.993308e-14 1.430877e-31
3900.82 2.059034e-14 1.464357e-31
3903.20 2.124973e-14 1.505158e-31
3905.58 2.145110e-14 1.521750e-31
3907.96 2.226427e-14 1.575131e-31
3910.34 2.253073e-14 1.598449e-31
3912.72 2.315409e-14 1.633588e-31
3915.10 2.375866e-14 1.669181e-31
3917.48 2.452072e-14 1.697012e-31
3919.86 2.494654e-14 1.722457e-31
3922.24 2.503154e-14 1.616632e-31
3924.62 2.551869e-14 1.637257e-31
3927.00 2.573322e-14 1.637551e-31
3929.38 2.581002e-14 1.626972e-31
3931.76 2.553595e-14 1.604272e-31
3934.14 2.571950e-14 1.607851e-31
3936.52 2.581421e-14 1.597585e-31
3938.90 2.640935e-14 1.613578e-31
3941.28 2.798559e-14 1.804198e-31
3943.66 2.888949e-14 1.841164e-31
3946.04 2.950560e-14 1.731592e-31
3948.42 2.965347e-14 1.854138e-31
3950.80 3.011433e-14 1.871115e-31
3953.18 3.042371e-14 1.885114e-31
3955.56 3.117810e-14 1.909120e-31
3957.94 3.161658e-14 1.926142e-31
3960.32 3.144467e-14 1.781258e-31
3962.70 3.171058e-14 1.790759e-31
3965.08 3.193975e-14 1.803387e-31
3967.46 3.179034e-14 1.791574e-31
3969.84 3.131749e-14 1.766617e-31
3972.22 3.227145e-14 1.815223e-31
3974.60 3.294781e-14 1.846182e-31
3976.98 3.273971e-14 1.962414e-31
3979.36 3.239031e-14 1.945412e-31
3981.74 3.269901e-14 1.958261e-31
3984.12 3.293310e-14 1.965573e-31
3986.50 3.287766e-14 1.967209e-31
3988.88 3.293180e-14 1.967615e-31
3991.26 3.243509e-14 1.941075e-31
3993.64 3.217144e-14 1.796451e-31
3996.02 3.176245e-14 1.897782e-31
3998.40 3.174036e-14 1.894707e-31
4000.78 3.169580e-14 1.887210e-31
4003.16 3.123853e-14 1.855227e-31
4005.54 3.102238e-14 1.836950e-31
4007.92 3.069039e-14 1.689609e-31
4010.30 3.036727e-14 1.780349e-31
4012.68 2.998848e-14 1.758314e-31
4015.06 2.954514e-14 1.726902e-31
4017.44 2.931183e-14 1.715075e-31
4019.82 2.892755e-14 1.691517e-31
4022.20 2.846836e-14 1.670470e-31
4024.58 2.845880e-14 1.678986e-31
4026.96 2.811761e-14 1.668562e-31
4029.34 2.757134e-14 1.654133e-31
4031.72 2.696478e-14 1.640140e-31
4034.10 2.614542e-14 1.628519e-31
4036.48 2.554646e-14 1.615658e-31
4038.86 2.502764e-14 1.614756e-31
4041.24 2.401044e-14 1.578904e-31
4043.62 2.323728e-14 1.555040e-31
4046.00 2.314949e-14 1.549618e-31
4048.38 2.274710e-14 1.520333e-31
4050.76 2.194406e-14 1.459361e-31
4053.14 2.136542e-14 1.391938e-31
4055.52 2.068963e-14 1.328307e-31
4057.90 2.012280e-14 1.275383e-31
4060.28 2.049333e-14 1.265917e-31
4062.66 2.033412e-14 1.236859e-31
4065.04 2.019610e-14 1.213891e-31
4067.42 2.000753e-14 1.181227e-31
4069.80 1.992861e-14 1.158224e-31
4072.18 1.996683e-14 1.147681e-31
4074.56 1.984754e-14 1.132394e-31
4076.94 1.977279e-14 1.121151e-31
4079.32 1.981775e-14 1.115348e-31
4081.70 2.013352e-14 1.122651e-31
4084.08 2.021991e-14 1.120436e-31
4086.46 1.970740e-14 1.095185e-31
4088.84 1.917852e-14 1.071547e-31
4091.22 1.913651e-14 1.062953e-31
4093.60 1.937857e-14 1.072219e-31
4095.98 1.914696e-14 1.056376e-31
4098.36 1.882833e-14 1.038351e-31
4100.74 1.882158e-14 1.037807e-31
4103.12 1.870931e-14 1.032141e-31
4105.50 1.833434e-14 1.011565e-31
4107.88 1.771859e-14 9.818628e-32
4110.26 1.744487e-14 9.701619e-32
4112.64 1.754197e-14 9.693114e-32
4115.02 1.738348e-14 9.654492e-32
4117.40 1.704030e-14 9.532346e-32
4119.78 1.710382e-14 9.583313e-32
4122.16 1.714029e-14 9.617706e-32
4124.54 1.748857e-14 9.774664e-32
4126.92 1.734765e-14 9.724585e-32
4129.30 1.698586e-14 9.575373e-32
4131.68 1.724488e-14 9.745252e-32
4134.06 1.740869e-14 9.988764e-32
4136.44 1.714821e-14 9.972627e-32
4138.82 1.712698e-14 1.004725e-31
4141.20 1.736664e-14 1.022698e-31
4143.58 1.743527e-14 1.033207e-31
4145.96 1.759068e-14 1.040654e-31
4148.34 1.753712e-14 1.042476e-31
4150.72 1.746405e-14 1.039044e-31
4153.10 1.774401e-14 1.046596e-31
4155.48 1.784113e-14 1.045604e-31
4157.86 1.784665e-14 1.036200e-31
4160.24 1.787603e-14 1.029085e-31
4162.62 1.779764e-14 1.010844e-31
4165.00 1.805518e-14 1.013864e-31
4167.38 1.777379e-14 9.909332e-32
4169.76 1.754599e-14 9.746228e-32
4172.14 1.775468e-14 9.765438e-32
4174.52 1.805777e-14 9.753590e-32
4176.90 1.786737e-14 9.590938e-32
4179.28 1.798147e-14 9.562686e-32
4181.66 1.815009e-14 9.576839e-32
4184.04 1.794670e-14 9.421736e-32
4186.42 1.829288e-14 9.496878e-32
4188.80 1.843869e-14 9.553030e-32
4191.18 1.873359e-14 9.654467e-32
4193.56 1.923276e-14 9.758373e-32
4195.94 1.926001e-14 9.698531e-32
4198.32 1.932772e-14 9.678430e-32
4200.70 1.973053e-14 9.134230e-32
4203.08 1.978537e-14 9.126127e-32
4205.46 1.997565e-14 9.819718e-32
4207.84 2.032945e-14 9.949464e-32
4210.22 2.066160e-14 1.004980e-31
4212.60 2.055170e-14 9.995636e-32
4214.98 2.057409e-14 9.960014e-32
4217.36 2.056809e-14 9.934988e-32
4219.74 2.027316e-14 9.818081e-32
4222.12 2.030032e-14 9.140402e-32
4224.50 2.062398e-14 9.951733e-32
4226.88 2.067254e-14 9.900997e-32
4229.26 2.056862e-14 9.833516e-32
4231.64 2.043094e-14 9.126412e-32
4234.02 2.044953e-14 9.784520e-32
4236.40 2.039773e-14 9.683555e-32
4238.78 2.071537e-14 9.779643e-32
4241.16 2.089872e-14 9.906560e-32
4243.54 2.081552e-14 9.839436e-32
4245.92 2.051724e-14 9.756255e-32
4248.30 2.065917e-14 9.090192e-32
4250.68 2.076234e-14 9.772524e-32
4253.06 2.081349e-14 9.745717e-32
4255.44 2.027728e-14 9.531204e-32
4257.82 2.038725e-14 9.598717e-32
4260.20 2.033743e-14 9.551951e-32
4262.58 2.029182e-14 9.450021e-32
4264.96 2.092163e-14 9.680664e-32
4267.34 2.096671e-14 9.707356e-32
