# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 500                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.031                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-09-12T05:27:18            / 
# MJD      = 55816.2                        / 
# TXPL     = 19.5                           / days relative to date of explosion
# TMAX     = 1.7                            / phase, days relative to B-band maximum
# AIRMASS  = 1.99                           / 
# SEEING   = 1.24                           / 
# ISPHOTO  = 1                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3603.32 7.836150e-13 3.035931e-30
3605.70 7.781201e-13 2.988978e-30
3608.08 7.723064e-13 2.947974e-30
3610.46 7.675404e-13 2.905571e-30
3612.84 7.654328e-13 2.876851e-30
3615.22 7.630282e-13 2.846759e-30
3617.60 7.617042e-13 2.823563e-30
3619.98 7.597982e-13 2.797038e-30
3622.36 7.624448e-13 2.791296e-30
3624.74 7.659486e-13 2.795936e-30
3627.12 7.670765e-13 2.786893e-30
3629.50 7.730727e-13 2.791378e-30
3631.88 7.820881e-13 2.808547e-30
3634.26 7.918145e-13 2.830299e-30
3636.64 7.995252e-13 2.851525e-30
3639.02 8.042215e-13 2.863088e-30
3641.40 8.077212e-13 2.869080e-30
3643.78 8.092965e-13 2.867605e-30
3646.16 8.065054e-13 2.846652e-30
3648.54 8.041062e-13 2.828647e-30
3650.92 8.015074e-13 2.814287e-30
3653.30 8.005117e-13 2.800258e-30
3655.68 7.980655e-13 2.781069e-30
3658.06 7.985997e-13 2.767301e-30
3660.44 7.994297e-13 2.753181e-30
3662.82 8.040161e-13 2.747562e-30
3665.20 8.046290e-13 2.730498e-30
3667.58 8.040425e-13 2.705842e-30
3669.96 8.012604e-13 2.674756e-30
3672.34 7.978951e-13 2.641507e-30
3674.72 7.894314e-13 2.592532e-30
3677.10 7.756023e-13 2.530014e-30
3679.48 7.619982e-13 2.465504e-30
3681.86 7.449735e-13 2.393980e-30
3684.24 7.295322e-13 2.331445e-30
3686.62 7.124749e-13 2.263324e-30
3689.00 6.940207e-13 2.201594e-30
3691.38 6.720982e-13 2.124250e-30
3693.76 6.499977e-13 2.049240e-30
3696.14 6.265765e-13 1.969848e-30
3698.52 6.055956e-13 1.898380e-30
3700.90 5.854635e-13 1.829988e-30
3703.28 5.679936e-13 1.767653e-30
3705.66 5.525233e-13 1.713600e-30
3708.04 5.386717e-13 1.667916e-30
3710.42 5.271384e-13 1.633741e-30
3712.80 5.170145e-13 1.601374e-30
3715.18 5.033184e-13 1.559840e-30
3717.56 4.908423e-13 1.519466e-30
3719.94 4.775549e-13 1.475159e-30
3722.32 4.647944e-13 1.434733e-30
3724.70 4.545299e-13 1.406151e-30
3727.08 4.451334e-13 1.380683e-30
3729.46 4.370699e-13 1.354054e-30
3731.84 4.300469e-13 1.328607e-30
3734.22 4.249526e-13 1.308739e-30
3736.60 4.226990e-13 1.300091e-30
3738.98 4.224871e-13 1.300963e-30
3741.36 4.235163e-13 1.303590e-30
3743.74 4.253109e-13 1.305642e-30
3746.12 4.284473e-13 1.307858e-30
3748.50 4.323770e-13 1.314166e-30
3750.88 4.330630e-13 1.311071e-30
3753.26 4.307824e-13 1.299783e-30
3755.64 4.265697e-13 1.284403e-30
3758.02 4.252659e-13 1.271902e-30
3760.40 4.256700e-13 1.266353e-30
3762.78 4.250957e-13 1.259790e-30
3765.16 4.247671e-13 1.254720e-30
3767.54 4.223824e-13 1.243507e-30
3769.92 4.195647e-13 1.231009e-30
3772.30 4.181147e-13 1.223682e-30
3774.68 4.177631e-13 1.216822e-30
3777.06 4.162923e-13 1.207225e-30
3779.44 4.122825e-13 1.193206e-30
3781.82 4.105326e-13 1.183777e-30
3784.20 4.083851e-13 1.173426e-30
3786.58 4.063831e-13 1.159945e-30
3788.96 4.029433e-13 1.143515e-30
3791.34 3.990380e-13 1.128853e-30
3793.72 3.970748e-13 1.117787e-30
3796.10 3.962927e-13 1.110491e-30
3798.48 3.957814e-13 1.103610e-30
3800.86 3.954297e-13 1.098202e-30
3803.24 3.941792e-13 1.091893e-30
3805.62 3.945242e-13 1.086567e-30
3808.00 3.971251e-13 1.087933e-30
3810.38 4.006199e-13 1.090801e-30
3812.76 4.044206e-13 1.092250e-30
3815.14 4.089448e-13 1.095483e-30
3817.52 4.150568e-13 1.103995e-30
3819.90 4.218232e-13 1.112739e-30
3822.28 4.283818e-13 1.120387e-30
3824.66 4.362607e-13 1.132329e-30
3827.04 4.443827e-13 1.143810e-30
3829.42 4.541185e-13 1.159861e-30
3831.80 4.629444e-13 1.173851e-30
3834.18 4.715605e-13 1.189041e-30
3836.56 4.826354e-13 1.207682e-30
3838.94 4.962321e-13 1.235319e-30
3841.32 5.098991e-13 1.263452e-30
3843.70 5.237816e-13 1.292785e-30
3846.08 5.393407e-13 1.324650e-30
3848.46 5.542892e-13 1.354696e-30
3850.84 5.688232e-13 1.383364e-30
3853.22 5.847143e-13 1.414511e-30
3855.60 6.036224e-13 1.453555e-30
3857.98 6.226837e-13 1.494390e-30
3860.36 6.433134e-13 1.537949e-30
3862.74 6.680453e-13 1.593134e-30
3865.12 6.963966e-13 1.658375e-30
3867.50 7.223156e-13 1.718053e-30
3869.88 7.460532e-13 1.771419e-30
3872.26 7.718007e-13 1.832639e-30
3874.64 7.961592e-13 1.893071e-30
3877.02 8.184910e-13 1.949159e-30
3879.40 8.396822e-13 2.001855e-30
3881.78 8.582702e-13 2.050039e-30
3884.16 8.738477e-13 2.091598e-30
3886.54 8.861855e-13 2.123516e-30
3888.92 8.998871e-13 2.158249e-30
3891.30 9.118534e-13 2.191886e-30
3893.68 9.229537e-13 2.221779e-30
3896.06 9.325200e-13 2.244655e-30
3898.44 9.398075e-13 2.257500e-30
3900.82 9.451361e-13 2.264007e-30
3903.20 9.520268e-13 2.272084e-30
3905.58 9.589601e-13 2.275314e-30
3907.96 9.650987e-13 2.279102e-30
3910.34 9.716131e-13 2.280391e-30
3912.72 9.766805e-13 2.275992e-30
3915.10 9.811858e-13 2.268198e-30
3917.48 9.828731e-13 2.251440e-30
3919.86 9.871829e-13 2.239154e-30
3922.24 9.925413e-13 2.237768e-30
3924.62 9.958765e-13 2.228056e-30
3927.00 1.001915e-12 2.224841e-30
3929.38 1.002781e-12 2.209518e-30
3931.76 9.902082e-13 2.167776e-30
3934.14 9.797221e-13 2.136818e-30
3936.52 9.919650e-13 2.158218e-30
3938.90 1.018081e-12 2.209817e-30
3941.28 1.037432e-12 2.248048e-30
3943.66 1.045711e-12 2.265887e-30
3946.04 1.049788e-12 2.273547e-30
3948.42 1.052250e-12 2.280819e-30
3950.80 1.052531e-12 2.283940e-30
3953.18 1.050241e-12 2.280390e-30
3955.56 1.044874e-12 2.270059e-30
3957.94 1.037431e-12 2.257675e-30
3960.32 1.027460e-12 2.234703e-30
3962.70 1.013601e-12 2.200769e-30
3965.08 9.947439e-13 2.158156e-30
3967.46 9.734011e-13 2.113868e-30
3969.84 9.566842e-13 2.076611e-30
3972.22 9.511939e-13 2.067034e-30
3974.60 9.455798e-13 2.057982e-30
3976.98 9.372823e-13 2.038477e-30
3979.36 9.245158e-13 2.011389e-30
3981.74 9.127388e-13 1.983917e-30
3984.12 8.975174e-13 1.946831e-30
3986.50 8.804452e-13 1.909522e-30
3988.88 8.666184e-13 1.881037e-30
3991.26 8.544047e-13 1.857065e-30
3993.64 8.414738e-13 1.836142e-30
3996.02 8.299423e-13 1.817157e-30
3998.40 8.204384e-13 1.811750e-30
4000.78 8.091614e-13 1.803368e-30
4003.16 8.011809e-13 1.803138e-30
4005.54 7.934783e-13 1.807085e-30
4007.92 7.876846e-13 1.820176e-30
4010.30 7.842913e-13 1.833532e-30
4012.68 7.848988e-13 1.851574e-30
4015.06 7.905537e-13 1.873779e-30
4017.44 7.997464e-13 1.889561e-30
