spectra "S/N ratio"
\sn1993ac-19931016.49-mmt 27.0417191652
\sn1993ac-19931020.52-mmt 7.74995127349
\sn1993ae-19931213.11-mmt 28.5745029683
\sn1994ae-19941129.51-fast 178.45772812
\sn1994ae-19941130.49-fast 195.537837125
\sn1994ae-19941201.50-fast 195.023306789
\sn1994ae-19941202.53-fast 141.232045816
\sn1994ae-19941203.54-fast 162.32294186
\sn1994ae-19941204.53-fast 148.499364547
\sn1994ae-19941207.47-fast 185.026868348
\sn1994ae-19941207.55-mmt 185.207039561
\sn1994ae-19941208.55-fast 188.712957515
\sn1994ae-19941209.50-fast 173.201943533
\sn1994ae-19941228.49-fast 149.96595103
\sn1994ae-19950103.48-fast 59.9994629522
\sn1994ae-19950107.37-fast 85.0584580847
\sn1994ae-19950131.40-fast 50.6613317404
\sn1994ae-19950206.45-fast 46.6657334806
\sn1994ae-19950224.33-fast 41.3224117813
\sn1994ae-19950501.20-fast 27.5379835557
