#cid z av av_err
2008C 0.0171 0.8183 0.1045
2008bc 0.0157 -0.3464 0.0597
2008bq 0.0344 0.6113 0.0755
2008fp 0.0063 2.2255 0.1953
2008gp 0.0328 0.6224 0.0874
2008ia 0.0226 0.1847 0.1122
2004dt 0.0188 0.2767 0.0378
2004gc 0.0307 0.4159 0.1269
2005W 0.0080 0.7310 0.0671
2005be 0.0356 -0.4218 0.2778
2005bg 0.0242 0.2182 0.0577
2005bo 0.0150 1.0667 0.0785
2005ir 0.0753 0.0394 0.0662
2005lu 0.0313 1.0476 0.1039
2005mc 0.0260 0.1081 0.1038
2006ef 0.0170 -0.0345 0.0877
2006py 0.0566 0.2819 0.1524
2007jh 0.0403 -0.1562 0.1481
1972E 0.0023 0.0367 0.0854
1981B 0.0072 0.4923 0.0714
1981D 0.0055 0.7776 0.2406
1986G 0.0027 2.1636 0.1197
1989B 0.0035 1.4491 0.0895
1990T 0.0401 0.3065 0.1026
1990Y 0.0388 0.6694 0.1466
1990af 0.0502 -0.3597 0.2307
1991M 0.0076 0.2069 0.2007
1991S 0.0557 0.0893 0.1482
1991U 0.0327 0.4944 0.1884
1991ag 0.0139 -0.0726 0.1128
1991bg 0.0046 0.3011 0.0629
1992G 0.0061 0.6613 0.0907
1992J 0.0457 0.2726 0.2745
1992K 0.0111 0.1194 0.1675
1992P 0.0263 0.1473 0.1009
1992ae 0.0748 0.1447 0.2097
1992ag 0.0259 0.5585 0.0786
1992al 0.0141 -0.0758 0.0602
1992aq 0.1009 -0.4414 0.1162
1992au 0.0608 -0.2660 0.2915
1992bg 0.0357 0.0958 0.0868
1992bh 0.0451 0.3379 0.0777
1992bk 0.0579 -0.3271 0.2039
1992bl 0.0429 -0.2998 0.1396
1992bo 0.0181 -0.2271 0.0795
1992bp 0.0789 -0.1071 0.0895
1992br 0.0878 -1.1183 0.3069
1992bs 0.0634 0.2763 0.1668
1993B 0.0707 0.2617 0.1043
1993H 0.0248 -0.1696 0.0780
1993O 0.0519 0.0197 0.0678
1993ac 0.0493 0.4822 0.1314
1993ae 0.0180 -0.2873 0.1361
1993ag 0.0500 0.1975 0.0802
1993ah 0.0285 0.0085 0.2535
1994M 0.0243 0.1503 0.0897
1994Q 0.0289 0.2744 0.1205
1994S 0.0160 -0.0509 0.0885
1994T 0.0357 -0.2805 0.1868
1994ae 0.0055 0.0915 0.0420
1995E 0.0117 2.4351 0.0640
1995ac 0.0488 0.3502 0.0488
1995ak 0.0220 0.5352 0.0861
1995al 0.0059 0.3247 0.0505
1995bd 0.0144 0.9100 0.0555
1996C 0.0275 0.2608 0.0795
1996Z 0.0086 0.9015 0.3221
1996ab 0.1242 -0.4131 0.2254
1996bk 0.0070 0.5416 0.1526
1996bl 0.0348 0.2945 0.0793
