# snid z logmass logmass_min logmass_max logsfr logsfr_min logsfr_max logssfr logssfr_min logssfr_max SDSSu SDSSu_min SDSSu_max PS1g PS1g_min PS1g_max umg umg_min umg_max chi2 chi2_min chi2_max nbands nbands_min nbands_max
2013cs 0.010 8.91283 8.91283 8.91283 0.396018 0.396018 0.396018 -7.91485 -7.91485 -7.91485 -17.16 -17.16 -17.16 -17.91 -17.91 -17.91 0.75 0.75 0.75 61.1402 61.1402 61.1402 18 18 18 
2007sr 0.010 9.84901 9.84901 9.84901 1.47224 1.47224 1.47224 -8.32725 -8.32725 -8.32725 -20.082 -20.082 -20.082 -21.009 -21.009 -21.009 0.927 0.927 0.927 177.834 177.834 177.834 18 18 18 
2005df 0.010 9.55219 9.55219 9.55219 0.101159 0.101159 0.101159 -9.45104 -9.45104 -9.45104 -19.176 -19.176 -19.176 -20.514 -20.514 -20.514 1.338 1.338 1.338 3623.12 3623.12 3623.12 18 18 18 
2008fv 0.010 10.7527 10.7527 10.7527 1.33608 1.33608 1.33608 -9.43474 -9.43474 -9.43474 -20.543 -20.543 -20.543 -21.909 -21.909 -21.909 1.366 1.366 1.366 186.623 186.623 186.623 18 18 18 
2017erp 0.010 9.79101 9.79101 9.79101 1.04081 1.04081 1.04081 -8.68127 -8.68127 -8.68127 -19.349 -19.349 -19.349 -20.421 -20.421 -20.421 1.072 1.072 1.072 122.312 122.312 122.312 18 18 18 
2002dp 0.010 9.75967 9.75967 9.75967 2.09302 2.09302 2.09302 -7.66665 -7.66665 -7.66665 -21.52 -21.52 -21.52 -21.804 -21.804 -21.804 0.284 0.284 0.284 1507.81 1507.81 1507.81 18 18 18 
2009Y 0.010 10.9508 10.9508 10.9508 0.297721 0.297721 0.297721 -10.6369 -10.6369 -10.6369 -19.965 -19.965 -19.965 -21.476 -21.476 -21.476 1.511 1.511 1.511 127.355 127.355 127.355 18 18 18 
1994ae 0.010 9.31138 9.31138 9.31138 0.381451 0.381451 0.381451 -9.24644 -9.24644 -9.24644 -19.06 -19.06 -19.06 -19.859 -19.859 -19.859 0.799 0.799 0.799 60.9963 60.9963 60.9963 18 18 18 
1995al 0.010 10.2816 10.2816 10.2816 0.131234 0.131234 0.131234 -10.1503 -10.1503 -10.1503 -19.956 -19.956 -19.956 -20.081 -20.081 -20.081 0.125 0.125 0.125 1397.29 1397.29 1397.29 18 18 18 
2018gv 0.010 10.418 10.418 10.418 -0.496437 -0.496437 -0.496437 -10.326 -10.326 -10.326 -19.336 -19.336 -19.336 -20.585 -20.585 -20.585 1.249 1.249 1.249 127.557 127.557 127.557 18 18 18 
1981B 0.010 10.8503 10.8503 10.8503 0.7669 0.7669 0.7669 -10.0834 -10.0834 -10.0834 -21.111 -21.111 -21.111 -22.003 -22.003 -22.003 0.892 0.892 0.892 876.687 876.687 876.687 18 18 18 
2012fr 0.010 10.3991 10.3991 10.3991 -0.800686 -0.800686 -0.800686 -10.5806 -10.5806 -10.5806 -20.031 -20.031 -20.031 -21.084 -21.084 -21.084 1.053 1.053 1.053 125.122 125.122 125.122 18 18 18 
2001bg 0.010 10.7121 10.7121 10.7121 -1.14275 -1.14275 -1.14275 -11.3233 -11.3233 -11.3233 -18.856 -18.856 -18.856 -20.079 -20.079 -20.079 1.223 1.223 1.223 172.305 172.305 172.305 18 18 18 
2015F 0.010 10.6429 10.6429 10.6429 0.411274 0.411274 0.411274 -10.2317 -10.2317 -10.2317 -21.141 -21.141 -21.141 -21.682 -21.682 -21.682 0.541 0.541 0.541 4340.67 4340.67 4340.67 18 18 18 
2006bh 0.010 10.2317 10.2317 10.2317 0.708825 0.708825 0.708825 -9.52289 -9.52289 -9.52289 -19.653 -19.653 -19.653 -20.879 -20.879 -20.879 1.226 1.226 1.226 2867.12 2867.12 2867.12 18 18 18 
2012ht 0.010 8.39097 8.39097 8.39097 0.909679 0.909679 0.909679 -7.48129 -7.48129 -7.48129 -18.144 -18.144 -18.144 -18.63 -18.63 -18.63 0.486 0.486 0.486 1687.08 1687.08 1687.08 18 18 18 
