#;epoch	U	B	V	R	I	Y	J	H	K
0.	-0.4500	0.0000	0.0640	0.0710	0.3180	0.4371	0.2552	0.3525	0.1832
1.	-0.4090	0.0060	0.0510	0.0630	0.3430	0.4988	0.3149	0.3900	0.2217
2.	-0.3560	0.0240	0.0480	0.0650	0.3770	0.5744	0.4012	0.4403	0.2771
3.	-0.2940	0.0530	0.0540	0.0790	0.4180	0.6550	0.5089	0.4932	0.3397
4.	-0.2240	0.0930	0.0690	0.1030	0.4670	0.7362	0.6356	0.5422	0.4034
5.	-0.1470	0.1420	0.0910	0.1370	0.5200	0.8118	0.7751	0.5804	0.4600
6.	-0.0630	0.2000	0.1210	0.1830	0.5750	0.8802	0.9231	0.6077	0.5067
7.	0.0290	0.2680	0.1580	0.2370	0.6320	0.9425	1.0769	0.6295	0.5449
8.	0.1280	0.3440	0.2000	0.2980	0.6890	0.9977	1.2304	0.6496	0.5759
9.	0.2350	0.4290	0.2490	0.3650	0.7440	1.0445	1.3778	0.6717	0.6037
10.	0.3510	0.5210	0.3020	0.4330	0.7960	1.0831	1.5153	0.6987	0.6333
11.	0.4750	0.6200	0.3600	0.5010	0.8430	1.1129	1.6389	0.7304	0.6668
12.	0.6070	0.7230	0.4220	0.5660	0.8810	1.1317	1.7438	0.7627	0.7009
13.	0.7460	0.8290	0.4850	0.6280	0.9090	1.1399	1.8289	0.7930	0.7330
14.	0.8910	0.9370	0.5500	0.6840	0.9230	1.1348	1.8902	0.8147	0.7570
15.	1.0390	1.0460	0.6140	0.7310	0.9230	1.1171	1.9280	0.8255	0.7713
16.	1.1890	1.1580	0.6740	0.7670	0.9110	1.0893	1.9445	0.8255	0.7769
17.	1.3410	1.2710	0.7320	0.7920	0.8890	1.0530	1.9420	0.8152	0.7757
18.	1.4930	1.3840	0.7860	0.8080	0.8620	1.0115	1.9253	0.7985	0.7719
19.	1.6450	1.4980	0.8370	0.8180	0.8320	0.9639	1.8963	0.7763	0.7653
20.	1.7930	1.6110	0.8870	0.8250	0.8020	0.9110	1.8582	0.7505	0.7550
21.	1.9380	1.7220	0.9340	0.8310	0.7760	0.8555	1.8164	0.7243	0.7415
22.	2.0750	1.8290	0.9810	0.8390	0.7540	0.7980	1.7730	0.6980	0.7238
23.	2.2050	1.9330	1.0270	0.8530	0.7380	0.7422	1.7326	0.6741	0.7052
24.	2.3240	2.0310	1.0750	0.8720	0.7270	0.6889	1.6966	0.6524	0.6875
25.	2.4310	2.1240	1.1250	0.8970	0.7230	0.6413	1.6684	0.6361	0.6752
26.	2.5270	2.2100	1.1780	0.9270	0.7250	0.5993	1.6481	0.6262	0.6693
27.	2.6120	2.2890	1.2350	0.9630	0.7340	0.5640	1.6368	0.6256	0.6720
28.	2.6880	2.3610	1.2950	1.0040	0.7510	0.5363	1.6347	0.6358	0.6848
29.	2.7580	2.4270	1.3580	1.0520	0.7770	0.5171	1.6414	0.6562	0.7081
30.	2.8230	2.4880	1.4230	1.1060	0.8120	0.5057	1.6544	0.6837	0.7400
31.	2.8820	2.5440	1.4890	1.1670	0.8570	0.5033	1.6729	0.7159	0.7782
32.	2.9340	2.5980	1.5550	1.2330	0.9100	0.5086	1.6940	0.7488	0.8183
33.	2.9810	2.6510	1.6200	1.3040	0.9710	0.5231	1.7200	0.7834	0.8608
34.	3.0210	2.7040	1.6820	1.3780	1.0390	0.5485	1.7554	0.8228	0.9079
35.	3.0560	2.7560	1.7420	1.4530	1.1130	0.5860	1.8052	0.8711	0.9632
36.	3.0850	2.8060	1.7980	1.5250	1.1920	0.6361	1.8715	0.9298	1.0280
37.	3.1110	2.8550	1.8510	1.5920	1.2750	0.6975	1.9520	0.9971	1.1005
38.	3.1330	2.9010	1.9010	1.6530	1.3590	0.7661	2.0405	1.0675	1.1754
39.	3.1530	2.9450	1.9480	1.7070	1.4400	0.8363	2.1296	1.1349	1.2469
40.	3.1710	2.9860	1.9920	1.7570	1.5160	0.9046	2.2154	1.1965	1.3124
41.	3.1900	3.0230	2.0330	1.8010	1.5850	0.9679	2.2949	1.2501	1.3700
42.	3.2080	3.0550	2.0720	1.8420	1.6470	1.0245	2.3666	1.2945	1.4190
43.	3.2270	3.0820	2.1080	1.8790	1.7030	1.0739	2.4296	1.3286	1.4591
44.	3.2450	3.1040	2.1420	1.9150	1.7530	1.1148	2.4822	1.3508	1.4893
45.	3.2640	3.1220	2.1750	1.9520	1.7980	1.1486	2.5258	1.3631	1.5118
