         ID           RA          DEC       z       hostRA      hostDec  Rpar E(B-V) local_u-g local_u-g_min local_u-g_max global_u-g global_u-g_min global_u-g_max localmass localmass_min localmass_max globalmass globalmass_min globalmass_max localssfr localssfr_min localssfr_max globalssfr globalssfr_min globalssfr_max incl hubble_resid hubble_residerr residbiascor      c  cerr cbiascor     x1 x1err x1biascor     mb mberr mbbiascor    r_a    r_b  theta       survey
     2007ar 13:21:01.930 +58:33:02.40 0.05361 13:21:02.978 +58:32:56.06  2.33    0.0     1.712         1.572          1.73      1.763          1.762          1.763      9.19         9.131         9.229     11.525         11.525         11.525   -40.291        -42.46       -19.776    -13.488          -99.0        -13.488 58.2       -0.057           0.114       -0.048 -0.016 0.053    0.004 -1.699 0.253    -0.056 17.638 0.078    -0.026 34.514 19.092  35.72     Targeted
     2009ad 05:03:33.379 +06:39:35.70 0.02837 05:03:33.188 +06:39:26.65 1.739   0.14     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.214         9.074         9.249     10.685         10.684         10.685     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 66.2       -0.037           0.087       -0.005 -0.047 0.031   -0.006  0.177 0.075    -0.016 15.936 0.066    -0.022 37.301 16.553 -70.38     Targeted
  AT2016cor 15:44:31.219 +16:18:12.63 0.05097 15:44:31.463 +16:18:14.28 1.287   0.08     1.181         1.089         1.195      1.054          1.035           1.06     8.539         8.521         8.568     10.128         10.127         10.142     -9.06       -10.201         -9.06    -10.207        -10.207        -10.207 24.4        0.213           0.069       -0.077  0.145 0.035    0.022 -0.492 0.314    -0.059 18.103 0.043    -0.001 15.713 14.369 -24.36 Not_Targeted
      2003U 17:22:45.659 +62:09:50.40 0.02846 17:22:43.757 +62:09:57.49 3.421    0.0     1.068         0.931         1.214      1.145          1.144          1.248     8.446         8.341         8.682      10.66         10.614          10.66    -8.598         -8.63        -8.598     -8.892         -8.892         -8.892 33.2       -0.119           0.103       -0.023 -0.024 0.034   -0.000 -2.131 0.328    -0.050 16.242 0.042    -0.016  27.07 22.848 -54.03     Targeted
ASASSN-16fs 14:47:06.400 +11:35:41.71 0.02948 14:47:06.309 +11:35:37.97 0.782    0.2      1.43          1.43         1.488      1.488          1.488          1.488      9.96         9.819          9.96     10.974         10.974         10.974     -99.0         -99.0         -99.0     -42.46         -42.46         -42.46 32.3       -0.171           0.058       -0.016 -0.035 0.035    0.001 -1.344 0.148    -0.004 16.129 0.043    -0.012 27.553 23.464  55.97 Not_Targeted
       6558 01:26:48.400 -01:14:17.30  0.0572 01:26:48.424 -01:14:17.07  0.49    0.2     0.888         0.888         0.902      1.118          1.099          1.177     9.377         9.376         9.402      9.674          9.659          9.687    -9.234        -9.248        -9.234    -10.093        -10.123        -10.082 58.4       -0.019           0.057        0.003 -0.020 0.023    0.000  1.059 0.092     0.033 17.473 0.033    -0.001  7.246  3.991   3.64 Not_Targeted
     2005na 07:01:36.619 +14:07:59.69 0.02689 07:01:36.747 +14:08:07.04 1.275    0.0     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.732         9.732         9.732     11.069         11.069         11.069     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 40.8       -0.144           0.092       -0.013 -0.028 0.031   -0.002 -0.415 0.105    -0.011 15.845 0.057    -0.016 33.775 25.958   42.9     Targeted
  AT2016fbk 01:44:06.537 +34:22:57.69 0.03573 01:44:08.126 +34:23:14.23 4.223    0.2     0.529         0.528         0.529      1.596          1.595          1.596     7.457         7.449         7.467      11.12          11.12          11.12   -11.065       -11.065       -11.065    -10.776        -10.776        -10.776 27.6        0.178           0.059       -0.038  0.095 0.034    0.010 -0.096 0.181    -0.019 17.114 0.046    -0.004 34.642 30.869 -26.67 Not_Targeted
  Gaia16bba 01:01:35.528 +17:06:04.54 0.02986 01:01:35.749 +17:06:04.36 2.107   0.18     0.529         0.529           1.4      0.529          0.528          0.529     7.612         7.573         7.971      8.184          8.162          8.189   -12.723       -12.723       -12.723      -9.85          -9.85          -9.85 34.2       -0.003           0.046        0.001 -0.076 0.031   -0.007 -0.027 0.115    -0.011 16.025 0.042    -0.020  5.536  4.619   0.91 Not_Targeted
     360156 10:03:13.740 +01:53:43.05  0.0458 10:03:13.506 +01:53:43.27 0.988    0.1      1.16          1.15          1.31      1.171           1.17          1.171     8.885         8.867         8.901     10.152         10.152         10.152   -12.198       -12.198       -12.198     -10.33         -10.33         -10.33 31.8        0.090           0.073       -0.004 -0.012 0.036    0.003 -0.833 0.163    -0.009 17.364 0.042     0.007 18.531 15.876  42.82 Not_Targeted
  SN2016ixf 10:39:44.563 +15:02:04.90 0.06706 10:39:44.551 +15:02:04.80 1.448   0.12     1.232         0.764         1.353      0.802          0.592          1.347     7.797         7.717         7.867      7.874          7.801          7.986     -9.21        -9.234        -9.193     -8.199         -8.287         -8.181 51.4        0.169           0.097        0.007 -0.107 0.040   -0.017  0.777 0.365     0.012 17.790 0.049    -0.049   1.78  1.145  22.39 Not_Targeted
      10028 01:10:58.049 +00:16:34.50 0.06484 01:10:58.036 +00:16:34.38  0.36   0.18     1.393         1.392         1.393      1.498          1.482          1.556    10.011         10.01        10.011     10.483         10.464         10.536   -31.613       -31.613       -31.613    -25.108        -25.108        -14.005 46.2       -0.106           0.067       -0.006  0.015 0.025    0.003 -1.215 0.178    -0.010 18.090 0.031     0.005   8.03  5.673 -68.11 Not_Targeted
     2003ch 07:17:57.919 +09:41:34.90 0.02951 07:17:57.542 +09:41:21.56  2.33   0.16     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.756         8.689         8.771     10.926         10.926         10.926     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 53.0        0.127           0.093       -0.021 -0.015 0.030    0.002 -1.305 0.159    -0.009 16.479 0.049    -0.014  28.26 17.606 -88.71     Targeted
ASASSN-15tg 00:20:41.037 +25:13:44.57 0.03543 00:20:41.586 +25:13:40.71 2.912    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.043         9.042         9.044     10.294         10.294         10.295     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 50.7       -0.012           0.063        0.004 -0.053 0.034   -0.002  1.718 0.166     0.080 16.227 0.039    -0.013 16.342  10.65 -88.05 Not_Targeted
  AT2016eoa 00:21:23.059 +22:26:07.58  0.0212 00:21:22.407 +22:26:01.05 1.244    0.2     1.481         1.481         1.482      0.879          0.879          0.908     9.407         9.407         9.408     11.182         11.182         11.209     -99.0         -99.0         -99.0    -11.065        -11.065        -11.065 64.8       -0.108           0.077       -0.020  0.015 0.039    0.004 -1.648 0.173    -0.010 15.658 0.056    -0.005 83.813 38.784  61.74 Not_Targeted
      1994S 12:31:21.850 +29:08:03.99 0.01568 12:31:22.888 +29:08:10.74 2.995    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     7.784         7.779         8.221     10.498         10.498         10.498     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 68.4       -0.064           0.132        0.019 -0.078 0.028   -0.017  0.295 0.181    -0.010 14.511 0.035    -0.033 50.205 20.739   43.4     Targeted
    PS15atx 13:03:18.573 -23:03:56.87 0.07305 13:03:18.687 -23:03:56.61 0.604   0.18     1.417         1.406         1.418      1.108          0.959          1.119     9.599         9.594         9.615     10.705          10.69         10.884   -16.889       -31.613       -16.167       -9.6         -9.672           -9.6 55.0        0.170           0.172        0.053 -0.164 0.054   -0.051 -1.403 0.882    -0.105 18.174 0.081    -0.092 12.161  7.259  -8.62 Not_Targeted
ASASSN-17bs 17:52:06.129 +21:33:57.67 0.02038 17:52:05.871 +21:34:08.88 1.665   0.12     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.763         8.762         8.764     10.489         10.091         10.489     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 41.3       -0.113           0.062       -0.024  0.066 0.036    0.007 -1.021 0.196     0.001 15.633 0.061    -0.002 34.472  26.31 -78.22 Not_Targeted
ASASSN-15pn 04:03:26.342 -05:29:31.22 0.03961 04:03:26.218 -05:29:30.48 1.917    0.0     1.215         1.209         1.215      1.215          1.209          1.215     8.955         8.954         8.956      9.477          9.476          9.494    -8.366        -8.368        -8.366     -8.987         -8.987         -8.987 53.2        0.056           0.067       -0.033  0.027 0.037    0.007  0.386 0.193    -0.012 16.945 0.063    -0.009  7.464  4.624  -21.3 Not_Targeted
     2006ob 01:51:48.109 +00:15:48.30 0.05899 01:51:48.498 +00:15:49.96 0.853    0.0     1.799         1.785         1.817      1.718          1.717          1.718     9.546         9.471          9.57     11.544         11.544         11.544     -99.0         -99.0       -25.556    -11.402        -11.402        -11.402 47.2       -0.005           0.070       -0.106 -0.005 0.031    0.012 -2.390 0.158    -0.237 17.982 0.035    -0.036 34.859 24.225  13.52     Targeted
ASASSN-15lu 13:21:12.888 +40:15:56.66 0.03645 13:21:12.876 +40:15:56.88  0.31   0.04     1.417         1.417         1.418       1.26          1.214          1.269     9.791         9.791         9.791     10.073          10.02         10.088     -8.93         -8.93         -8.93    -10.429        -10.429        -10.429 27.5        0.093           0.062       -0.019 -0.034 0.034    0.001 -0.600 0.248    -0.002 16.759 0.039    -0.014  8.722  7.777   1.88 Not_Targeted
    PS15ahs 17:59:29.769 +43:23:24.34 0.02526 17:59:29.798 +43:23:31.28 2.333   0.04     1.215         0.802         1.221      1.209          1.209          1.209     8.257         8.206         8.449      9.819          9.819          9.835    -9.018        -9.018        -8.546     -9.018         -9.018         -9.018 67.9        0.083           0.047       -0.002 -0.070 0.031   -0.005  0.184 0.106    -0.008 15.729 0.040    -0.015 26.059 10.914 -31.74 Not_Targeted
     2002de 16:16:30.379 +35:42:30.20 0.02573 16:16:30.638 +35:42:29.22 0.482   0.16     1.464         1.464         1.464      1.254          1.253          1.254     9.562         9.562         9.563     10.734         10.734         10.734   -38.121       -38.121       -38.121     -9.435         -9.435         -9.435 48.4        0.228           0.099       -0.030  0.115 0.027    0.008  0.458 0.345     0.001 16.429 0.032    -0.005  29.02 19.737  -9.21     Targeted
ASASSN-15lg 13:15:32.812 +03:30:02.34 0.02036 13:15:32.716 +03:30:02.91 0.567    0.1     1.218         1.217          1.26      0.529          0.528          0.529     9.301           9.3         9.365      9.412          9.411          9.412     -9.06         -9.06         -9.06    -11.707        -11.707        -11.707 69.7        0.051           0.069        0.007 -0.080 0.040   -0.008 -1.241 0.154     0.001 15.397 0.052    -0.019 26.576 10.478  17.35 Not_Targeted
      19968 01:37:23.700 -00:18:43.20 0.05578 01:37:23.765 -00:18:41.96 1.018   0.14     1.418         1.322          1.43      1.565          1.556          1.601     9.557         9.556         9.608     10.426         10.414         10.519    -10.42        -10.42        -10.42     -11.12         -11.12        -10.972 22.3       -0.068           0.060        0.005 -0.029 0.023   -0.002 -1.881 0.171    -0.016 17.755 0.029     0.002   9.05  8.401 -42.86 Not_Targeted
      2008L 03:17:16.649 +41:22:57.60 0.01697 03:17:17.259 +41:23:07.68 2.499   0.02     1.737         1.696         1.777      0.529          0.528          0.529      9.12         9.087         9.171      9.859          9.858          9.859   -10.528       -10.911       -10.528    -20.774        -20.774        -20.774 21.6       -0.049           0.133        0.033 -0.097 0.039   -0.026 -1.682 0.102    -0.025 14.933 0.093    -0.047 21.855 20.383  -3.82     Targeted
 ATLAS17ajs 11:27:54.532 +27:20:45.02 0.03393 11:27:55.226 +27:20:49.38 3.052    0.0     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.046         7.686         8.054      9.573          9.571          9.574     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 46.8        0.235           0.076       -0.031  0.183 0.036    0.017  1.790 0.364     0.115 17.075 0.042     0.006 21.915 15.342  -61.0 Not_Targeted
     2007kk 03:42:23.260 +39:14:30.40 0.04275 03:42:24.016 +39:14:40.46 3.374   0.14     1.161         1.081         1.346      1.209          1.176          1.218     8.737         8.723         8.764     11.159         11.154         11.242    -8.815       -10.851        -8.815    -10.429        -10.429        -10.429 54.0       -0.123           0.078       -0.017 -0.018 0.040    0.002  0.964 0.132     0.054 16.713 0.120    -0.018 27.848 16.961  66.21     Targeted
  AT2016cvv 19:20:28.839 +54:12:31.26 0.04429 19:20:30.344 +54:12:41.27 4.673   0.06     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.755         8.728         8.771     11.179         11.179         11.249     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 60.4        0.092           0.101       -0.020  0.069 0.045    0.011  1.551 0.344     0.132 17.196 0.076    -0.005 29.129 15.267  -31.0 Not_Targeted
ASASSN-15np 15:06:02.589 +07:33:41.27 0.03916 15:06:02.644 +07:33:41.93 0.826    0.0     2.042         2.042         2.043      1.695          1.659          1.696    10.206        10.206        10.206     10.458         10.403         10.458   -10.745       -10.745        -10.62    -10.766        -10.766        -10.766 67.9       -0.103           0.070       -0.038  0.056 0.035    0.009 -1.072 0.250    -0.002 17.053 0.043    -0.009  12.62  5.288   16.4 Not_Targeted
ASASSN-16fo 13:32:35.799 -05:16:21.04 0.03078 13:32:35.759 -05:16:21.28 0.333    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.288         9.288         9.288     10.234         10.234         10.234     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 39.9       -0.073           0.053        0.020 -0.113 0.031   -0.017  0.646 0.209    -0.001 15.830 0.038    -0.035 10.971  8.528 -27.01 Not_Targeted
     2006td 01:58:15.760 +36:20:57.69  0.0145 01:58:15.779 +36:20:52.96 0.846    0.1     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.952         8.951         8.982      9.116          9.115          9.117     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 23.2        0.304           0.140       -0.028  0.118 0.030    0.008 -1.407 0.112    -0.008 15.516 0.057    -0.002 21.453 19.796 -75.59     Targeted
ASASSN-16lg 17:48:12.267 +17:37:32.00 0.02172 17:48:12.288 +17:37:30.98 0.154   0.08     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0    10.312        10.312        10.312     10.569         10.569         10.569     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 26.7       -0.423           0.065       -0.010 -0.030 0.037    0.001 -1.307 0.182    -0.001 15.216 0.058    -0.006 22.844 20.503  35.59 Not_Targeted
     2004ef 22:42:10.019 +19:59:40.40 0.03002 22:42:10.514 +19:59:49.08 1.951    0.2     1.456         1.442         1.456      1.406          1.406          1.406     8.827         8.826         8.876     10.796         10.795         10.796    -9.757        -9.757        -9.723    -10.905        -10.905        -10.905 42.7       -0.083           0.076       -0.037  0.084 0.022    0.009 -1.402 0.026    -0.014 16.607 0.036    -0.006 29.383 21.946   2.66     Targeted
ASASSN-15hg 09:53:48.575 +09:11:38.03 0.03135 09:53:49.216 +09:11:37.74 2.173    0.2     1.456         1.456         1.456      1.456          1.456          1.456      8.66         8.633         8.662      10.48          10.48          10.48   -16.889       -31.613       -16.889    -22.941        -22.941        -22.941 28.6        0.014           0.056       -0.026  0.019 0.035    0.006 -1.261 0.108    -0.002 16.597 0.046    -0.008 17.086 15.092  -7.77 Not_Targeted
     370566 10:39:56.422 +58:24:53.70 0.07142 10:39:56.362 +58:24:54.12 0.867   0.16     1.288         1.262         1.299      1.046          1.046          1.139     8.999         8.989         9.001       9.65          9.639          9.653   -10.326       -10.326       -10.326     -9.861         -9.861         -9.861 43.2       -0.034           0.080       -0.005  0.007 0.033    0.003 -0.134 0.098    -0.009 18.221 0.035     0.005  7.247  5.379  63.49 Not_Targeted
ASASSN-15uu 01:43:56.605 +17:03:45.34 0.02632 01:43:56.535 +17:03:42.99 0.775   0.18     0.529         0.529         0.529      0.529          0.528          0.529     9.173         9.172         9.173       9.74          9.739          9.741    -8.296        -8.296        -8.296     -9.487         -9.487         -9.487 34.9       -0.015           0.061       -0.032  0.145 0.035    0.012  0.967 0.215     0.016 16.257 0.052     0.002 17.661  14.63  18.54 Not_Targeted
     2005hc 01:56:47.939 -00:12:49.20 0.04601 01:56:48.497 -00:12:44.62 3.052   0.04     1.276         1.192         1.452      1.476          1.475          1.488     8.708         8.537         8.736     10.523         10.497         10.523    -10.42       -10.483        -10.42    -20.774        -20.774        -20.774 61.7        0.064           0.051       -0.025 -0.006 0.028    0.002  0.425 0.120     0.012 17.138 0.034    -0.021 26.839 13.567 -58.61     Targeted
    PS17bii 11:25:38.254 +07:20:00.96 0.07424 11:25:38.378 +07:20:04.03   1.3   0.16     1.221         1.209         1.456      1.214          1.214          1.214     8.974         8.954           9.0     10.685          10.66         10.685   -10.756       -10.756       -10.756    -10.776        -10.776        -10.776 32.0       -0.053           0.106       -0.015 -0.093 0.044   -0.015 -0.941 0.384    -0.065 18.077 0.059    -0.053 13.474 11.517  79.37 Not_Targeted
    PS16axi 10:48:07.123 +00:09:48.63 0.04056 10:48:07.471 +00:10:01.77  3.94    0.2     1.234         1.098         1.456      1.391          1.318          1.408     8.178         8.113         8.247      10.89         10.741         10.901    -9.228        -9.228         -9.21     -9.474         -9.474         -9.474 44.4       -0.066           0.068       -0.029 -0.018 0.035    0.004 -0.847 0.196    -0.000 16.895 0.046    -0.015 20.127 14.653 -66.01 Not_Targeted
     2006bb 08:33:31.090 +41:31:04.10 0.02558 08:33:30.764 +41:31:31.69 2.861   0.14     1.456         1.455         1.456      1.464          1.464          1.464      8.44         8.437         8.443     10.878         10.878         10.879   -18.322       -35.941       -18.322    -21.221        -21.221        -21.221 58.9       -0.020           0.123       -0.011 -0.040 0.057   -0.006 -2.238 0.208    -0.059 16.081 0.095    -0.021 47.727 25.984  76.74     Targeted
    PS16cvc 21:12:23.344 +14:46:45.58  0.0292 21:12:22.978 +14:46:43.61 2.883   0.18     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     7.677         7.656         7.966      9.757          9.259          9.758     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 44.6        0.250           0.054        0.005 -0.074 0.035   -0.006  1.238 0.153     0.028 16.063 0.065    -0.018 12.303  8.932 -52.32 Not_Targeted
      16333 21:55:58.489 -01:04:12.69 0.07073 21:55:58.482 -01:04:12.79 0.288   0.16     1.456         1.455         1.456      1.498          1.464          1.528     9.741          9.74         9.741     10.312         10.293         10.347     -99.0         -99.0       -22.665    -20.774        -20.774        -13.286 41.4       -0.188           0.079       -0.019  0.088 0.030    0.010  0.340 0.144    -0.005 18.219 0.077     0.013  6.729  5.124 -10.56 Not_Targeted
     2001fe 09:37:57.100 +25:29:41.30 0.01473 09:37:58.000 +25:29:41.50 1.369   0.06     1.488         1.216         1.488      1.206          1.206          1.207     8.914         8.914         9.018     10.269         10.269          10.27    -10.69        -10.69        -10.69    -10.756        -10.756        -10.756 55.8       -0.097           0.126       -0.011 -0.020 0.009    0.000  0.616 0.093     0.004 14.447 0.020    -0.010 38.165 22.346  14.73     Targeted
     550005 03:27:44.641 -28:29:13.39  0.0737 03:27:44.741 -28:29:17.81 2.063   0.12     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.615         8.515         8.682     10.189         10.186           10.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 55.8       -0.087           0.115       -0.015  0.211 0.045    0.015  0.862 0.399     0.050 18.733 0.072     0.026 14.479  8.484   39.0 Not_Targeted
  SN2016hpx 06:03:16.651 -26:53:54.89 0.03242 06:03:16.432 -26:53:54.65 1.104    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.269         8.267           8.8      9.376          9.375          9.377     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 38.3       -0.048           0.063       -0.018 -0.014 0.036    0.003  0.827 0.183     0.007 16.218 0.046    -0.009 15.373 12.211  57.48 Not_Targeted
   AT2017lm 03:01:32.375 -15:00:57.46 0.03017 03:01:32.378 -15:01:02.44 1.578   0.04     1.215         1.119          1.22      0.946          0.946          0.947     8.794         8.749         8.848     10.212         10.211         10.212   -10.851       -10.851       -10.851     -10.15         -10.15         -10.15 28.3        0.052           0.064       -0.015 -0.008 0.035    0.003  1.129 0.369     0.022 16.139 0.052    -0.008 13.738 12.162  18.35 Not_Targeted
     300105 23:26:50.471 -00:43:48.20 0.09203 23:26:50.514 -00:43:48.77 0.371   0.16     0.529         0.528         0.529      0.529          0.528          0.529     8.065         8.022           8.1      9.956          9.956          9.959   -10.021       -10.024       -10.021     -9.726         -9.726         -9.726 29.5        0.197           0.069       -0.019  0.077 0.027    0.008  0.331 0.088     0.008 19.172 0.039     0.005  7.225   6.33  73.61 Not_Targeted
     2008hv 09:07:34.060 +03:23:32.10 0.01382 09:07:36.639 +03:23:34.70 2.668    0.0     1.601         1.601         1.602      1.456          1.455          1.456     8.744         8.743         8.746     10.854         10.853         10.854   -25.108       -29.445       -14.726    -33.782        -33.782        -33.782 65.8       -0.052           0.136        0.009 -0.094 0.027   -0.012 -1.440 0.062    -0.007 14.487 0.035    -0.028 69.108  30.96  13.33     Targeted
   AT2016aj 04:42:24.609 -21:43:27.74 0.06845 04:42:24.526 -21:43:31.40 1.481   0.16     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.061         9.059         9.136     10.781         10.781         10.781     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 36.3       -0.125           0.104       -0.071  0.022 0.046    0.016 -1.050 0.364    -0.040 18.131 0.055    -0.016 14.102 11.484 -57.69 Not_Targeted
     2006et 00:42:45.820 -23:33:30.39 0.02224 00:42:45.818 -23:33:40.89 1.418   0.16     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0      9.13         8.999         9.395      11.12         10.984          11.12     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 37.7       -0.219           0.092       -0.028  0.142 0.022    0.009  0.757 0.040     0.023 15.713 0.024    -0.002 33.094 26.495 -52.54     Targeted
ASASSN-16la 02:29:17.428 +18:05:16.58 0.01409 02:29:17.178 +18:05:16.50  1.19   0.06     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.671         8.337         8.714      9.141          8.734          9.151     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 19.7        0.006           0.098        0.010 -0.080 0.054   -0.008  0.907 0.165     0.006 14.243 0.142    -0.018 13.381 12.627  21.58 Not_Targeted
ASASSN-16aj 04:21:48.214 -15:45:19.29 0.03011 04:21:47.623 -15:45:19.60 1.634    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0      8.97         8.969         9.109     10.825         10.825         10.826     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 27.6       -0.050           0.051       -0.026 -0.012 0.034    0.004 -1.741 0.167    -0.026 16.414 0.045    -0.010 21.845 19.459  16.89 Not_Targeted
     2002bf 10:15:42.310 +55:40:06.70 0.02477 10:15:42.247 +55:40:03.15 0.529   0.18     1.418         1.417         1.442      1.464          1.464          1.465     9.631         9.622         9.632     10.692         10.692         10.692    -42.46        -42.46        -42.46    -11.395        -11.395        -11.395 43.1       -0.129           0.151        0.029 -0.096 0.092   -0.029 -2.296 0.318    -0.085 15.772 0.155    -0.049 35.023 26.035 -61.17     Targeted
ASASSN-15oh 22:30:41.994 +39:17:35.43 0.01563 22:30:41.086 +39:17:30.90 3.032   0.12     1.452         1.452         1.488      1.481          1.481          1.482     8.734         8.698         8.735     10.328         10.328         10.328   -10.921       -10.921       -10.921    -11.187        -11.187        -11.187 38.3        0.312           0.096       -0.022  0.031 0.046    0.005 -1.610 0.217    -0.010 15.451 0.093    -0.005 21.446 17.038 -32.44 Not_Targeted
      2010A 02:32:39.460 +00:37:10.20 0.01971 02:32:39.268 +00:37:02.38 1.946    0.0      1.22         1.206          1.22      1.209          1.209          1.209     9.006         9.006         9.022     10.153         10.153         10.153    -8.892        -8.892        -8.892     -8.759         -8.759         -8.759 41.1       -0.068           0.125       -0.027  0.139 0.033    0.008  0.503 0.129     0.004 15.616 0.039    -0.003 25.025 19.149 -22.39     Targeted
     2005be 14:59:32.719 +16:40:11.60 0.03411 14:59:33.074 +16:40:07.02 2.291    0.2     0.958         0.957         0.969      1.452          1.452          1.453     9.062         9.056         9.083     10.581         10.581         10.581    -9.359        -9.359        -9.359    -11.617        -11.617        -11.617 68.3        0.014           0.080        0.039 -0.109 0.027   -0.035 -1.866 0.066    -0.063 16.533 0.042    -0.061 22.278  9.225   5.74     Targeted
      12898 01:47:10.339 -00:08:49.09 0.08289 01:47:10.314 -00:08:48.47 1.388    0.2      0.86         0.859         1.456      0.902          0.888          0.931     9.478         9.147          9.48     10.139         10.111         10.145    -9.359        -10.42        -9.359     -9.448         -9.463         -9.419 32.9       -0.005           0.062       -0.015  0.071 0.021    0.008 -0.052 0.086    -0.004 18.770 0.031     0.011  4.646  3.932 -56.65 Not_Targeted
PSNJ1204051 12:04:05.111 +14:04:05.20  0.0456 12:04:05.406 +14:03:55.96 2.283    0.1     1.078         0.529         1.275      1.068          0.816          1.113     8.336         7.876         8.462     10.486         10.466         10.626    -8.889         -8.93        -8.881      -8.99          -8.99          -8.99 43.4       -0.024           0.082       -0.024  0.036 0.041    0.009  1.335 0.261     0.093 17.067 0.054    -0.009  25.92 19.157  17.42 Not_Targeted
    PS15bif 20:20:17.757 -23:44:36.70 0.07827 20:20:17.720 -23:44:38.19 1.468    0.1     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.988         8.975         9.009       9.89          9.849          9.983     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 46.2       -0.069           0.049       -0.055 -0.015 0.034    0.008  0.363 0.304    -0.041 18.205 0.056    -0.025  5.592  3.957 -75.06 Not_Targeted
        722 00:02:49.369 +00:45:04.39 0.08537 00:02:49.416 +00:45:06.94 1.635    0.2     1.207         1.192         1.221       1.07           1.07           1.07     9.433         9.416         9.446     11.287         11.287         11.287   -10.308       -10.308       -10.308     -13.92         -13.92         -13.92 34.5        0.010           0.072        0.015 -0.083 0.035   -0.009 -0.478 0.187    -0.014 18.458 0.072    -0.011  8.882  7.389  22.33 Not_Targeted
 ATLAS16cxr 18:08:06.449 +25:24:31.61 0.01537 18:08:06.455 +25:24:31.97 0.656   0.08     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.336         8.326         8.342      8.306          7.918          8.316     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 23.6        0.383           0.136       -0.021  0.059 0.035    0.007  0.007 0.102    -0.006 15.344 0.077     0.001  4.258  3.917  -3.05 Not_Targeted
      1994M 12:31:08.609 +00:36:19.59 0.02484 12:31:08.347 +00:36:49.51 3.687   0.18     1.108         1.046         1.203      1.464          1.464          1.464     8.153         8.084         8.229     10.876         10.876         10.876    -9.419        -9.419        -9.419    -12.194        -12.194        -12.194 40.2       -0.188           0.098       -0.031  0.065 0.028    0.007 -1.433 0.091    -0.012 16.046 0.036    -0.008 41.026 31.792  56.64     Targeted
     2006or 11:48:03.469 +30:21:24.00 0.02038 11:48:03.338 +30:21:33.84 1.398   0.12     1.209         1.209         1.254      1.254          1.253          1.254     9.074         9.074         9.128     10.857         10.857         10.857   -10.539       -10.539       -10.483     -9.116         -9.116         -9.116 47.5        0.320           0.123       -0.037  0.210 0.031    0.012 -1.216 0.364     0.003 16.534 0.070     0.000 43.925 30.384 -11.26     Targeted
        774 01:41:51.229 -00:52:35.00 0.09283 01:41:51.272 -00:52:36.13 0.747    0.2     1.418         1.417          1.43      1.344          1.332          1.452     9.525         9.524         9.528      10.59         10.518           10.6   -40.291       -40.291       -19.054    -22.659          -99.0        -22.659 34.2        0.015           0.090       -0.003 -0.018 0.032    0.001  0.644 0.281    -0.000 18.685 0.062    -0.001  6.721  5.609 -69.07 Not_Targeted
