#Table J_ApJ_700_1097_table3:
#Name: J/ApJ/700/1097/table3
#Title: MLCS31 light curve fit parameters
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (1) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#    Delta              (F6.3)  Light curve shape parameter {Delta} [ucd=stat.fit.param]
#    e_Delta            (F6.3)  Uncertainty in Delta [ucd=stat.error;pos.eq.dec]
#    AV (mag)           (F6.3)  Host-galaxy extinction parameter in V band [ucd=phys.absorption;em.opt.V]
#    e_AV (mag)         (F6.3)  Uncertainty in AV [ucd=stat.error]
#----------- ----------- --------- - ------ ------ ------ ------ ------------------ --------- --------- ------ ------ ------ ------
#                                  n                                                                                               
#                                  _                                                                                               
#_RAJ200     _DEJ200               I               mu     e_mu                                                 e      AV     e_AV  
RA          DEC         ID        I zCMB   e_zCMB mu     e_mu   SimbadName         RA_deg    DEC_deg   Delta  e_Delt AV     e_AV 
22:13:40.42 -17:40:53.9 03D4cy    4  0.927  0.001 44.150  0.159 SNLS03D4cy         333.41840 -17.68164 -0.253  0.148  0.061  0.051
22:16:41.86 -17:55:34.6 03D4cz    4  0.695  0.001 43.098  0.338 SNLS03D4cz         334.17442 -17.92627  0.392  0.200  0.177  0.144
22:17:31.03 -17:37:46.8 03D4dh    4  0.627  0.001 42.944  0.233 SNLS03D4dh         334.37928 -17.62965 -0.244  0.086  0.146  0.152
22:14:10.24 -17:30:23.8 03D4di    4  0.905  0.001 43.835  0.148 SNLS03D4di         333.54266 -17.50662 -0.281  0.098  0.074  0.057
22:14:50.53 -17:57:23.3 03D4dy    4  0.604  0.001 42.740  0.327 SNLS03D4dy         333.71052 -17.95648 -0.300  0.074  0.263  0.239
22:16:14.45 -17:23:44.1 03D4fd    4  0.791  0.001 43.752  0.204 SNLS03D4fd         334.06021 -17.39557 -0.229  0.152  0.121  0.105
22:14:22.93 -17:44:02.5 03D4gf    4  0.581  0.001 42.850  0.177 SNLS03D4gf         333.59555 -17.73403 -0.041  0.141  0.073  0.053
22:16:40.19 -18:09:52.1 03D4gg    4  0.592  0.001 42.908  0.256 SNLS03D4gg         334.16746 -18.16446 -0.139  0.183  0.126  0.127
22:14:44.17 -17:31:44.1 03D4gl    4  0.571  0.001 42.463  0.365 SNLS03D4gl         333.68406 -17.52891  0.149  0.331  0.143  0.144
02:24:41.10 -04:17:19.5 04D1ag    4  0.557  0.001 42.623  0.205 SNLS04D1ag         036.17124 -04.28875 -0.112  0.205  0.083  0.090
02:25:53.96 -04:59:40.6 04D1aj    4  0.721  0.001 43.448  0.219 SNLS04D1aj         036.47483 -04.99461 -0.281  0.113  0.136  0.131
02:27:33.35 -04:19:38.8 04D1ak    4  0.526  0.001 42.470  0.288 SNLS04D1ak         036.88898 -04.32744  0.490  0.184  0.228  0.215
10:01:56.09 +01:52:46.1 04D2cf    4  0.369  0.001 41.805  0.162 SNLS04D2cf         150.48371 +01.87948  0.067  0.114  0.118  0.101
09:59:28.12 +02:19:15.6 04D2fp    4  0.415  0.001 42.053  0.159 SNLS04D2fp         149.86717 +02.32101 -0.113  0.088  0.124  0.101
10:00:22.09 +01:45:55.4 04D2fs    4  0.357  0.001 41.622  0.215 SNLS04D2fs         150.09202 +01.76540 -0.089  0.096  0.327  0.177
10:02:22.67 +01:53:39.0 04D2gb    4  0.430  0.001 41.791  0.168 SNLS04D2gb         150.59445 +01.89416  0.564  0.107  0.110  0.107
09:59:20.37 +02:30:32.0 04D2gp    4  0.707  0.001 43.430  0.322 SNLS04D2gp         149.83489 +02.50888  0.181  0.234  0.137  0.143
10:01:13.18 +02:24:54.2 04D2iu    4  0.691  0.001 43.401  0.385 SNLS04D2iu         150.30491 +02.41505  0.302  0.243  0.180  0.171
09:58:48.50 +01:46:18.2 04D2ja    4  0.741  0.001 43.579  0.233 SNLS04D2ja         149.70209 +01.77174 -0.097  0.165  0.112  0.109
14:17:49.98 +52:57:49.0 04D3co    4  0.620  0.001 43.208  0.252 SNLS04D3co         214.45825 +52.96361  0.016  0.150  0.153  0.128
14:20:23.92 +52:49:15.4 04D3cp    4  0.830  0.001 43.606  0.153 SNLS04D3cp         215.09966 +52.82093 -0.285  0.074  0.080  0.070
14:18:12.43 +52:39:30.0 04D3cy    4  0.643  0.001 43.331  0.211 SNLS04D3cy         214.55181 +52.65833 -0.207  0.108  0.147  0.119
14:17:48.40 +52:28:14.4 04D3dd    4  1.010  0.001 44.695  0.159 SNLS04D3dd         214.45169 +52.47068 -0.313  0.118  0.042  0.032
14:18:10.00 +52:16:39.7 04D3df    4  0.470  0.001 42.003  0.200 SNLS04D3df         214.54167 +52.27769  0.737  0.129  0.254  0.204
14:17:46.08 +52:16:03.2 04D3do    4  0.610  0.001 42.816  0.284 SNLS04D3do         214.44201 +52.26755  0.228  0.153  0.144  0.155
14:19:07.83 +53:04:19.0 04D3ez    4  0.263  0.001 40.739  0.196 SNLS04D3ez         214.78264 +53.07195  0.026  0.072  0.399  0.158
14:18:26.18 +52:31:42.5 04D3fk    4  0.358  0.001 41.393  0.200 SNLS04D3fk         214.60910 +52.52847 -0.066  0.077  0.614  0.163
14:16:57.88 +52:22:46.1 04D3fq    4  0.730  0.001 43.571  0.256 SNLS04D3fq         214.24119 +52.37947 -0.038  0.185  0.127  0.125
14:22:32.59 +52:38:48.9 04D3gt    4  0.451  0.001 41.336  0.225 SNLS04D3gt         215.63580 +52.64692  0.012  0.086  1.147  0.184
14:20:13.67 +52:16:58.0 04D3gx    4  0.910  0.001 44.205  0.165 SNLS04D3gx         215.05695 +52.28278 -0.162  0.136  0.064  0.054
14:22:06.89 +52:13:42.9 04D3hn    4  0.552  0.001 42.200  0.384 SNLS04D3hn         215.52873 +52.22859  0.089  0.127  0.635  0.304
14:16:51.97 +52:48:45.7 04D3is    4  0.710  0.001 43.721  0.341 SNLS04D3is         214.21653 +52.81269 -0.323  0.115  0.264  0.231
14:19:34.60 +52:17:32.6 04D3ki    4  0.930  0.001 44.436  0.177 SNLS04D3ki         214.89416 +52.29239 -0.154  0.160  0.071  0.053
14:16:35.93 +52:28:44.0 04D3kr    4  0.337  0.001 41.443  0.160 SNLS04D3kr         214.14972 +52.47887 -0.238  0.066  0.157  0.121
14:22:33.55 +52:11:06.7 04D3ks    4  0.752  0.001 43.362  0.222 SNLS04D3ks         215.63978 +52.18518 -0.223  0.116  0.151  0.127
14:21:07.97 +52:58:29.3 04D3lu    4  0.822  0.001 43.766  0.207 SNLS04D3lu         215.28321 +52.97479 -0.026  0.135  0.111  0.089
14:16:39.07 +53:05:35.7 04D3ml    4  0.950  0.001 44.154  0.146 SNLS04D3ml         214.16278 +53.09325 -0.328  0.114  0.054  0.046
14:16:18.22 +52:16:25.7 04D3nc    4  0.817  0.001 43.726  0.194 SNLS04D3nc         214.07591 +52.27380 -0.201  0.140  0.116  0.093
14:22:26.71 +52:20:00.4 04D3nh    4  0.340  0.001 41.612  0.160 SNLS04D3nh         215.61128 +52.33345 -0.202  0.090  0.158  0.113
14:22:38.51 +52:38:55.3 04D3nr    4  0.960  0.001 44.344  0.179 SNLS04D3nr         215.66045 +52.64869 -0.241  0.144  0.049  0.044
14:18:56.32 +52:11:14.9 04D3ny    4  0.810  0.001 43.647  0.261 SNLS04D3ny         214.73467 +52.18746  0.042  0.196  0.120  0.117
14:19:39.38 +52:33:13.8 04D3oe    4  0.756  0.001 43.543  0.233 SNLS04D3oe         214.91410 +52.55385 -0.046  0.209  0.094  0.097
22:15:57.10 -17:41:43.8 04D4an    4  0.613  0.001 43.063  0.392 SNLS04D4an         333.98792 -17.69550  0.290  0.247  0.237  0.219
22:15:07.70 -18:03:37.0 04D4bk    4  0.840  0.001 43.879  0.159 SNLS04D4bk         333.78210 -18.06027 -0.281  0.115  0.083  0.070
22:14:49.42 -17:49:39.3 04D4bq    4  0.550  0.001 42.728  0.292 SNLS04D4bq         333.70593 -17.82759 -0.212  0.155  0.237  0.212
