#Table J_ApJ_659_122_table1:
#Name: J/ApJ/659/122/table1
#Title: Supernova and host galaxy data
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    SN                 (a6)    Supernova designation \linkRole{Data from the Asiago SN catalog (B/sn)} [ucd=meta.id;meta.main]
#    GLON (deg)         (F6.2)  Galactic longitude of host galaxy [ucd=pos.galactic.lon]
#    GLAT (deg)         (F6.2)  Galactic latitude of host galaxy [ucd=pos.galactic.lat]
#    cz (km/s)          (I5)    Heliocentric cz radial velocity of host galaxy [ucd=spect.dopplerVeloc;pos.heliocentric]
#    czLG (km/s)        (I5)    LG cz radial velocity of host galaxy [ucd=spect.dopplerVeloc]
#    czCMB (km/s)       (I5)    CMB cz radial velocity of host galaxy [ucd=spect.dopplerVeloc;pos.cmb]
#    MType              (a6)    Morphological type of host galaxy [ucd=src.morph.type]
#    Xpos (arcsec)      (F6.1)  Supernova offset relative to host galaxy nucleus, in North direction [ucd=pos.angDistance;arith.diff]
#    Ypos (arcsec)      (F6.1)  Supernova offset relative to host galaxy nucleus, in East direction [ucd=pos.angDistance;arith.diff]
#    t1 (d)             (F5.1)  Epoch of the first photometric observation, relative to B maximum light, in the SN rest frame [ucd=time.epoch;obs]
#    Filter             (a5)    Filters used [ucd=instr.bandpass]
#    E(B-V) (mag)       (F6.3)  Milky Way dust reddening, from Schlegel et al. (1998ApJ...500..525S) [ucd=phot.color.excess]
#    Ref                (a11)   References, in refs.dat file [ucd=meta.ref;meta.file]
#    Simbad             (a6)    ask the {\bf\fg{FireBrick}Simbad} data-base about this object [ucd=]
#    _RA (deg)          (F9.5)  Right Ascension (J2000) from SIMBAD (not part of the original data) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Declination (J2000) from SIMBAD (not part of the original data) [ucd=pos.eq.dec;meta.main]
#----------- ----------- ------ ------ ------ ----- ----- ----- ------ ------ ------ ----- ----- ------ ----------- ------ --------- ---------
#                                                   c     cz           X      Y                                                               
#_RAJ200     _DEJ200            GLON   GLAT   cz (  zLG ( CMB (        pos (a pos (a t     F     E(B-V)                                       
RA          DEC         SN     GLON   GLAT   cz    czLG  czCMB MType  Xpos   Ypos   t1    Filt  E(B-V) Ref         Simbad RA_deg    DEC_deg
20:00:08.61 -55:22:03.1 1991ag 342.56 -31.60  4264  4182  4161 Sb       22.1   -4.4   5.6 BVRI   0.062 8           Simbad 300.03587 -55.36753
12:25:03.70 +12:52:15.6 1991bg 278.23  74.46  1060   955  1391 E       -57.0    2.0   0.9 BVRI   0.041 11,12,13    Simbad 186.26542 +12.87100
03:36:27.41 -34:57:31.4 1992A  235.90 -54.06  1877  1747  1781 S0       62.0   -3.0  -7.0 UBVRI  0.018 10,14       Simbad 054.11421 -34.95872
10:36:18.57 +37:19:16.2 1992G  184.62  59.84  1565  1541  1827 Sc      -10.0   27.0   3.0 VRI    0.020 9           Simbad 159.07737 +37.32117
10:09:00.30 -26:38:24.4 1992J  263.55  23.50 13371 13077 13708 E/S0     12.0  -11.9  14.6 BVI    0.057 8           Simbad 152.25125 -26.64011
13:10:04.20 -46:26:30.3 1992K  306.28  16.30  3087  2828  3340 Sb      -15.4   -1.9  13.6 BVI    0.101 8           Simbad 197.51750 -46.44175
12:42:48.93 +10:21:36.2 1992P  295.62  73.10  7555  7449  7881 Sa        9.8   -4.3  -0.5 BVI    0.021 8           Simbad 190.70387 +10.36006
21:28:17.94 -61:33:01.4 1992ae 332.70 -41.90 22544 22440 22426 E         4.0    2.1   2.5 BV     0.036 8           Simbad 322.07475 -61.55039
13:24:09.85 -23:52:43.7 1992ag 312.48  38.30  7465  7260  7765 Sa        0.0   -3.0  -0.4 BVI    0.097 8           Simbad 201.04104 -23.87881
20:45:56.49 -51:23:39.9 1992al 347.33 -38.40  4377  4324  4228 Sb      -12.0   19.0  -4.9 BVRI   0.034 8           Simbad 311.48537 -51.39442
23:04:34.76 -37:20:42.1 1992aq   1.78 -65.30 30519 30536 30254 Sa       -7.1    2.4   2.2 BVI    0.012 8           Simbad 346.14483 -37.34503
00:10:40.48 -49:56:45.3 1992au 319.11 -65.80 18407 18338 18213 E         8.9   21.2  12.6 BVI    0.017 8           Simbad 002.66867 -49.94592
03:05:16.05 -39:33:34.6 1992bc 245.70 -59.60  6056  5933  5936 Sab      -2.0   16.1 -10.1 BVRI   0.022 8           Simbad 046.31687 -39.55961
07:41:56.55 -62:31:10.0 1992bg 274.61 -18.30 10553 10261 10697 Sa        5.8   -3.4   4.3 BVI    0.185 8           Simbad 115.48562 -62.51944
04:59:27.55 -58:49:44.2 1992bh 267.85 -37.30 13490 13254 13518 Sbc      -3.6    1.9  -0.6 BVI    0.022 8           Simbad 074.86479 -58.82894
