# SNID hostmass hostsfr hostssfr u-g
SN2016esh 9.802 -2.418 -12.184 1.454
6406 9.967 0.900 -9.060 1.399
2000bk 10.820 -99.000 -110.081 1.642
2000bh 9.633 0.919 -8.762 0.973
PS15cze 10.402 0.819 -9.600 1.090
2001ba 10.691 1.080 -9.611 1.549
PS15bbn 7.878 -2.923 -10.840 1.245
PS16el 9.783 0.761 -9.177 1.267
AT2016fbk 10.634 1.338 -9.375 1.232
2002he 11.185 -1.576 -12.625 1.829
14871 8.848 -2.297 -11.129 1.011
2006S 10.341 -0.047 -10.475 1.341
PS15cms 10.400 -0.753 -11.129 1.266
2006te 10.259 -0.363 -10.690 1.479
2002ck 11.070 0.054 -11.065 1.502
2005eu 9.104 -1.415 -10.679 1.260
2006oa 7.647 -0.693 -8.414 1.337
1992P 10.552 -0.464 -10.972 1.524
2007ar 11.395 -2.060 -13.488 2.018
ATLAS16agv 7.205 -2.683 -9.878 1.196
AT2016hns 10.561 0.554 -9.984 1.273
2007ae 11.302 0.100 -11.177 1.625
8921 9.580 -1.297 -10.840 1.262
18835 10.491 -9.246 -19.770 2.089
16021 9.532 -0.735 -10.463 2.409
2007aj 7.273 -4.050 -11.296 0.477
774 10.512 -1.223 -11.764 1.661
12950 9.559 -0.410 -9.905 0.975
18650 8.474 -2.858 -11.300 1.376
AT2016cvv 11.128 -5.763 -16.889 1.766
AT2016cvw 10.995 -99.000 -110.186 1.990
2007jg 8.218 -0.307 -8.495 0.891
500038 9.839 0.934 -8.872 1.160
15171 7.273 -1.577 -6.992 -0.053
PS16ccn 7.277 -4.851 -12.198 1.433
16619 7.675 -4.255 -11.723 1.406
20064 10.897 -1.326 -12.194 1.542
2006bt 11.069 -7.966 -19.054 1.880
2006bw 11.508 -13.593 -25.101 1.668
19775 10.257 -1.486 -11.757 1.250
2006bb 10.813 -1.596 -12.625 1.969
PS16cvc 8.270 0.270 -8.009 0.786
ASASSN-15tg 10.290 -0.123 -10.316 1.371
SN2016ayg 7.704 -4.894 -12.723 1.128
AT2016aj 10.848 -7.403 -18.332 1.797
2004as 8.498 1.166 -7.147 0.659
19953 9.033 -3.712 -12.723 1.262
1998dx 11.379 -99.000 -110.380 1.953
2006mo 11.095 -0.967 -11.979 1.955
2001ah 10.894 -0.126 -11.177 1.192
PS16aer 10.623 0.925 -9.850 1.271
ASASSN-15hg 10.750 -1.235 -11.757 1.583
2001az 10.789 -0.507 -11.120 1.454
PS16fa 10.112 1.341 -8.930 1.097
12928 10.576 -8.552 -19.034 1.363
8719 8.837 -2.472 -11.292 0.631
530086 10.486 -0.904 -11.392 1.737
010010 9.514 0.660 -8.930 1.495
PS15ahs 9.737 -0.747 -10.330 1.290
2002de 10.685 0.725 -9.849 1.272
PSNJ0153424 10.361 1.248 -9.018 1.179
5751 10.418 -1.087 -11.549 2.875
1999gp 10.712 -8.415 -19.041 1.591
ASASSN-16em 8.744 -1.597 -10.463 1.208
PSNJ2352371 10.760 -8.777 -19.776 1.819
SN2017ckx 10.143 -0.499 -10.961 1.385
PS15asb 7.233 -2.540 -8.598 0.447
5395 8.266 -3.052 -11.292 1.057
2005na 11.001 -6.433 -17.610 1.781
PS16evk 10.338 -1.069 -11.392 1.394
090275 10.244 1.133 -9.116 1.277
10434 11.176 -0.448 -11.617 2.519
17497 9.925 -0.422 -10.326 1.307
2005ir 9.825 0.433 -9.492 1.058
2005iq 10.685 -0.348 -10.905 1.494
CSS160428 7.718 -2.037 -9.647 0.819
2007nq 11.325 -2.110 -13.488 1.946
AT2016gsu 9.920 0.414 -9.568 0.982
1990af 11.058 0.191 -10.911 1.857
18612 10.578 -0.539 -11.113 1.341
PS17akj 8.733 -0.209 -8.987 0.953
21510 10.012 1.062 -8.990 1.618
ASASSN-17eb 11.200 -0.443 -11.617 1.829
ASASSN-15tz 10.510 -0.720 -11.402 1.698
13135 10.952 -99.000 -109.939 1.713
13038 7.326 -3.482 -10.972 0.104
2002hd 11.411 -1.684 -13.056 1.870
17208 7.822 -2.599 -10.776 1.368
CSS160129 7.685 -3.157 -10.851 0.074
2003ch 10.907 -1.264 -12.194 1.778
2010dw 10.003 0.258 -9.850 1.380
2010dt 10.428 0.866 -9.576 1.273
2000cf 9.322 1.254 -7.997 0.783
2000ca 10.572 0.859 -10.473 1.715
2561 10.537 -0.968 -11.610 1.493
2000cn 10.853 0.090 -10.911 1.320
ASASSN-15lu 9.681 0.744 -8.881 1.143
140181 9.747 -0.653 -10.321 1.086
1032 10.546 -2.879 -13.488 1.791
12860 10.317 -1.239 -11.543 1.390
2006qo 10.823 0.775 -10.014 1.550
2006en 10.750 -0.319 -10.845 1.317
1999cc 10.848 1.541 -9.116 1.240
PS15bjg 11.279 -99.000 -110.283 1.853
ASASSN-16ay 10.470 -2.218 -12.727 1.323
ASASSN-16av 11.000 -1.030 -11.979 1.659
ASASSN-16aj 11.090 -1.349 -12.194 1.778
2102 8.412 -2.168 -10.589 0.524
6057 9.416 0.636 -8.872 1.185
1991U 10.518 1.372 -9.177 1.270
13796 9.621 -0.703 -10.326 1.083
2635 9.428 -0.892 -10.321 0.656
370333 8.239 -1.696 -10.029 0.496
2007is 10.517 -0.172 -10.972 1.700
ASASSN-15uw 10.843 -2.004 -12.625 2.013
ASASSN-15uu 9.237 1.140 -8.287 0.802
2005ms 7.763 -2.814 -10.766 0.709
2006lu 9.804 0.985 -8.881 1.147
