SN,tmaxS,e_tmaxS,dm15,e_dm15,EBV,e_EBV,muS,e_muS,tmaxM,e_tmaxM,delta,e_delta,AV,e_AV,muM,e_muM
2008eo,54686.91,0.38,0.884,0.018,0.095,0.015,34.513,0.015,54688.23,0.30,-0.197,0.028,0.261,0.039,34.630,0.045
2008eq,54689.59,0.28,0.971,0.032,0.207,0.015,37.155,0.036,54689.46,0.34,-0.227,0.053,0.444,0.048,37.277,0.068
2008fk,54722.03,1.02,1.263,0.074,-0.197,0.067,37.749,0.091,54719.62,0.99,-0.229,0.084,0.028,0.020,37.967,0.087
2008gg,54750.61,0.58,1.087,0.060,0.111,0.036,35.720,0.050,54749.06,0.72,-0.350,0.046,0.267,0.051,36.047,0.071
2008gl,54766.97,0.27,1.178,0.027,0.124,0.012,35.917,0.024,54767.32,0.37,0.189,0.109,0.227,0.058,35.913,0.086
2008go,54765.09,1.09,1.158,0.101,0.081,0.022,37.167,0.073,54764.78,0.65,0.002,0.118,0.191,0.062,37.317,0.109
2008gp,54779.01,0.08,1.087,0.011,-0.048,0.008,35.909,0.009,54778.92,0.35,-0.106,0.064,0.051,0.035,36.094,0.073
2008hs,54813.07,0.11,1.720,0.012,0.103,0.017,34.836,0.033,54812.83,0.08,1.181,0.042,0.011,0.010,34.297,0.058
2009D,54841.02,0.54,0.932,0.041,0.026,0.017,35.140,0.018,54841.93,1.47,-0.138,0.108,0.125,0.056,35.248,0.080
2009al,54896.75,0.35,1.106,0.029,0.264,0.022,35.127,0.023,54894.38,0.79,-0.264,0.043,0.503,0.054,35.305,0.066
2009dc,,,,,,,,,54945.34,0.16,-0.693,0.017,0.348,0.031,34.687,0.037
2009ee,54951.64,0.80,1.273,0.021,0.210,0.056,36.209,0.042,54949.75,0.71,0.466,0.086,0.085,0.076,36.068,0.085
2009eu,54984.30,0.12,1.787,0.013,0.279,0.021,35.924,0.025,54984.38,0.20,1.199,0.058,0.056,0.046,35.606,0.063
2009hs,55048.76,0.11,1.798,0.013,0.269,0.025,35.728,0.024,55048.51,0.13,1.259,0.034,0.018,0.012,35.404,0.048
2009ig,,,,,,,,,55079.47,0.09,-0.354,0.023,0.123,0.029,33.167,0.039
2009kq,55154.71,0.15,1.103,0.018,0.017,0.011,33.834,0.014,55154.69,0.20,-0.062,0.035,0.154,0.036,33.954,0.047
2010ao,55288.84,0.30,1.129,0.031,0.037,0.019,35.122,0.028,55288.75,0.26,0.009,0.056,0.195,0.048,35.147,0.069
2010ii,,,,,,,,,55481.48,0.19,0.315,0.116,0.031,0.022,35.457,0.096
2010ju,55524.52,0.29,1.175,0.032,0.440,0.023,34.477,0.044,55524.07,0.23,-0.044,0.070,0.931,0.122,34.315,0.107
2011M,55593.49,0.12,1.119,0.025,0.048,0.012,34.482,0.019,55593.14,0.15,-0.008,0.060,0.183,0.107,34.475,0.082
2011by,55690.78,0.09,1.091,0.010,0.094,0.011,32.077,0.011,55690.33,0.09,-0.037,0.029,0.300,0.028,32.071,0.042
2011df,55715.10,0.30,0.943,0.019,0.056,0.010,34.161,0.013,55716.02,0.41,-0.162,0.038,0.215,0.053,34.261,0.056
2011dl,55738.35,0.50,1.089,0.046,0.169,0.033,36.079,0.031,55736.95,0.77,-0.278,0.060,0.439,0.053,36.228,0.064
2011ek,55789.74,0.10,1.522,0.021,0.503,0.012,32.250,0.026,55789.14,0.15,0.562,0.073,0.979,0.101,31.821,0.090
2011fe,55815.22,0.06,1.096,0.005,-0.006,0.005,29.228,0.006,,,,
2011fs,55833.25,0.19,0.911,0.016,0.064,0.012,34.620,0.013,55832.95,0.26,-0.310,0.026,0.209,0.044,34.825,0.045
2012E,55949.73,0.79,1.343,0.051,0.117,0.026,34.682,0.018,55948.57,1.67,0.343,0.162,0.200,0.107,34.612,0.111
2012cg,56082.40,0.06,1.060,0.006,0.173,0.007,31.054,0.006,56081.62,0.06,-0.254,0.021,0.543,0.026,31.120,0.035
2012dn,56132.44,0.00,0.940,0.028,0.458,0.025,32.725,0.023,56134.14,0.57,-0.181,0.050,0.841,0.044,32.744,0.076
2012ea,56158.17,0.06,1.821,0.000,0.389,0.009,33.883,0.009,56158.11,0.07,1.396,0.022,0.048,0.029,33.496,0.034
2013bs,56406.52,0.22,1.507,0.027,0.067,0.016,35.516,0.026,56406.38,0.23,0.686,0.062,0.031,0.023,35.332,0.071
2013dr,56486.38,1.02,0.987,0.089,0.153,0.044,34.181,0.174,56486.04,1.44,-0.217,0.080,0.332,0.075,34.328,0.160
2013dy,56501.48,0.07,0.995,0.006,0.123,0.005,31.773,0.008,56500.13,0.06,-0.325,0.016,0.420,0.046,31.923,0.040
2013ex,56529.48,0.40,1.013,0.030,0.044,0.019,33.648,0.033,56530.06,0.60,-0.066,0.051,0.142,0.061,33.770,0.067
2013fa,56536.19,0.23,1.140,0.023,0.297,0.011,34.320,0.018,56535.17,0.46,-0.114,0.037,0.607,0.044,34.347,0.053
2013fw,56601.68,0.10,1.085,0.014,0.031,0.009,34.314,0.014,56600.81,0.09,-0.277,0.027,0.189,0.038,34.588,0.043
2013gh,56529.10,0.32,1.142,0.032,0.366,0.021,33.146,0.028,56528.32,0.08,0.112,0.036,0.798,0.034,32.808,0.046
2013gq,56385.29,0.18,1.233,0.015,-0.003,0.016,33.946,0.029,56384.22,0.17,0.008,0.043,0.096,0.040,34.119,0.056
