#Table J_ApJ_700_1097_table1:
#Name: J/ApJ/700/1097/table1
#Title: SALT light curve fit parameters and distances. Constitution set
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    Bmag (mag)         (F6.3)  Apparent B band magnitude [ucd=phot.mag;em.opt.B]
#    e_Bmag (mag)       (F6.3)  Uncertainty in Bmag (1) [ucd=stat.error;phot.mag;em.opt.B]
#    s                  (F6.3)  SALT light curve stretch parameter [ucd=stat.fit.param]
#    e_s                (F6.3)  Uncertainty in s [ucd=stat.error]
#    c                  (F6.3)  Color parameter [ucd=phot.color.reddFree]
#    e_c                (F6.3)  Uncertainty in c [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (2) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#----------- ----------- --------- - ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------------------ --------- ---------
#                                  n                                                                                                             
#                                  _                                                                                                             
#_RAJ200     _DEJ200               I               Bmag   e_Bmag                             mu     e_mu                                         
RA          DEC         ID        I zCMB   e_zCMB Bmag   e_Bmag s      e_s    c      e_c    mu     e_mu   SimbadName         RA_deg    DEC_deg
12:45:31.40 +54:44:17.0 1997y     1  0.017  0.001 15.310  0.275  0.880  0.020  0.040  0.010 34.522  0.324 SN1997y            191.38083 +54.73806
08:27:42.03 +21:29:14.8 1999aa    1  0.015  0.001 14.690  0.121  1.050  0.010 -0.020  0.010 34.268  0.223 SN1999aa           126.92512 +21.48744
06:27:26.37 -35:50:24.2 1999ao    1  0.054  0.001 17.890  0.001  0.960  0.040  0.070  0.030 37.124  0.106 SN1999ao           096.85987 -35.84006
09:20:16.00 +00:33:39.6 1999ar    1  0.156  0.005 19.970  0.001  0.990  0.040 -0.010  0.020 39.448  0.074 SN1999ar           140.06667 +00.56100
11:01:36.37 -06:06:31.6 1999aw    1  0.039  0.001 16.780  0.001  1.200  0.030  0.010  0.020 36.467  0.097 SN1999aw           165.40154 -06.10878
11:01:15.66 -11:45:16.0 1999bi    1  0.124  0.001 19.760  0.001  1.180  0.050  0.210  0.020 38.904  0.084 SN1999bi           165.31525 -11.75444
12:45:00.84 -06:27:30.2 1999bm    1  0.144  0.001 20.430  0.001  0.680  0.030  0.120  0.020 39.187  0.067 SN1999bm           191.25350 -06.45839
11:57:00.40 -11:26:38.4 1999bn    1  0.130  0.001 19.600  0.001  1.090  0.040  0.010  0.020 39.150  0.075 SN1999bn           179.25167 -11.44400
11:39:46.42 -08:51:34.8 1999bp    1  0.078  0.001 18.390  0.001  1.090  0.030  0.000  0.020 37.966  0.074 SN1999bp           174.94342 -08.85967
12:28:52.78 -00:05:41.0 1996h     1  0.620  0.005 23.500  0.136  1.100  0.170 -0.120  0.090 43.399  0.342 SN1996h            187.21992 -00.09472
12:00:39.43 -00:16:02.4 1996i     1  0.570  0.005 23.400  0.264  0.820  0.050 -0.060  0.060 42.797  0.313 SN1996i            180.16429 -00.26733
10:10:33.21 -12:37:05.2 1996j     1  0.300  0.005 22.030  0.163  0.790  0.060  0.070  0.090 41.053  0.294 SN1996j            152.63837 -12.61811
08:24:43.49 -00:21:06.2 1996k     1  0.380  0.005 22.640  0.240  0.850  0.010 -0.100  0.050 42.178  0.273 SN1996k            126.18121 -00.35172
