Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 1990N  Ia  NoMatch,NoMatch sn1990n-19900628.391-iue.flm  19900628.391  -11.0 | 5 None  1923.08 - 3331.7  2.3573  None | None 1992ApJ...397..304J
SN 1990N  Ia  NoMatch,NoMatch sn1990n-19900630.726-iue.flm  19900630.726  -9.0 | 7  None  1861.84 - 3347.68 4.07393 None | None 1992ApJ...397..304J
SN 1990N  Ia  NoMatch,NoMatch sn1990n-19900702.727-iue.flm  19900702.727  -7.0 | 9  None  1867.16 - 3347.68 5.38678 None | None 1992ApJ...397..304J
SN 1990N  Ia  NoMatch,NoMatch sn1990n-19900704.333-iue.flm  19900704.333  -5.0 | 11 None  1963.02 - 3345.02 2.49845 None | None 1992ApJ...397..304J
SN 1990N  Ia  NoMatch,NoMatch sn1990n-19900709.730-iue.flm  19900709.73 0.0 | 16  None  1864.5 - 3339.69  5.48657 None | None 1992ApJ...397..304J
SN 1990N  Ia  NoMatch,NoMatch sn1990n-19900714.301-iue.flm  19900714.301  5.0 | 21  None  1973.68 - 3347.68 8.23469 None | None 1992ApJ...397..304J
SN 1990N  Ia  NoMatch,NoMatch sn1990n-19900830-ir2.flm  19900830.0  51.8 | 68 UV Schmidt  6720.0 - 9850.0 31.5087 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1990O  Ia  Ia,Ia-norm  sn1990o-19900829-opt2.flm 19900829.0  54.3 | 68 UV Schmidt  3900.0 - 7020.0 8.74405 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1990O  Ia  Ia,Ia-99aa,Ia-norm  sn1990o-19900731-opt2.flm 19900731.0  26.2 | 39 UV Schmidt  3900.0 - 7020.0 24.9799 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1990O  Ia  Ia,Ia-norm  sn1990o-19900717-opt2.flm 19900717.0  12.6 | 25 UV Schmidt  3920.0 - 7080.0 47.9167 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1990R  Ia  Ia,Ia-norm  sn1990r-19900829-opt2.flm 19900829.0  None | 64 UV Schmidt  3900.0 - 7020.0 10.181  Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1990R  Ia  Ia,Ia-99aa,Ia-norm  sn1990r-19900731-opt2.flm 19900731.0  None | 35 UV Schmidt  3900.0 - 7020.0 37.8806 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1990R  Ia  Ia,Ia-99aa,Ia-norm  sn1990r-19900717-opt2.flm 19900717.0  None | 21 UV Schmidt  3952.0 - 7052.0 43.6818 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1990Y  Ia  Ia,Ia-norm  sn1990y-19900830-opt2.flm 19900830.0  15.4 | 8  UV Schmidt  3940.0 - 7050.0 5.31981 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1991B  Ia  Ia,Ia-99aa,Ia-norm  sn1991b-19910309-opt2.flm 19910309.0  None | 57 UV Schmidt  3900.0 - 7020.0 25.2425 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1991B  Ia  Ia,Ia-99aa,Ia-norm  sn1991b-19910223-oi.flm 19910223.0  None | 43 UV Schmidt  3900.0 - 9800.0 22.2337 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1991B  Ia  Ia,Ia-norm  sn1991b-19910123-opt2.flm 19910123.0  None | 12 UV Schmidt  3900.0 - 7020.0 31.849  Alex Filippenko | Thomas Matheson 2012MNRAS.425.1789S
SN 1991K  Ia  Ia,Ia-norm  sn1991k-19910309-opt2.flm 19910309.0  None | 17 UV Schmidt  3900.0 - 7020.0 9.78111 Alex Filippenko, Joe Shields | Thomas Matheson  2001AJ....121.1648M
SN 1991K  Ia  Ia,Ia-pec sn1991k-19910223-opt2.flm 19910223.0  None | 3  UV Schmidt  3900.0 - 7020.0 4.38069 Alex Filippenko, Joe Shields | Thomas Matheson  2001AJ....121.1648M
SN 1991M  Ia  Ia,Ia-norm  sn1991m-19910419-final.flm  19910419.0  None | 38 UV Schmidt  3900.0 - 7000.0 62.6039 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1991M  Ia  Ia,Ia-norm  sn1991m-19910805-final.flm  19910805.0  None | 146  UV Schmidt  3920.0 - 6900.0 16.1479 Alex Filippenko, Thomas Matheson, Hansen Chen | Thomas Matheson 2012MNRAS.425.1789S
SN 1991M  Ia  Ia,Ia-norm  sn1991m-19910820-final.flm  19910820.0  None | 161  UV Schmidt  3920.0 - 7000.0 4.76636 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991M  Ia  Ia,Ia-norm  sn1991m-19910407-final.flm  19910407.0  None | 26 UV Schmidt  3880.0 - 7000.0 57.2935 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1991O  Ia  Ia,Ia-91bg  sn1991o-19910407-final.flm  19910407.0  None | 20 UV Schmidt  3960.0 - 7040.0 11.4655 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
SN 1991S  Ia  Ia,Ia-91T,Ia-norm sn1991s-19910505-final.flm  19910505.0  31.3 | 25 UV Schmidt  3900.0 - 7000.0 2.56323 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991T  Ia  Ia,Ia-99aa,Ia-norm  sn1991t-19910505.flm  19910505.0  7.0 | 22  UV Schmidt  3110.0 - 9858.0 84.5723 Alex Filippenko, Thomas Matheson | Thomas Matheson  1992ApJ...384L..15F
SN 1991T  Ia  Ia,Ia-99aa,Ia-norm  sn1991t-19910720.flm  19910720.0  82.5 | 98 UV Schmidt  3150.0 - 9886.0 20.4381 Alex Filippenko, Thomas Matheson, Joe Shields | Thomas Matheson 2012MNRAS.425.1789S
SN 1991T  Ia  Ia,Ia-91T,Ia-norm sn1991t-19910819-oi.flm 19910819.0  112.3 | 128 UV Schmidt  3924.0 - 9748.0 17.4994 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991T  Ia  Ia,Ib-norm,Ia-norm  sn1991t-19911031-o.flm  19911031.0  184.9 | 201 UV Schmidt  3930.0 - 7042.0 12.811  Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991T  Ia  Ia,Ia-norm  sn1991t-19920313-ui.flm 19920313.0  318.2 | 335 Kast  3292.0 - 10188.0  8.13164 Alex Filippenko, Thomas Matheson, Luis Ho, Schuyler VanDyk | Thomas Matheson  2012MNRAS.425.1789S
SN 1991T  Ia  Ia,Ia-norm  sn1991t-19920411-uoi.flm  19920411.0  347.0 | 364 Kast  3300.0 - 10450.0  4.1059  Alex Filippenko, Thomas Matheson, Schuyler VanDyk | Thomas Matheson 2012MNRAS.425.1789S
SN 1991T  Ia  NoMatch,NoMatch sn1991t-19910418.flm  19910418.0  -9.9 | 5  UV Schmidt  4060.0 - 8360.0 192.602 Alex Filippenko, Joe Shields | Thomas Matheson  1992ApJ...384L..15F
SN 1991T  Ia  Ia,Ia-91T sn1991t-19910419.flm  19910419.0  -8.9 | 6  UV Schmidt  3100.0 - 9840.0 78.8378 Alex Filippenko, Joe Shields | Thomas Matheson  1992ApJ...384L..15F
SN 1991T  Ia  NoMatch,NoMatch sn1991t-19910820-ir2.flm  19910820.0  113.3 | 129 UV Schmidt  6800.0 - 9748.0 7.7619  Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991T  Ia  NoMatch,NoMatch sn1991t-19910427.424-iue.flm  19910427.424  -1.0 | 14 None  1867.16 - 3339.69 8.41405 None | None 1992ApJ...397..304J
SN 1991T  Ia  NoMatch,NoMatch sn1991t-19910429.672-iue.flm  19910429.672  1.0 | 16  None  1880.48 - 3347.68 7.34061 None | None 1992ApJ...397..304J
SN 1991ak Ia  Ia,Ia-99aa,Ia-norm  sn1991ak-19910820-final.flm 19910820.0  None | 36 UV Schmidt  3908.0 - 7060.0 28.2342 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991ak Ia  Ia,Ia-norm  sn1991ak-19910805-final.flm 19910805.0  None | 21 UV Schmidt  3920.0 - 6900.0 33.477  Alex Filippenko, Thomas Matheson, Hansen Chen | Thomas Matheson 2012MNRAS.425.1789S
SN 1991ak Ia  Ia,Ia-99aa,Ia-norm  sn1991ak-19910720-final.flm 19910720.0  None | 5  UV Schmidt  3920.0 - 6980.0 21.5989 Alex Filippenko, Thomas Matheson, Joe Shields | Thomas Matheson 2012MNRAS.425.1789S
SN 1991am Ia  Ia,Ia-norm  sn1991am-19910804-final.flm 19910804.0  None | 21 UV Schmidt  3940.0 - 6920.0 13.1697 Alex Filippenko, Thomas Matheson, Hansen Chen | Thomas Matheson 2012MNRAS.425.1789S
SN 1991as Ia  Ia,Ib-norm,Ia-pec sn1991as-19910916-final.flm 19910916.0  None | 28 UV Schmidt  3940.0 - 7060.0 17.4337 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991at Ia  Ia,Ia-norm  sn1991at-19910916-final.flm 19910916.0  None | 28 UV Schmidt  4060.0 - 7060.0 9.35011 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991ay Ia  Ia,Ia-norm  sn1991ay-19911002-final.flm 19911002.0  None | 23 UV Schmidt  3940.0 - 7040.0 18.6425 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991bb Ia  Ia,Ia-norm  sn1991bb-19911214-final.flm 19911214.0  None | 62 UV Schmidt  3920.0 - 7080.0 8.1578  Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991bb Ia  Ia,Ia-norm  sn1991bb-19911031-final.flm 19911031.0  None | 18 UV Schmidt  3920.0 - 7060.0 21.7008 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991bc Ia  Ia,Ia-99aa,Ia-norm  sn1991bc-19911214-final.flm 19911214.0  None | 63 UV Schmidt  3920.0 - 7080.0 9.90439 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991bc Ia  Ia,Ia-norm  sn1991bc-19911031-final.flm 19911031.0  None | 19 UV Schmidt  3100.0 - 8900.0 25.8469 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991bd Ia  Ia,Ia-norm  sn1991bd-19911031-final.flm 19911031.0  None | 19 UV Schmidt  3920.0 - 7060.0 21.2908 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991bf Ia  Ia,Ia-norm  sn1991bf-19911214-final.flm 19911214.0  None | 31 UV Schmidt  3920.0 - 7000.0 4.81805 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1991bg Ia-pec  Ia,Ia-91bg  sn1991bg-19920313-noz.flm 19920313.0  91.7 | 101  Kast  3690.0 - 9765.0 17.1989 Alex Filippenko, Thomas Matheson, Luis Ho, Schuyler VanDyk | Thomas Matheson  1992AJ....104.1543F
SN 1991bg Ia-pec  Ia,Ia-91bg  sn1991bg-19911213-noz.flm 19911213.0  1.0 | 10  UV Schmidt  3300.0 - 8680.0 60.2829 Alex Filippenko, Thomas Matheson | Thomas Matheson  1992AJ....104.1543F
SN 1991bg Ia-pec  Ia,Ia-91bg,Ia-norm  sn1991bg-19911214-noz.flm 19911214.0  2.0 | 11  UV Schmidt  3905.0 - 9900.0 57.6312 Alex Filippenko, Thomas Matheson | Thomas Matheson  1992AJ....104.1543F
SN 1991bg Ia-pec  NoMatch,NoMatch sn1991bg-19920523-uoi.flm 19920523.0  162.4 | 172 Kast  3180.0 - 10360.0  2.47235 Schuyler VanDyk, Luis Ho, Alex Filippenko | Luis Ho 1993Natur.365..728R
SN 1991bg Ia-pec  Ia,Ia-91bg,Ia-norm  sn1991bg-19920101-noz.flm 19920101.0  19.9 | 29 UV Schmidt  3240.0 - 9910.0 39.4135 Alex Filippenko | Thomas Matheson 1992AJ....104.1543F
SN 1991bg Ia-pec  NoMatch,NoMatch sn1991bg-19920109-hires-noz.flm 19920109.0  27.9 | 37 UV Schmidt  5407.0 - 6206.5 42.2917 Alex Filippenko, Thomas Matheson, Luis Ho | Thomas Matheson 1992AJ....104.1543F
