# Host-galaxy morphology as reported in NED.
# Retrieved from http://www.cfa.harvard.edu/supernova/CfA3/snmorph.txt
# Morphology translation:
# 1,2,3,4,5,6,7,8,9,10,11 = E,E/S0,S0,S0a,Sa,Sab,Sb,Sbc,Sc,Scd,Sd/Irr
# 0 = N/A

# sn Morph Galaxy

1996bk 3 NGC5308
1996bt 1 Anon.
1996bv 9 UGC3432
1996by 7 UGC3379
1996ca 7 NGC7300
1996V 6 NGC3644
1996Z 7 NGC2935
1997by 2 IC4252
1997bz 0 Anon.
1997cn 1 NGC5490
1997ct 0 Anon.
1998an 3 UGC3683
1998bn 7 NGC4462
1998cn 9 NGC3735
1998co 3 NGC7131
1998cs 7 UGC10432
1998dk 6 UGC139
1998dm 9 MCG-01-04-44
1998eb 7 NGC1961
1998ec 7 UGC3576
1998ex 9 MCG+11-10-16
1999be 11 MCG+03-22-007
1999bh 7 NGC3435
1999bt 0 Anon.
1999bv 9 MCG+10-25-014
1999cb 11 MRK881
1999ce 0 Anon.
1999cf 7 UGC8539
1999cm 8 UGC9766
1999ef 9 UGC607
1999ej 4 NGC495
1999gd 7 NGC2623
1999gh 5 NGC2968
1999gj 7 NGC3251
1999gm 3 LEDA24106
2000A 5 MCG+01-59-81
2000bh 9 ESO573-14
2000bk 2 NGC4520
2000ce 7 UGC4195
2000cf 8 MCG+11-19-25
2000cm 11 Anon.
2000cp 6 LEDA57064
2000cu 6 ESO525-04
2000cv 7 LEDA39222
2000cw 9 MCG+05-56-07
2000dg 8 MCG+01-01-029
2000dl 0 UGC1191
2000dm 6 UGC11198
2000dn 4 IC1468
2000dp 4 NGC1139
2000ey 11 IC1481
2000fd 11 UGC291
2000fo 6 LEDA70148
2000K 3 MCG+09-19-191
2000O 10 MCG+03-31-61
2001bg 7 NGC2608
2001bp 0 Anon.
2001br 7 UGC11260
2001bs 7 UGC10018
2001C 8 LEDA19975
2001cj 7 UGC8399
2001ck 7 UGC9425
2001da 6 NGC7780
2001de 8 UGC12089
2001E 8 NGC3905
2001eb 7 NGC1589
2001ec 9 LEDA74077
2001ed 9 NGC706
2001en 8 NGC523
2001eo 7 UGC3963
2001es 0 Anon.
2001ex 7 UGC3595
2001F 9 IC867
2001fu 3 MCG-03-23-11
2001gb 7 IC582
2001gc 9 UGC3375
2001ib 1 NGC7242
2001ic 1 NGC7503
2001ie 1 UGC5542
2001if 3 MCG+06-06-043
2001iq 0 Anon.
2001L 7 MCG-01-30-11
2001N 7 NGC3327
2001P 7 NGC3947
2001U 7 NGC5442
2002ar 6 NGC3746
2002av 0 ESO489-07
2002aw 0 Anon.
2002bg 6 MCG+02-38-31
2002bi 9 UGC8527
2002bn 0 UGC6527
2002br 7 MCG+03-27-061
2002bs 8 IC4221
2002bt 0 UGC8584
2002bw 0 LEDA59990
2002bz 0 MCG+05-34-33
2002cc 6 Anon.
2002cf 1 NGC4786
2002ci 7 UGC10301
2002ck 6 UGC10030
2002cs 1 NGC6702
2002cu 1 NGC6575
2002db 4 NGC5683
2002df 6 MCG-01-53-06
2002di 2 MCG+05-40-02
2002dk 6 NGC6616
2002dl 8 UGC11994
2002do 1 MCG+07-41-001
2002ef 1 NGC7761
2002es 3 UGC2708
2002et 9 ESO527-11
2002ey 1 Anon.
2002fb 1 NGC759
2002H 3 MCG-02-35-011
2002hd 1 Anon.
2002hv 3 UGC4974
2002I 7 IC4229
2002jg 9 UGC11985
2002jm 5 IC603
2002kf 0 Anon.
2003af 0 Anon.
2003ag 9 UGC6440
2003ar 1 MCG+12-15-047
2003bt 7 Anon.
2003D 8 MCG-01-25-009
2003de 0 Anon.
2003dt 6 NGC6962
2003eh 7 MCG+01-29-03
2003ek 7 Anon.
2003ep 4 NGC7053
2003ez 8 LEDA42782
2003F 9 UGC3261
2003fd 8 UGC8670
2003ge 6 NGC6122
2003gj 1 NGC7017
2003gn 8 LEDA69160
2003gq 9 NGC7407
2003hm 7 UGC2295
2003hu 0 Anon.
2003hv 3 NGC1201
2003hw 0 Anon.
2003hx 3 NGC2076
2003hz 0 LEDA17866
2003ia 2 NGC6109
2003ic 3 MCG-02-02-086
2003if 5 NGC1302
2003im 0 Anon.
2003in 8 IC1956
2003iu 2 UGC1393
2003iz 1 MCG+02-08-14
2003jz 1 UGC5225
2003kd 4 UGC2468
2003kg 1 IC1427
2003kh 9 UGC11491
2003kz 2 MCG+09-16-34
2003lc 9 UGC934
2003lq 8 UGC5
2003M 1 UGC7224
2003S 6 MCG+09-22-94
2003Y 3 IC522
2004ab 7 NGC5054
2004ap 1 LEDA29306
2004at 11 MCG+10-16-37
2004av 9 ESO571-15
2004az 3 UGC6853
2004B 4 IC390
2004bc 7 NGC3465
2004bd 6 NGC3786
2004bj 1 MCG+01-34-13
2004bk 7 NGC5246
2004bo 3 ESO576-54
2004bp 6 MCG+06-25-14
2004ca 7 UGC11799
2004ct 6 MCG+05-37-17
2004cu 7 NGC5550
2004da 7 NGC6901
2004db 0 Anon.
2004dt 7 NGC799
2004ef 7 UGC12158
2004fd 2 NGC1060
2004fz 8 NGC783
2004gc 1 NGC1875
2004gs 1 MCG+03-22-020
2004gz 7 MCG+10-23-045
2004H 1 IC708
2004J 7 ESO554-33
2004K 5 ESO579-22
2004L 9 MCG+03-27-038
2004P 9 UGC8561
2005A 8 NGC958
2005ao 1 NGC6462
2005bc 7 NGC5698
2005bd 7 MCG+09-11-02
2005be 0 Anon.
2005bl 1 NGC4070
2005bo 6 NGC4708
2005bv 0 Anon.
2005cc 7 NGC5383
2005ch 0 Anon.
2005cn 0 Anon.
2005cr 0 Anon.
2005ej 1 Anon.
2005G 9 UGC8690
2005hf 0 Anon.
2005hk 6 UGC272
2005M 7 NGC2930
2005na 7 UGC3634
2005nc 0 Anon.
2006ak 7 Anon.
2006al 0 Anon.
2006ap 7 NGC6378
2006bk 1 MCG+06-33-20
2006bm 0 Anon.
2006bq 2 NGC6685
2006bw 0 Anon.
2006cs 3 MCG+06-30-79
2006cz 9 MCG-01-38-002
2006da 0 Anon.
2006dt 8 NGC5681
2006dv 3 UGC12461
2006E 3 NGC5338
2006eq 0 Anon.
2006eu 1 MCG+08-36-016
2006gt 0 Anon.
2006gz 9 IC1227
2006H 3 Anon.
2006hb 2 ESO552-52
2006je 3 IC1735
2006oq 0 Anon.
2006or 8 NGC3891
2006ou 8 UGC6588
2006R 7 NGC6142
2006su 6 IC3772
2006te 8 Anon.
2007A 5 NGC105
2007al 0 Anon.
2007ao 1 NGC5532
2007ap 4 MCG+03-41-003
2007at 9 ESO580-44
2007ax 2 NGC2577
2007B 3 NGC7315
2007ba 4 UGC9798
2007bj 1 NGC6172
2007bk 0 Anon.
2007cb 6 ESO510-31
2007cc 8 ESO578-26
2007cf 3 MCG+02-39-021
2007cg 9 ESO508-75
2007cj 9 IC2531
2007fb 8 UGC12859
2007fc 7 ESO538-8
2007fs 7 ESO601-5
2007hj 7 NGC7461
2007hu 4 NGC6261
2007if 0 Anon.
2007ir 7 UGC2033
2007is 6 UGC10553
2007jg 0 Anon.
2007kd 6 MCG+06-21-36
2007kf 0 Anon.
2007kg 0 Anon.
2007ki 7 MCG+05-17-10
2007kk 7 UGC2828
2007le 8 NGC7721
2007nq 1 UGC595
2007ob 0 Anon.
2007oo 9 UGC12558
2007rx 0 Anon.
2007so 9 NGC1109
2007sr 9 NGC4038
2007ss 7 NGC4617
2007su 0 Anon.
2007sw 7 UGC7228
2007sx 0 Anon.
2008A 5 NGC634
2008ae 9 IC577
2008af 1 UGC9640
2008ai 2 MCG+06-24-39
2008ar 6 IC3284
2008as 5 ESO567-57
2008at 7 UGC5645
2008C 4 UGC3611
2008E 0 Anon.
2008Q 3 NGC524
2008R 2 NGC1200
2008Y 0 MCG+09-19-39
2008Z 0 Anon.
20080514-002 0 Anon.
20080522-000 0 Anon.
20080522-011 0 Anon.
20080623-001 0 Anon.
20080720-001 0 Anon.
