#Table J_ApJ_700_1097_table2:
#Name: J/ApJ/700/1097/table2
#Title: SALT2 light curve fit parameters and distances
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    Bmag (mag)         (F6.3)  Apparent B band magnitude [ucd=phot.mag;em.opt.B]
#    e_Bmag (mag)       (F6.3)  Uncertainty in Bmag [ucd=stat.error;phot.mag;em.opt.B]
#    c                  (F6.3)  Color parameter [ucd=phot.color.reddFree]
#    e_c                (F6.3)  Uncertainty in c [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (1) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#    x1                 (F6.3)  SALT2 light curve stretch parameter [ucd=stat.fit.param]
#    e_x1               (F6.3)  Uncertainty in x1 [ucd=stat.error]
#----------- ----------- --------- - ------ ------ ------ ------ ------ ------ ------ ------ ------------------ --------- --------- ------ ------
#                                  n                                                                                                             
#                                  _                                                                                                             
#_RAJ200     _DEJ200               I               Bmag   e_Bmag               mu     e_mu                                                       
RA          DEC         ID        I zCMB   e_zCMB Bmag   e_Bmag c      e_c    mu     e_mu   SimbadName         RA_deg    DEC_deg   x1     e_x1  
22:14:44.17 -17:31:44.1 03D4gl    4  0.571  0.001 23.361  0.058  0.038  0.073 43.111  0.263 SNLS03D4gl         333.68406 -17.52891  3.871  0.884
02:24:41.10 -04:17:19.5 04D1ag    4  0.557  0.001 23.025  0.011 -0.116  0.021 42.798  0.168 SNLS04D1ag         036.17124 -04.28875  0.414  0.191
02:25:53.96 -04:59:40.6 04D1aj    4  0.721  0.001 23.860  0.028  0.008  0.041 43.337  0.196 SNLS04D1aj         036.47483 -04.99461  0.525  0.459
02:27:33.35 -04:19:38.8 04D1ak    4  0.526  0.001 23.612  0.041  0.052  0.052 42.714  0.211 SNLS04D1ak         036.88898 -04.32744 -2.035  0.353
10:01:56.09 +01:52:46.1 04D2cf    4  0.369  0.001 22.559  0.035  0.052  0.032 41.722  0.183 SNLS04D2cf         150.48371 +01.87948 -1.439  0.315
09:59:28.12 +02:19:15.6 04D2fp    4  0.415  0.001 22.521  0.022 -0.029  0.026 42.048  0.173 SNLS04D2fp         149.86717 +02.32101  0.130  0.198
10:00:22.09 +01:45:55.4 04D2fs    4  0.357  0.001 22.395  0.017  0.093  0.017 41.598  0.165 SNLS04D2fs         150.09202 +01.76540 -0.091  0.154
10:02:22.67 +01:53:39.0 04D2gb    4  0.430  0.001 22.809  0.039  0.008  0.048 41.991  0.203 SNLS04D2gb         150.59445 +01.89416 -2.313  0.299
09:59:20.37 +02:30:32.0 04D2gp    4  0.707  0.001 24.149  0.048 -0.047  0.074 43.515  0.254 SNLS04D2gp         149.83489 +02.50888 -1.868  0.529
10:01:13.18 +02:24:54.2 04D2iu    4  0.691  0.001 24.266  0.046  0.091  0.070 43.285  0.245 SNLS04D2iu         150.30491 +02.41505 -1.907  0.538
09:58:48.50 +01:46:18.2 04D2ja    4  0.741  0.001 24.109  0.043 -0.133  0.054 43.881  0.216 SNLS04D2ja         149.70209 +01.77174  0.003  0.433
14:17:49.98 +52:57:49.0 04D3co    4  0.620  0.001 23.771  0.029 -0.070  0.041 43.304  0.192 SNLS04D3co         214.45825 +52.96361 -0.794  0.276
